Producer,Country,🏆 Trophy,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Kodas,Estonia,0,0,0,2,2,2018,2019,2,Active,"<a href=""https://kodas.ee/"">Website</a>","<a href=""https://www.facebook.com/kodasbrand"">Facebook</a>","<a href=""https://www.instagram.com/kodasbrand/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7164908846459777447"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g3296672-d25409720"">TripAdvisor</a>","<a href=""https://untappd.com/Siidrikoda"">Untappd</a>"
Longueville House,Ireland,0,0,0,2,2,2018,2018,1,Active,"<a href=""https://www.longuevillehouse.ie/"">Website</a>","<a href=""https://www.facebook.com/LonguevilleHouseMallow"">Facebook</a>","<a href=""https://www.instagram.com/longuevillehouse/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5224027865172259654"">Google</a>",,,"<a href=""https://untappd.com/w/longueville-house/29949"">Untappd</a>"
Peacock Cider,England,0,0,0,2,2,2019,2019,1,Active,"<a href=""https://www.peacockcider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/PeacockCiderUK/"">Facebook</a>","<a href=""https://www.instagram.com/peacockcider/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/united-breweries/4657"">Untappd</a>"
Reverend Nat's Hard Cider,United States,0,0,0,2,2,2019,2019,1,Inactive,,,,,,,
Sinebrychoff,Finland,0,0,0,2,2,2019,2019,1,Active,"<a href=""https://www.sinebrychoff.fi/"">Website</a>","<a href=""https://www.facebook.com/Sinebrychoff1819"">Facebook</a>","<a href=""https://www.instagram.com/Sinebrychoff1819"">Instagram</a>","<a href=""https://maps.google.com/?cid=14381132881251908316"">Google</a>",,,"<a href=""https://untappd.com/Sinebrychoff"">Untappd</a>"
On Point Cider Company,England,1,0,0,0,1,2023,2023,1,Active,,"<a href=""https://www.facebook.com/OnPointCider/"">Facebook</a>","<a href=""https://www.instagram.com/onpointcider/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/on-point-cider-company/548553"">Untappd</a>"
Zapiain,Spain,1,0,0,0,1,2019,2019,1,Active,"<a href=""https://zapiain.eus/"">Website</a>","<a href=""https://www.facebook.com/zapiainsagardoa"">Facebook</a>","<a href=""https://www.instagram.com/zapiainsagardoa/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16982677267877188990"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229"">TripAdvisor</a>","<a href=""https://untappd.com/ZapiainSagardoa"">Untappd</a>"
Fein | Wein & Obst,Austria,0,1,0,0,1,2019,2019,1,Active,"<a href=""https://www.weinobstfein.at/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=11931224194322779205"">Google</a>",,,"<a href=""https://untappd.com/w/wein-obst-fein/463951"">Untappd</a>"
3Cs Cider,England,0,0,1,0,1,2018,2018,1,Inactive,,,,,,,
Cidernations,Belgium,0,0,1,0,1,2024,2024,1,Active,"<a href=""https://www.cidernations.com/"">Website</a>",,"<a href=""https://www.instagram.com/cidernations/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/cidernations/510464"">Untappd</a>"
Curious Brewery,England,0,0,1,0,1,2019,2019,1,Active,"<a href=""https://curiousbrewery.com/"">Website</a>","<a href=""https://www.facebook.com/CuriousBrewery/"">Facebook</a>","<a href=""https://www.instagram.com/curiousbrewery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7077008771870705738"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g190759-d17434194"">TripAdvisor</a>","<a href=""https://untappd.com/CuriousDrinks"">Untappd</a>"
Cydrownia Zywer,Poland,0,0,1,0,1,2022,2022,1,Active,"<a href=""https://zywer.pl/"">Website</a>","<a href=""https://www.facebook.com/CydrowniaZywer"">Facebook</a>","<a href=""https://www.instagram.com/cydrowniazywer/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10041242298570436703"">Google</a>",,,"<a href=""https://untappd.com/cydrowniazywer"">Untappd</a>"
Doggerland Craft Cider,Netherlands,0,0,1,0,1,2020,2020,1,Active,"<a href=""https://doggerlandcider.nl/"">Website</a>","<a href=""https://www.facebook.com/doggerlandcider/"">Facebook</a>","<a href=""https://www.instagram.com/doggerlandcider/"">Instagram</a>",,,,"<a href=""https://untappd.com/DoggerlandCraftCider"">Untappd</a>"
Entre-Deux-Monts,Belgium,0,0,1,0,1,2021,2021,1,Active,"<a href=""https://www.entre-deux-monts.be/"">Website</a>","<a href=""https://www.facebook.com/entredeuxmonts"">Facebook</a>","<a href=""https://www.instagram.com/entredeuxmonts/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9635785120480499810"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g1778121-d7322311"">TripAdvisor</a>",
Everson's Cider,South Africa,0,0,1,0,1,2019,2019,1,Active,"<a href=""https://eversonscider.com/"">Website</a>","<a href=""https://www.facebook.com/pages/Eversons-Cider/320004141428725"">Facebook</a>","<a href=""https://www.instagram.com/eversonscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14518035129493727046"">Google</a>",,,"<a href=""https://untappd.com/brewery/64009"">Untappd</a>"
Ex-Press Cider,England,0,0,1,0,1,2020,2020,1,Active,"<a href=""http://www.thisiscider.co.uk/"">Website</a>",,,,,,"<a href=""https://untappd.com/w/ex-press-cider/352187"">Untappd</a>"
Farm & Cidery Kaneshige,Japan,0,0,1,0,1,2020,2020,1,Active,"<a href=""https://www.kaneshige.jp/"">Website</a>","<a href=""https://www.facebook.com/%E3%83%95%E3%82%A1%E3%83%BC%E3%83%A0%E3%82%B5%E3%82%A4%E3%83%80%E3%83%AA%E3%83%BC-%E3%82%AB%E3%83%8D%E3%82%B7%E3%82%B2-405442802886108/?__cft__[0]=AZUf27CW0havOAXR5fpjOVa0up5HOL8UJNu3Z4K3gnmKQTe9PYtrBzYGzvPOIuu7WAXpIDIPvU4SyEH-O-zHeGEtuc4ToNq4fvlh_wSIG-0TGXxiLvTNm0ZQEiEXvX94OBT8wEP085OcKiyFCF7BFQXx&__tn__=kC%2CP-R"">Facebook</a>","<a href=""https://www.instagram.com/kaneshige_farm/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16274463510556174655"">Google</a>",,,"<a href=""https://untappd.com/w/kaneshige/350459"">Untappd</a>"
Goldkehlchen,Austria,0,0,1,0,1,2018,2018,1,Active,"<a href=""https://www.goldkehlchen.at/"">Website</a>","<a href=""https://www.facebook.com/goldkehlchen.cider/"">Facebook</a>","<a href=""https://www.instagram.com/goldkehlchencider/"">Instagram</a>",,,,"<a href=""https://untappd.com/Goldkehlchen"">Untappd</a>"
Guillaume & Co,Switzerland,0,0,1,0,1,2023,2023,1,Active,"<a href=""https://www.guillaumecider.ch/"">Website</a>",,"<a href=""https://www.instagram.com/guillaumecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1089223546118021147"">Google</a>",,,
Hâld Moed Cidery,Netherlands,0,0,1,0,1,2022,2022,1,Active,"<a href=""https://www.cider.frl/"">Website</a>",,"<a href=""https://www.instagram.com/ydeyntema/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7320243905401792542"">Google</a>",,,"<a href=""https://untappd.com/w/hald-moed-cidery/470506"">Untappd</a>"
Harry's Cider,England,0,0,1,0,1,2018,2018,1,Active,"<a href=""https://www.harryscidercompany.co.uk/"">Website</a>","<a href=""https://www.facebook.com/harryscider/"">Facebook</a>","<a href=""https://www.instagram.com/harrys_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8158521266898778933"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g663809-d15201249"">TripAdvisor</a>","<a href=""https://untappd.com/w/harry-s-cider/74293"">Untappd</a>"
Nightingale Cider Company,England,0,0,1,0,1,2022,2022,1,Active,"<a href=""https://www.nightingalecider.com/"">Website</a>","<a href=""https://www.facebook.com/nightingalecider/"">Facebook</a>","<a href=""https://www.instagram.com/nightingalecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18222564835901017065"">Google</a>",,,"<a href=""https://untappd.com/nightingalecider"">Untappd</a>"
Nude Cider,Finland,0,0,1,0,1,2020,2020,1,Active,"<a href=""https://www.nudecider.fi/"">Website</a>",,"<a href=""https://www.instagram.com/nude_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=590124294754000819"">Google</a>",,,"<a href=""https://untappd.com/3spirit"">Untappd</a>"
Paladeus,Italy,0,0,1,0,1,2021,2021,1,Active,"<a href=""http://www.paladeus.it/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100067062071715"">Facebook</a>","<a href=""https://www.instagram.com/paladeus_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8605615739361573597"">Google</a>",,,"<a href=""https://untappd.com/w/paladeus/538622"">Untappd</a>"
Robinsons Cider,England,0,0,1,0,1,2023,2023,1,Active,"<a href=""https://www.robinsonscider.com/"">Website</a>",,"<a href=""https://www.instagram.com/robinsonscider/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/robinsons-cider/137056"">Untappd</a>"
Sandalen Gård,Norway,0,0,1,0,1,2023,2023,1,Active,"<a href=""https://sandalengard.no/"">Website</a>","<a href=""https://www.facebook.com/sandalengard"">Facebook</a>","<a href=""https://www.instagram.com/sandalengard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16897274204164201537"">Google</a>",,,"<a href=""https://untappd.com/SandalenGrd"">Untappd</a>"
Sassy,France,0,0,1,0,1,2019,2019,1,Active,"<a href=""https://www.maison-sassy.com/"">Website</a>","<a href=""https://www.facebook.com/maisonsassy"">Facebook</a>","<a href=""https://www.instagram.com/maisonsassy"">Instagram</a>",,,,"<a href=""https://untappd.com/MaisonSassy"">Untappd</a>"
Sideriet,Norway,0,0,1,0,1,2024,2024,1,Active,"<a href=""https://www.sideriet.no/"">Website</a>","<a href=""https://www.facebook.com/SiderietAS/"">Facebook</a>","<a href=""https://www.instagram.com/sideriet_/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10667377439591253274"">Google</a>",,,"<a href=""https://untappd.com/Sideriet_"">Untappd</a>"
Sidro Vittoria,Italy,0,0,1,0,1,2022,2022,1,Active,"<a href=""https://www.sidrovittoria.com/"">Website</a>","<a href=""https://www.facebook.com/sidrovittoria/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=10506737947463237390"">Google</a>",,,"<a href=""https://untappd.com/w/sidro-vittoria/481486"">Untappd</a>"
Tamba Wine,Japan,0,0,1,0,1,2024,2024,1,Active,"<a href=""https://www.tambawine.com/"">Website</a>",,"<a href=""https://www.instagram.com/tambawine/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4151597861563398596"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g1121285-d554666"">TripAdvisor</a>",
Trois-Lacs Ciders,Switzerland,0,0,1,0,1,2023,2023,1,Active,"<a href=""https://trois-lacs-ciders.webflow.io/"">Website</a>",,"<a href=""https://www.instagram.com/trois_lacs_ciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11057921790831268912"">Google</a>",,,"<a href=""https://untappd.com/w/trois-lacs-ciders/502801"">Untappd</a>"
Veinimäe,Estonia,0,0,1,0,1,2024,2024,1,Active,"<a href=""https://veinimae.ee/"">Website</a>","<a href=""https://www.facebook.com/veinimae"">Facebook</a>","<a href=""https://www.instagram.com/veinimae/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8886313303772913711"">Google</a>",,,"<a href=""https://untappd.com/w/veinimae-talu/457675"">Untappd</a>"
Wisdom Wines,England,0,0,1,0,1,2024,2024,1,Active,"<a href=""https://wisdom-wines.co.uk/"">Website</a>",,,,,,
Bembel With Care,Germany,0,0,0,1,1,2019,2019,1,Active,"<a href=""https://bembel-with-care.com/"">Website</a>","<a href=""https://www.facebook.com/bembel.with.care"">Facebook</a>","<a href=""https://www.instagram.com/bembel.with.care/"">Instagram</a>",,,,"<a href=""https://untappd.com/bembelwithcare"">Untappd</a>"
Bere Cider Company,England,0,0,0,1,1,2024,2024,1,Active,"<a href=""https://www.berecidercompany.com/"">Website</a>","<a href=""https://www.facebook.com/BereCiderCompany/"">Facebook</a>","<a href=""https://www.instagram.com/berecidercompany"">Instagram</a>","<a href=""https://maps.google.com/?cid=12375160692646889429"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g663809-d8367995"">TripAdvisor</a>","<a href=""https://untappd.com/BereCiderCompany"">Untappd</a>"
Bulwark Cider,Canada,0,0,0,1,1,2018,2018,1,Active,"<a href=""https://bulwarkcider.com/"">Website</a>","<a href=""https://www.facebook.com/bulwarkcider/"">Facebook</a>","<a href=""https://www.instagram.com/bulwarkcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9582388698593505547"">Google</a>","<a href=""https://www.yelp.com/biz/muwin-estate-wines-halifax"">Yelp</a>",,"<a href=""https://untappd.com/w/muwin-estate-wines/36781"">Untappd</a>"
BumbleBee Cider,England,0,0,0,1,1,2024,2024,1,Active,"<a href=""https://bumblebeecider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/BumbleBeeCider/"">Facebook</a>","<a href=""https://www.instagram.com/bbcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4431874365897070889"">Google</a>",,,"<a href=""https://untappd.com/w/bumblebee-cider/298812"">Untappd</a>"
Cidrerie Verger Hemmingford,Canada,0,0,0,1,1,2019,2019,1,Inactive,,,,,,,
Cluver & Jack Cider Company,South Africa,0,0,0,1,1,2024,2024,1,Active,"<a href=""https://www.cluverjack.com/"">Website</a>",,"<a href=""https://www.instagram.com/cluverjackcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1595491546946521207"">Google</a>",,,"<a href=""https://untappd.com/w/cluver-and-jack/185681"">Untappd</a>"
Crate Brewery,England,0,0,0,1,1,2018,2018,1,Active,"<a href=""https://www.cratebrewery.com/"">Website</a>","<a href=""https://www.facebook.com/cratebrewery"">Facebook</a>","<a href=""https://www.instagram.com/cratebrewery"">Instagram</a>","<a href=""https://maps.google.com/?cid=17369823570835617662"">Google</a>","<a href=""https://www.yelp.com/biz/crate-brewery-london"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g186338-d3949003"">TripAdvisor</a>","<a href=""https://untappd.com/CrateBrewery"">Untappd</a>"
Crooked Cider,New Zealand,0,0,0,1,1,2018,2018,1,Inactive,,,,,,,
Docendo Discitur,Italy,0,0,0,1,1,2020,2020,1,Active,,"<a href=""https://www.facebook.com/profile.php?id=100063485772808"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=5395562939899411393"">Google</a>",,,"<a href=""https://untappd.com/w/docendo-discitur/459810"">Untappd</a>"
Domaine Pinnacle,Canada,0,0,0,1,1,2019,2019,1,Active,"<a href=""https://domainepinnacle.ca/"">Website</a>","<a href=""https://www.facebook.com/cidredomainepinnacle"">Facebook</a>","<a href=""https://www.instagram.com/domainepinnacle/"">Instagram</a>",,"<a href=""https://www.yelp.com/biz/domaine-pinnacle-frelighsburg"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1927400-d7208483"">TripAdvisor</a>","<a href=""https://untappd.com/w/domaine-pinnacle/16237"">Untappd</a>"
Exner Cider,Spain,0,0,0,1,1,2021,2021,1,Active,"<a href=""https://exnercider.com/"">Website</a>","<a href=""https://www.facebook.com/ExnerCider/"">Facebook</a>","<a href=""https://www.instagram.com/exner.cider/"">Instagram</a>",,,,"<a href=""https://untappd.com/b/llagar-sidra-castanon-exner/3684800"">Untappd</a>"
Fowey Valley,England,0,0,0,1,1,2022,2022,1,Active,"<a href=""https://www.foweyvalleycider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/foweyvalley/"">Facebook</a>","<a href=""https://www.instagram.com/foweyvalley/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7258373789993087460"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g528852-d23356436"">TripAdvisor</a>","<a href=""https://untappd.com/FoweyValleyCider"">Untappd</a>"
Golden Cider Company,Sweden,0,0,0,1,1,2021,2021,1,Active,"<a href=""https://goldencider.se/"">Website</a>","<a href=""https://www.facebook.com/goldencidercompany/"">Facebook</a>","<a href=""https://www.instagram.com/goldencider/"">Instagram</a>",,,,"<a href=""https://untappd.com/GoldenCiderCompany"">Untappd</a>"
Gravity Theory Cider,England,0,0,0,1,1,2022,2022,1,Active,"<a href=""https://www.gravitytheorycider.com/"">Website</a>","<a href=""https://www.facebook.com/gravitytheory/"">Facebook</a>","<a href=""https://www.instagram.com/gravitytheorycider"">Instagram</a>",,,,"<a href=""https://untappd.com/Drinkscraft"">Untappd</a>"
Hogs Back Brewery,England,0,0,0,1,1,2019,2019,1,Active,"<a href=""https://hogsback.co.uk/"">Website</a>","<a href=""https://www.facebook.com/hogsbackbrewery"">Facebook</a>","<a href=""https://www.instagram.com/hogsbackbrewery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3246311890404715666"">Google</a>","<a href=""https://www.yelp.com/biz/hogs-back-brewery-farnham"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g3632287-d642805"">TripAdvisor</a>","<a href=""https://untappd.com/HogsBackBrewery"">Untappd</a>"
Howie's Cider,England,0,0,0,1,1,2024,2024,1,Active,,,"<a href=""https://www.instagram.com/howiescider/"">Instagram</a>",,,,
Izeta,Spain,0,0,0,1,1,2018,2018,1,Active,"<a href=""https://www.izeta.es/"">Website</a>","<a href=""https://www.facebook.com/IzetaSagardotegia"">Facebook</a>","<a href=""https://www.instagram.com/izetasagardotegia/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5193661031886461877"">Google</a>","<a href=""https://www.yelp.com/map/izeta-sidreria-aia"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g897148-d4022936"">TripAdvisor</a>","<a href=""https://untappd.com/w/izeta-goikoa/226558"">Untappd</a>"
Ladislav Sorcik,Czechia,0,0,0,1,1,2019,2019,1,Inactive,,,,,,,
Long Meadow Cider,Northern Ireland,0,0,0,1,1,2018,2018,1,Active,"<a href=""https://www.longmeadowcider.com/"">Website</a>","<a href=""https://www.facebook.com/longmeadowcider"">Facebook</a>","<a href=""https://www.instagram.com/long.meadow.cider"">Instagram</a>","<a href=""https://maps.google.com/?cid=4808669294076402426"">Google</a>","<a href=""https://www.yelp.com/biz/long-meadow-cider-portadown"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g209959-d20220982"">TripAdvisor</a>","<a href=""https://untappd.com/w/long-meadow-cider/121859"">Untappd</a>"
Neige,Canada,0,0,0,1,1,2024,2024,1,Active,"<a href=""https://neige.co/"">Website</a>","<a href=""https://www.facebook.com/NEIGE.CO"">Facebook</a>","<a href=""https://www.instagram.com/neige_co"">Instagram</a>",,,,
North Wood Cyder,England,0,0,0,1,1,2018,2018,1,Inactive,,,,,,,
Nøvar Cider,Scotland,0,0,0,1,1,2020,2020,1,Active,"<a href=""https://www.novarcider.com/"">Website</a>","<a href=""https://www.facebook.com/novarcider/"">Facebook</a>","<a href=""https://www.instagram.com/novarcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15839183571884271385"">Google</a>",,,"<a href=""https://untappd.com/w/novar-cider/475610"">Untappd</a>"
Olvi,Finland,0,0,0,1,1,2019,2019,1,Active,"<a href=""https://www.olvi.fi/"">Website</a>","<a href=""https://www.facebook.com/OlviOyj"">Facebook</a>","<a href=""https://www.instagram.com/olvi_oyj"">Instagram</a>","<a href=""https://maps.google.com/?cid=1723112676506354669"">Google</a>",,,"<a href=""https://untappd.com/w/olvi/2655"">Untappd</a>"
Psydra,Brazil,0,0,0,1,1,2020,2020,1,Inactive,,,,,,,
Rekorderlig,Sweden,0,0,0,1,1,2022,2022,1,Active,"<a href=""https://www.rekorderlig.se/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=288919773440364044"">Google</a>",,,"<a href=""https://untappd.com/AbroBryggeri"">Untappd</a>"
Sam's Cider,England,0,0,0,1,1,2019,2019,1,Active,"<a href=""https://winkleighcider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/Winkleighcider/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=5089579964487402242"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g776437-d8470537"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3060"">Untappd</a>"
Silly Moo Cider,England,0,0,0,1,1,2018,2018,1,Active,"<a href=""https://www.sillymoocider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/sillymoocider/"">Facebook</a>","<a href=""https://www.instagram.com/sillymoocider"">Instagram</a>","<a href=""https://maps.google.com/?cid=296258896230348461"">Google</a>",,,"<a href=""https://untappd.com/TrenchmoreFarm"">Untappd</a>"
St. Ives Cider,England,0,0,0,1,1,2018,2018,1,Active,"<a href=""https://stivescider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/stivescider/"">Facebook</a>","<a href=""https://www.instagram.com/stivescider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12970939473205570566"">Google</a>",,,"<a href=""https://untappd.com/stivescider"">Untappd</a>"
The Donhead Apple Company,England,0,0,0,1,1,2018,2018,1,Inactive,,,,,,,
The Portsmouth Distillery Co.,England,0,0,0,1,1,2020,2020,1,Inactive,,,,,,,
Total,,48,48,386,539,1021,,,,,,,,,,,
