ID,Category,Medal,Producer,Product,Subcategory
52,Low and No Alcohol,🥈 Silver,Marks & Spencer,Breton Cidre,
53,Low and No Alcohol,🥈 Silver,Marks & Spencer,Herefordshire Low Alcohol Cider 0.5%,
54,Low and No Alcohol,🥈 Silver,Marks & Spencer,Laid Back Cider,
55,Low and No Alcohol,🥉 Bronze,Cider Supply Co,Galipette 0%,
56,Low and No Alcohol,🥉 Bronze,Sheppy's Cider,Sheppy's Low Alcohol Classic Cider,
57,Low and No Alcohol,🥉 Bronze,Waitrose & Partners,Waitrose Low Alcohol Cider,
58,Low and No Alcohol,🥉 Bronze,Westons Cider,Stowford Press Low Alcohol Cider,
59,Naturally Sparkling,🥈 Silver,Cidre Bigoud,Cidre Le Brun AOP Cornouaille,Bottle Conditioned (including French Style)
60,Naturally Sparkling,🥈 Silver,Eclor,Ecusson Bio 100 Ans,Bottle Conditioned (including French Style)
61,Naturally Sparkling,🥈 Silver,Eclor,Ecusson Rose Le Délicieux,Bottle Conditioned (including French Style)
62,Naturally Sparkling,🥈 Silver,Eclor,La Mordue Original,Bottle Conditioned (including French Style)
63,Naturally Sparkling,🥈 Silver,"Valle, Ballina y Fernandez",El Gaitero Etiqueta Negra,Bottle Conditioned (including French Style)
64,Naturally Sparkling,🥈 Silver,"Valle, Ballina y Fernandez",Pomarina,Bottle Conditioned (including French Style)
65,Naturally Sparkling,🥉 Bronze,Eclor,Loic Raison Brut Intense,Bottle Conditioned (including French Style)
66,Naturally Sparkling,🥉 Bronze,Eclor,Loic Raison Degustation,Bottle Conditioned (including French Style)
67,Naturally Sparkling,🥉 Bronze,Eclor,Loic Raison Doux Fruité,Bottle Conditioned (including French Style)
68,Naturally Sparkling,🥉 Bronze,Eclor,Loic Raison Traditionnel,Bottle Conditioned (including French Style)
69,Naturally Sparkling,🥉 Bronze,Hampshire Downs Fine Cider Company,Chalkdown Cider,Bottle Fermented
70,Naturally Sparkling,🥉 Bronze,Hawkes,Traditional Method,Bottle Fermented
71,Naturally Sparkling,🥉 Bronze,Ladislav Sorcik,Silver Cider,Bottle Conditioned (including French Style)
72,Naturally Sparkling,🥉 Bronze,Les Celliers Associés,Mont Saint Michel Doux,Bottle Conditioned (including French Style)
73,New World,🏆 Trophy,Sxollie,Sxollie Pink Lady Cider,Medium
74,New World,🥇 Gold,A-Factory,Aomori Cidre Sparkling Dry,Dry
75,New World,🥇 Gold,A-Factory,Aomori Cidre Sparkling Standard,Medium
76,New World,🥇 Gold,Envasados Eva,The Good Cider of San Sebastian Dry Apple,Medium
77,New World,🥇 Gold,Fein | Wein & Obst,Braeburn Cider,Medium
78,New World,🥇 Gold,Lambswick Drinks Co.,Applefresco,Dry
79,New World,🥈 Silver,A-Factory,Aomori Cidre Sparkling Sweet,Sweet
80,New World,🥈 Silver,Abavas Winery,Abavas Apple Cider Premium Brut,Dry
81,New World,🥈 Silver,Angry Orchard Cider Co,Angry Orchard Crisp Apple,Sweet
82,New World,🥈 Silver,Angry Orchard Cider Co,Angry Orchard Green Apple,Sweet
83,New World,🥈 Silver,Curious Brewing,Curious Apple,Dry
84,New World,🥈 Silver,Dudda's Tun Cider,Disco,Medium
85,New World,🥈 Silver,Dudda's Tun Cider,Greenhorn,Medium
86,New World,🥈 Silver,Hawkes,Soul Trader,Medium
87,New World,🥈 Silver,Kelterei Heil,Cooper's Original Cider,Sweet
88,New World,🥈 Silver,Kiezbaum,Kiezbaum Cider Apple,Medium
89,New World,🥈 Silver,Kilmegan Cider,Kilmegan Real Cider,Dry
90,New World,🥈 Silver,Lambswick Drinks Co,Medium Dry,Medium
91,New World,🥈 Silver,Loxtonia Cider,Loxtonia Cider Crispy Apple,Medium
92,New World,🥈 Silver,Loxtonia Cider,Loxtonia Cider Sparkling Apple Cider,Sweet
93,New World,🥈 Silver,Mac Ivors Cider Co,Mac Ivors Medium Cider,Medium
94,New World,🥈 Silver,Marks & Spencer,Cornish Cloudy Farmhouse Cider,Medium
95,New World,🥈 Silver,Marks & Spencer,Kentish Pip Bramley Apple & Pear Cider,Medium
96,New World,🥈 Silver,Piarg House,Sigelsberg Cider Polosladky,Medium
97,New World,🥈 Silver,Polabský Mošt,Cider Magnetic Apple Original,Sweet
98,New World,🥈 Silver,Saxby's Cider,Saxby's Original,Medium
99,New World,🥈 Silver,Tempted Cider Company,Tempted Medium Dry Cider,Medium
100,New World,🥈 Silver,"Valle, Ballina y Fernandez",El Gaitero Spanish Cider,Medium
101,New World,🥈 Silver,Winemaking Tasmania,Black Devil Tasmania Premium Cider,Medium
102,New World,🥈 Silver,Wise Owl Cider,Dry Lightly Sparkling Cider,Dry
103,New World,🥉 Bronze,Abavas Winery,Abavas Apple Cider Medium,Medium
104,New World,🥉 Bronze,Angry Orchard Cider Co,Angry Orchard Easy Apple,Medium
105,New World,🥉 Bronze,Bembel-with-Care,Apfelwein-Pur,Dry
106,New World,🥉 Bronze,Hawkes,Urban Orchard,Medium
107,New World,🥉 Bronze,Kilmegan Cider,Irish Farmhouse,Medium
108,New World,🥉 Bronze,Les Celliers Associés,Mont Saint Michel Dry,Dry
109,New World,🥉 Bronze,Olvi,Olvi Cid Siideri,Dry
110,New World,🥉 Bronze,Sidewood Estate,Sidewood Apple Cider,Dry
111,New World,🥉 Bronze,Siidrikoda,Hipster,Medium
112,New World,🥉 Bronze,Sinebrychoff,Crowmoor Jealous Jackdaw,Medium
113,New World,🥉 Bronze,Sinebrychoff,Crowmoor Rogue Raven,Sweet
114,New World,🥉 Bronze,Tempted Cider Company,Tempted Sweet Cider,Sweet
115,New World,🥉 Bronze,Thatchers Cider Company,Thatchers Haze,Sweet
116,New World,🥉 Bronze,The Peacock Cider Company,Peacock Apple,Medium
117,New World,🥉 Bronze,"Valle, Ballina y Fernandez",El Gaitero Extra,Sweet
118,Perry,🏆 Trophy,Les Celliers Associés,Mont Saint Michel Pear,Medium
119,Perry,🥇 Gold,Apple County Cider Co,Blakeney Red Medium,Medium
120,Perry,🥇 Gold,Les Celliers Associés,L'Authentique French Cider Pear,Medium
121,Perry,🥈 Silver,Angry Orchard Cider Co,Angry Orchard Pear Cider,Sweet
122,Perry,🥈 Silver,Napton Cidery,Single Tree Perry,Sweet
123,Perry,🥈 Silver,Sidewood Estate,Sidewood Pear Cider,Dry
124,Perry,🥈 Silver,Ty Gwyn Cider,Ty Gwyn Cider Medium Perry,Medium
125,Perry,🥉 Bronze,Cidre Bigoud,Le Brun Poire,Medium
126,Perry,🥉 Bronze,Envasados Eva,The Good Cider of San Sebastian Pear,Dry
127,Perry,🥉 Bronze,Marks & Spencer,Vintage Pear Cider,Dry
128,Perry,🥉 Bronze,Waitrose & Partners,"Waitrose Westons English Vintage Perry, Hertfordshire",Medium
129,Perry,🥉 Bronze,Westons Cider,Henry Westons Perry,Medium
130,Spanish,🥉 Bronze,"Valle, Ballina y Fernandez",Pomarina,
131,Speciality,🏆 Trophy,Abavas Winery,Abavas Apple Wine Apple Pie,
132,Speciality,🥈 Silver,Abavas Winery,Abavas Apple Pommeau,
133,Speciality,🥈 Silver,Hawkes & Renegade,Under the Skin: Gewurztraminer,
134,Speciality,🥈 Silver,Hawkes & Renegade,Under the Skin: Tempranillo,
135,Speciality,🥈 Silver,Les Celliers Associés,L'Authentique French Cider Rosé,
136,Speciality,🥈 Silver,Thatchers Cider Company,Thatchers Family Reserve,
137,Speciality,🥉 Bronze,Angry Orchard Cider Co,Angry Orchard Rose,
138,Speciality,🥉 Bronze,Angry Orchard Cider Co,Angry Orchard Strawman,
139,Speciality,🥉 Bronze,Eclor,La Mordue Rouge,
140,Speciality,🥉 Bronze,Nohoval Drinks Company,Elstar - Irish Apple Wine,
141,West Country,🏆 Trophy,Sheppy's Cider,Sheppy's 2017 Vintage Reserve Cider,Dry
142,West Country,🥇 Gold,Dunkertons Organic Cider Company,Breakwells Seedling Organic Cider,Medium
143,West Country,🥈 Silver,Apple County Cider Co,Dabinett Medium Cider,Medium
144,West Country,🥈 Silver,Aston Manor Cider,Crumpton Oaks Scrumpy,Medium
145,West Country,🥈 Silver,Aston Manor Cider,Friels Vintage Cider,Medium
146,West Country,🥈 Silver,Aston Manor Cider,Malvern Gold,Medium
147,West Country,🥈 Silver,Cider Supply Co,Galipette Cidre Brut,Medium
148,West Country,🥈 Silver,Cidre Bigoud,Cidre Le Brun De Bretagne,Medium
149,West Country,🥈 Silver,Colcombe House Ciders,Wilie Gunn,Dry
150,West Country,🥈 Silver,Cornish Orchards,Heritage Cider,Medium
151,West Country,🥈 Silver,Heineken UK,Bulmers Orchard Pioneers Green Apple,Medium
152,West Country,🥈 Silver,Merrydown,Merrydown Original Vintage Medium Cider,Medium
153,West Country,🥈 Silver,Perry's Cider,Redstreak,Medium
154,West Country,🥈 Silver,The Taunton Cider Company,Taunton Original Medium Cider,Sweet
155,West Country,🥈 Silver,The Taunton Cider Company,Taunton Original Vintage Cider,Medium
156,West Country,🥈 Silver,Waitrose & Partners,"Waitrose Westons English Vintage, Hertfordshire Cider",Medium
157,West Country,🥈 Silver,Westons Cider,Caple Road - Blend No.3,Dry
158,West Country,🥈 Silver,Westons Cider,Henry Westons Vintage Cider,Medium
159,West Country,🥉 Bronze,Angry Orchard Cider Co,Angry Orchard Stone Dry,Dry
160,West Country,🥉 Bronze,Apple County Cider Co,Vilberie Medium Dry,Dry
161,West Country,🥉 Bronze,Aston Manor Cider,Kingstone Press Classic Apple,Medium
162,West Country,🥉 Bronze,Cidre Bigoud,Cidre Le Brun Organic,Medium
163,West Country,🥉 Bronze,Crafty Nectar,No.7,Medium
164,West Country,🥉 Bronze,Heineken UK,Bulmers Orchard Pioneers Red Apple,Sweet
165,West Country,🥉 Bronze,Heineken UK,Orchard Thieves,Medium
166,West Country,🥉 Bronze,Hogs Back Brewery,Hazy Hog,Sweet
167,West Country,🥉 Bronze,Marks & Spencer,Devon Farmhouse Cider,Medium
168,West Country,🥉 Bronze,Marks & Spencer,Somerset Dabinett Apple Cider,Medium
169,West Country,🥉 Bronze,Marks & Spencer,Somerset Oak Matured Vintage Cider,Medium
170,West Country,🥉 Bronze,Perry's Cider,Opa,Medium
171,West Country,🥉 Bronze,Sheppy's Cider,Sheppy's Gold Medal Cider,Medium
172,West Country,🥉 Bronze,Thatchers Cider Company,Cider Barn 458,Medium
173,West Country,🥉 Bronze,Thatchers Cider Company,Cider Barn Vilberie,Medium
174,West Country,🥉 Bronze,The Cotswold Cider Company,Sideburns Cider,Medium
175,West Country,🥉 Bronze,The Taunton Cider Company,Taunton Original Dry Cider,Dry
176,West Country,🥉 Bronze,Westons Cider,Henry Westons Aged Finish,Dry
177,West Country,🥉 Bronze,Westons Cider,Mortimer's Orchard,Medium
178,West Country,🥉 Bronze,Westons Cider,Old Rosie,Dry
179,West Country,🥉 Bronze,Westons Cider,Stowford Press,Medium
180,West Country,🥉 Bronze,Westons Cider,Wyld Wood,Medium
181,West Country,🥉 Bronze,Winkleigh Cider Co,Sam's Poundhouse Crisp,Medium
