ID1,ID2,Year,Category,Medal,Producer,Product,Subcategory,WID,Country
131,131,2018,Speciality Cider,🥉 Bronze,Aspall,Premier Cru Cyder,,1227,England
132,132,2018,Speciality Cider,🥉 Bronze,Dudda's Tun Cider,Salted Caramel Cider,,1461,England
133,133,2018,Speciality Cider,🥉 Bronze,Ouse Winery,Cidre 2016,,3515,Japan
134,134,2018,Speciality Cider,🥉 Bronze,Bulmers,Bulmers Orchard Pioneers Sarah's Red Apple Cider,,1250,England
135,135,2018,Speciality Cider,🥉 Bronze,Killahora Orchards,Pom'O Apple Port,,1958,Ireland
136,136,2018,Speciality Cider,🥉 Bronze,Marks & Spencer,Kentish Pip Bramley Apple and Pear Cider,,3542,England
137,137,2018,Speciality Cider,🥉 Bronze,Marks & Spencer,Laid Back Cider,,3542,England
138,138,2018,Speciality Cider,🥉 Bronze,Thatchers Cider,Thatchers Family Reserve,,1119,England
139,139,2018,Speciality Cider,🥉 Bronze,Silly Moo Cider,Silly Moo Cider,,3528,England
140,140,2018,Speciality Cider,🥉 Bronze,Waitrose,Waitrose Leckford Cox's Apple Vintage Cider,,3543,England
141,141,2018,West Country Style,🏆 Trophy,Hogan's Cider,Hogan's Libertine Cider,,1150,England
142,142,2018,West Country Style,🏆 Trophy,Taunton Cider Company,Taunton Original Medium Cider,,3520,England
143,143,2018,West Country Style,🥇 Gold,Appie,L'Extra-Brut,,2895,France
144,144,2018,West Country Style,🥇 Gold,Aston Manor Cider,Malvern Gold,,3093,England
145,145,2018,West Country Style,🥇 Gold,Celtic Marches,"Lily the Pink 4.5% Medium, Sweet Cider",,1403,England
146,146,2018,West Country Style,🥇 Gold,Pips Cider,Pips Meduim,,1381,England
147,147,2018,West Country Style,🥈 Silver,3Cs Cider,3Cs Vintage Cider,,1661,England
148,148,2018,West Country Style,🥈 Silver,Angry Orchard,Stone Dry,,87,United States
149,149,2018,West Country Style,🥈 Silver,Aston Manor Cider,Malvern Oak,,3093,England
150,150,2018,West Country Style,🥈 Silver,Maeloc,Maeloc Sweet Cider,,2510,Spain
151,151,2018,West Country Style,🥈 Silver,Dudda's Tun Cider,Greenhorn,,1461,England
152,152,2018,West Country Style,🥈 Silver,Harry's Cider,Harry's Dabinett Cider,,1449,England
153,153,2018,West Country Style,🥈 Silver,Hogan's Cider,Hogan's Medium Cider,,1150,England
154,154,2018,West Country Style,🥈 Silver,Hogan's Cider,Hogan's Dry Cider,,1150,England
155,155,2018,West Country Style,🥈 Silver,Killahora Orchards,Rare Apple Bittersweet Cider,,1958,Ireland
156,156,2018,West Country Style,🥈 Silver,Lyme Bay Winery,Sparkling Vintage Dry Cider,,1198,England
157,157,2018,West Country Style,🥈 Silver,Napton Cidery,Jolly Nice,,2027,England
158,158,2018,West Country Style,🥈 Silver,Perry's Cider,Barn Owl - Farmhouse Cider,,1116,England
159,159,2018,West Country Style,🥈 Silver,Rocquette Cider,Salty Dog,,1234,Guernsey
160,160,2018,West Country Style,🥈 Silver,Beard and Sabre,Yardarm,,3508,England
161,161,2018,West Country Style,🥈 Silver,Taunton Cider Company,Taunton Original Dry Cider,,3520,England
162,162,2018,West Country Style,🥈 Silver,Willie Smith's,23 Varieties,,1442,Australia
163,163,2018,West Country Style,🥈 Silver,Willie Smith's,Kingston Black,,1442,Australia
164,164,2018,West Country Style,🥉 Bronze,Angry Orchard,BitterSteve,,87,United States
165,165,2018,West Country Style,🥉 Bronze,Celtic Marches,Slack Alice 4.6% Medium Cider,,1403,England
166,166,2018,West Country Style,🥉 Bronze,Celtic Marches,Thundering Molly 5.2% Medium Cider,,1403,England
167,167,2018,West Country Style,🥉 Bronze,Colcombe House,The Willie Gunn,,3525,England
168,168,2018,West Country Style,🥉 Bronze,Dudda's Tun Cider,Original,,1461,England
169,169,2018,West Country Style,🥉 Bronze,Bulmers,Bulmers Original,,1250,England
170,170,2018,West Country Style,🥉 Bronze,Bulmers,Orchard Thieves,,1250,England
171,171,2018,West Country Style,🥉 Bronze,Kilmegan Cider,Kilmegan Irish Farmhouse Cider,,3111,Northern Ireland
172,172,2018,West Country Style,🥉 Bronze,Kilmegan Cider,Kilmegan Real Cider,,3111,Northern Ireland
173,173,2018,West Country Style,🥉 Bronze,Longueville House,Longueville House Cider,,1315,Ireland
174,174,2018,West Country Style,🥉 Bronze,Marks & Spencer,Cornish Cloudy Farmhouse Cider,,3542,England
175,175,2018,West Country Style,🥉 Bronze,Marks & Spencer,Devon Farmhouse Cider,,3542,England
176,176,2018,West Country Style,🥉 Bronze,Marks & Spencer,M&S Devon Farmhouse Cider,,3542,England
177,177,2018,West Country Style,🥉 Bronze,Marks & Spencer,M&S Somerset Traditional Cider,,3542,England
178,178,2018,West Country Style,🥉 Bronze,Merrydown,Merrydown Crisp Apple Cider,,3504,England
179,179,2018,West Country Style,🥉 Bronze,Napton Cidery,Dabinett Single Variety,,2027,England
