Category,Award,Medalist,Country,Entry,Points,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Spirit,🥈 SILVER,Pomologik,Sweden,Ingrid Marie XO,105,https://www.pomologik.se/,https://www.facebook.com/pomologik,https://www.instagram.com/Pomologik/,https://maps.google.com/?cid=17836181822390207936,,https://untappd.com/Pomologik_swe
Spirit,🥉 HONOR,Hardanger Saft og Siderfabrikk,Norway,Hardanger Eplebrennevin Apal,92.5,https://hardangersider.no/,https://www.facebook.com/HardangerSaftogSiderfabrikk/,https://www.instagram.com/hardangersaftogsiderfabrikk/,https://maps.google.com/?cid=12869878933054305699,https://www.tripadvisor.com/Attraction_Review-g7159542-d4893441,https://untappd.com/w/hardanger-saft-og-siderfabrikk/42913
Spirit,🥉 HONOR,La Maison Ferré,France,La Réserve de Pierre,87.5,https://www.lamaisonferre.fr/,https://www.facebook.com/cidreduperche,https://www.instagram.com/la_maison_ferre,https://maps.google.com/?cid=13764361049917258070,https://www.tripadvisor.com/Attraction_Review-g4926524-d23694021,https://untappd.com/w/la-maison-ferrac/161574
Sparkling,🥇 GOLD,Natur und Mohr,Germany,Obstschäumle Weinbirnen-Secco,118.5,https://naturundmohr.de/,https://www.facebook.com/naturundmohrshop/,https://www.instagram.com/naturundmohr/,https://maps.google.com/?cid=1442772049758910733,,
Sparkling,🥇 GOLD,Sommerbauer Edelmost,Austria,Sommerbauer Edelmost Apfelschaumwein,117,https://www.sommerbauer-most.at/,https://www.facebook.com/sommerbaueredelmost/,https://www.instagram.com/sommerbaueredelmost/,https://maps.google.com/?cid=12366001650524549047,,
Sparkling,🥇 GOLD,Rosecker Streuobst,Germany,Rosecker Perry Pear-Cider,116,https://rosecker.de/,https://www.facebook.com/profile.php?id=100063624007399,https://www.instagram.com/rosecker_streuobst/,,,https://untappd.com/w/rosecker/476876
Sparkling,🥇 GOLD,Ebbelboi,Germany,Ebbelboi Cider Original,115.5,https://www.ebbelboi.com/,,https://www.instagram.com/ebbelboi.de/,https://maps.google.com/?cid=12712207984342946205,,https://untappd.com/w/ebbelboi/540160
Sparkling,🥇 GOLD,Guillaume & Co,Switzerland,Sweet Simplon,115,https://www.guillaumecider.ch/,,https://www.instagram.com/guillaumecider/,https://maps.google.com/?cid=1089223546118021147,,
Sparkling,🥇 GOLD,Nerø Frukt og Sider,Norway,Vill & Villig,114.5,https://www.nerofrukt.no/,https://www.facebook.com/people/NeR%C3%B8-Frukt-og-Sider/100070115946607/,https://www.instagram.com/nerofrukt/,https://maps.google.com/?cid=2060180241711172985,,https://untappd.com/w/nero-frukt-og-sider/467847
Sparkling,🥇 GOLD,Rosecker Streuobst,Germany,Rosecker Cloudy Cider,114.5,https://rosecker.de/,https://www.facebook.com/profile.php?id=100063624007399,https://www.instagram.com/rosecker_streuobst/,,,https://untappd.com/w/rosecker/476876
Sparkling,🥇 GOLD,Quinta da Moscadinha,Portugal,Quinta da Moscadinha Sparkling Aged Cider,114.5,https://quintadamoscadinha.com/,https://www.facebook.com/quintadamoscadinha,https://www.instagram.com/moscadinha,https://maps.google.com/?cid=1405442820439409429,https://www.tripadvisor.com/Hotel_Review-g1190962-d23314913,https://untappd.com/w/quinta-da-moscadinha/538582
Sparkling,🥇 GOLD,Valle Ballina y Fernandez,Spain,Gaitero Spanish Cider 100% Apple,114,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266
Sparkling,🥇 GOLD,Cidrerie du Pays d'Auray,France,Cidre Fermier,113,,,,https://maps.google.com/?cid=9205038680508918633,,https://untappd.com/w/cidrerie-du-pays-d-auray-frana-ois-maho/423523
Sparkling,🥇 GOLD,Odelsgut,Norway,Odelsgut,113,https://www.odelsgut.no/,https://www.facebook.com/odelsgut,https://www.instagram.com/odelsgut.no/,https://maps.google.com/?cid=17030345032725079712,https://www.tripadvisor.com/Attraction_Review-g226929-d25132141,https://untappd.com/w/odelsgut/542853
Sparkling,🥇 GOLD,VOG Products,Italy,Alpl,112,https://www.alplsparkling.com/,,https://www.instagram.com/alpl_sparkling/,https://maps.google.com/?cid=18244086340000282331,,
Sparkling,🥇 GOLD,Sabiles Sidrs,Latvia,Gardener's Craft Cider Pear & Apple,111.5,https://www.gardeners.lv/,https://www.facebook.com/sabiles.sidrs/,https://www.instagram.com/sabiles.sidrs/,https://maps.google.com/?cid=2950487918260459648,https://www.tripadvisor.com/Restaurant_Review-g2049841-d14914753,https://untappd.com/w/sabiles-sidrs/201189
Sparkling,🥇 GOLD,Stahringer Streuobstmosterei,Germany,Brisanti Blau,111.5,https://streuobstmosterei.de/,,,https://maps.google.com/?cid=13148909559243530151,,https://untappd.com/w/stahringer-streuobstmosterei/467525
Sparkling,🥇 GOLD,Cider Sekt,Czechia,Cider Talk Semi Sweet,111,https://www.cidersekt.cz/,https://www.facebook.com/cidertalk/,https://www.instagram.com/cidertalk/,https://maps.google.com/?cid=1744130511388226457,,https://untappd.com/w/provoco/396367
Sparkling,🥇 GOLD,Die Mostbarone,Austria,Baroncider Birne,111,https://www.seppelbauer.at/,https://www.facebook.com/pages/Seppelbauers-Obstparadies/208933892492272,https://www.instagram.com/seppelbauer/,,,https://untappd.com/w/mostheuriger-seppelbauer-datzberger/309349
Sparkling,🥇 GOLD,Valle Ballina y Fernandez,Spain,Sidra El Gaitero Black Label,110.5,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266
