Medalist,Region,Year,🏆 Platinum,🥇🥇 Double Gold,🥇 Gold,🥈 Silver,🥉 Bronze,Judges' Pick,Total,First,Last,Years,City,Region,Country,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Cider Creek Hard Cider,New York,2018,0,1,0,0,0,2,3,2018,2019,2,Canisteo,New York,USA,Active,http://www.cidercreekhardcider.com/,,https://www.instagram.com/cidercreekhardcider/,https://maps.google.com/?cid=7573055340708815679,,https://www.tripadvisor.com/Attraction_Review-g47410-d9865677,https://untappd.com/w/cider-creek-hard-cider/124038
Liberty Ciderworks,Washington,2018,0,1,0,0,0,2,3,2017,2022,4,Spokane,Washington,USA,Active,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336
Dragon's Head Cider,Washington,2018,0,0,1,1,1,0,3,2017,2022,4,Vashon,Washington,USA,Active,http://www.dragonsheadcider.com/,,https://www.instagram.com/dragonsheadcider/,https://maps.google.com/?cid=2526574753760904159,https://www.yelp.com/biz/dragons-head-cider-vashon,,https://untappd.com/w/dragons-head-cider/36168
Noble Cider,North Carolina,2018,0,0,1,0,1,1,3,2017,2024,7,Asheville,North Carolina,USA,Active,http://www.noblecider.com/,https://www.facebook.com/NobleCider,https://www.instagram.com/noble_cider/,https://maps.google.com/?cid=10806279487860629423,https://www.yelp.com/biz/noble-cider-asheville,https://www.tripadvisor.com/Attraction_Review-g60742-d8604019,https://untappd.com/w/noble-cider/77407
Seattle Cider Company,Washington,2018,0,0,1,0,0,2,3,2017,2024,6,Seattle,Washington,USA,Active,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923
Conneaut Cellars Winery,Pennsylvania,2018,0,0,0,0,1,2,3,2018,2018,1,Conneaut Lake,Pennsylvania,USA,Active,http://www.conneautcellarswinery.com/,https://www.facebook.com/ConneautCellars,,https://maps.google.com/?cid=14378941191336467046,https://www.yelp.com/biz/conneaut-cellars-winery-conneaut-lake-2,https://www.tripadvisor.com/Attraction_Review-g52410-d4454847,https://untappd.com/w/conneaut-cellars-winery/221262
Eden Ciders,Vermont,2018,0,1,1,0,0,0,2,2017,2024,5,Newport,Vermont,USA,Active,https://www.edenciders.com/,https://facebook.com/edenspecialtyciders,https://www.instagram.com/edenciders/,https://maps.google.com/?cid=1133141626652589768,https://www.yelp.com/biz/northeast-kingdom-tasting-center-newport,https://www.tripadvisor.com/Restaurant_Review-g57335-d4675348,https://untappd.com/w/eden-specialty-ciders/13108
Ironbound Hard Cider,New Jersey,2018,0,1,0,1,0,0,2,2018,2022,3,Asbury,New Jersey,USA,Active,https://www.ironboundhardcider.com/,https://www.facebook.com/ironboundhardcider,https://www.instagram.com/ironboundhardcider,https://maps.google.com/?cid=17370734586891457225,https://www.yelp.com/biz/ironbound-hard-cider-asbury-3,https://www.tripadvisor.com/Attraction_Review-g29747-d16900912,https://untappd.com/w/jersey-cider-works/267396
Brownrigg Hard Cider,Washington,2018,0,1,0,0,0,1,2,2018,2019,2,Seattle,Washington,USA,Inactive,,,,,,,
Lake Chelan Winery,Washington,2018,0,0,1,1,0,0,2,2018,2023,4,Chelan,Washington,USA,Active,https://lakechelanwinery.com/,https://www.facebook.com/LakeChelanWinery/,https://www.instagram.com/lakechelanwinery/,https://maps.google.com/?cid=14575106688846373159,https://www.yelp.com/biz/lake-chelan-winery-chelan,https://www.tripadvisor.com/Restaurant_Review-g58395-d2291863,https://untappd.com/w/washington-gold-cider/21191
