Year,Category,Producer,Department,Medal,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2018,Cidre AOP Cornouaille,Cidrerie Manoir du Kinkiz,Finistère,🥇 Or,Active,"<a href=""https://www.kinkiz-terroir.bzh/"">Website</a>","<a href=""https://www.facebook.com/DomaineDuKinkiz/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=1999207604560008916"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g187100-d7745799"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/19870"">Untappd</a>"
2018,Cidre AOP Cornouaille,Au Pressoir du Bélon,Finistère,🥈 Argent,Active,"<a href=""https://www.cidre-belon-bretagne.fr/"">Website</a>","<a href=""https://www.facebook.com/pressoirdubelon/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3283810982033688807"">Google</a>",,
2018,Cidre Fermier Brut,Les Vergers de Kermabo,Morbihan,🥇 Or,Inactive,"<a href=""https://www.cidre-fermier-morbihan.com/"">Website</a>","<a href=""https://www.facebook.com/vergersdekermabo"">Facebook</a>",,,"<a href=""https://www.tripadvisor.com/Attraction_Review-g1200982-d12593344"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-kermabo/53393"">Untappd</a>"
2018,Cidre Fermier Brut,Cidrerie Benoit,Côtes-d'Armor,🥇 Or,Active,"<a href=""https://www.cidreriebenoit.fr/"">Website</a>","<a href=""https://www.facebook.com/CidrerieBenoit/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=2837012515774011484"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-benoit/548797"">Untappd</a>"
2018,Cidre Fermier Brut,Cellier de la Ville Loyo,Côtes-d'Armor,🥈 Argent,Inactive,"<a href=""http://www.cellierdelavilleloyo.com/"">Website</a>","<a href=""https://www.facebook.com/celliervilleloyo"">Facebook</a>",,,,
2018,Cidre Fermier Brut,Les Vergers de l'Ille,Ille-et-Vilaine,🥈 Argent,Active,"<a href=""https://www.lesvergersdelille.fr/"">Website</a>","<a href=""https://www.facebook.com/Lesvergersdelille/"">Facebook</a>","<a href=""https://www.instagram.com/les_vergers_de_l.ille/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14420300231390740214"">Google</a>",,"<a href=""https://untappd.com/w/les-vergers-de-l-ille/228900"">Untappd</a>"
2018,Cidre Fermier Brut,Les Vergers de Kermao,Finistère,🥉 Bronze,Active,"<a href=""https://www.cidre-bretagne.com/"">Website</a>",,"<a href=""https://www.instagram.com/kermao.cidre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11761800243914556755"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184442-d8603735"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-kermao/240565"">Untappd</a>"
2018,Cidre Fermier Demi-Sec,Cidre de Brocéliande,Ille-et-Vilaine,🥇 Or,Active,"<a href=""https://cidre-breton.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100064718610464"">Facebook</a>","<a href=""https://www.instagram.com/cidreriedebroceliande/"">Instagram</a>","<a href=""https://maps.google.com/?cid=531489837427288496"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g12449841-d16844210"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidre-du-pays-de-broceliande/158895"">Untappd</a>"
2018,Cidre Fermier Demi-Sec,Les Vergers de Kermao,Finistère,🥈 Argent,Active,"<a href=""https://www.cidre-bretagne.com/"">Website</a>",,"<a href=""https://www.instagram.com/kermao.cidre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11761800243914556755"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184442-d8603735"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-kermao/240565"">Untappd</a>"
2018,Cidre Fermier Demi-Sec,Guy Chériaux,Côtes-d'Armor,🥈 Argent,Inactive,,,,,,
2018,Cidre Fermier Demi-Sec,Cidrerie Melenig,Finistère,🥉 Bronze,Active,,,"<a href=""https://www.instagram.com/cidremelenig/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10374518201153439760"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g6922089-d7330818"">TripAdvisor</a>","<a href=""https://untappd.com/CidrerieMelenig"">Untappd</a>"
2018,Cidre Fermier Demi-Sec,Cidrerie Huby,Ille-et-Vilaine,🥉 Bronze,Active,"<a href=""http://www.cidreriehuby.fr/"">Website</a>","<a href=""https://www.facebook.com/cidreriehuby35/"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_huby/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14757172260846963924"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-huby/351358"">Untappd</a>"
2018,Cidre Fermier Doux,Cidrerie Château Lézergué,Finistère,🥇 Or,Active,"<a href=""https://www.chateau-lezergue.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066917829363"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_chateaudelezergue/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8273125568764221419"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246"">Untappd</a>"
2018,Cidre Fermier Doux,Maison Kerloïck,Côtes-d'Armor,🥈 Argent,Active,"<a href=""https://www.kerloick.bzh/"">Website</a>","<a href=""https://www.facebook.com/people/Maison-Kerlo%C3%AFck/100063648757927/"">Facebook</a>","<a href=""https://www.instagram.com/maison_kerloick/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8360416368856844083"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-kerloick/400998"">Untappd</a>"
2018,Cidre Artisanal Brut,Distillerie des Menhirs,Finistère,🥇 Or,Active,"<a href=""https://www.distillerie.bzh/"">Website</a>","<a href=""https://www.facebook.com/distillerie.bzh"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedesmenhirs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13168987804989415582"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2544571-d7920317"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-des-menhirs/91619"">Untappd</a>"
2018,Cidre Artisanal Brut,Cidrerie Château Lézergué,Finistère,🥇 Or,Active,"<a href=""https://www.chateau-lezergue.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066917829363"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_chateaudelezergue/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8273125568764221419"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246"">Untappd</a>"
2018,Cidre Artisanal Demi-Sec,Cidrerie Château Lézergué,Finistère,🥇 Or,Active,"<a href=""https://www.chateau-lezergue.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066917829363"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_chateaudelezergue/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8273125568764221419"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246"">Untappd</a>"
2018,Cidre Artisanal Demi-Sec,Distillerie des Menhirs,Finistère,🥉 Bronze,Active,"<a href=""https://www.distillerie.bzh/"">Website</a>","<a href=""https://www.facebook.com/distillerie.bzh"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedesmenhirs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13168987804989415582"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2544571-d7920317"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-des-menhirs/91619"">Untappd</a>"
2018,Cidre de Grande Maison Brut,Loïc Raison,Ille-et-Vilaine,🥈 Argent,Active,"<a href=""https://www.loicraison.fr/"">Website</a>","<a href=""https://www.facebook.com/CidreLoicRaison/"">Facebook</a>","<a href=""https://www.instagram.com/loicraison/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15768587504697904757"">Google</a>",,"<a href=""https://untappd.com/w/loic-raison/18640"">Untappd</a>"
2018,Cidre de Grande Maison Doux,Les Celliers Associés,Côtes-d'Armor,🥈 Argent,Active,"<a href=""https://www.valderance.com/"">Website</a>","<a href=""https://www.facebook.com/ValdeRance/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=7883069809343472545"">Google</a>",,"<a href=""https://untappd.com/LesCelliersAssocis"">Untappd</a>"
2018,Pommeau de Moins de 3 Ans,Cidrerie de Menez-Brug,Finistère,🥇 Or,Active,"<a href=""https://www.cidrerie-de-menez-brug.com/"">Website</a>","<a href=""https://www.facebook.com/cidreriemenezbrug.fr/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=10640223041696316686"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g666452-d15052081"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-de-menez-brug/150603"">Untappd</a>"
2018,Pommeau de Moins de 3 Ans,Cidrerie Melenig,Finistère,🥈 Argent,Active,,,"<a href=""https://www.instagram.com/cidremelenig/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10374518201153439760"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g6922089-d7330818"">TripAdvisor</a>","<a href=""https://untappd.com/CidrerieMelenig"">Untappd</a>"
2018,Pommeau de Moins de 3 Ans,Distillerie du Gorvello,Morbihan,🥈 Argent,Active,"<a href=""https://www.distilleriedugorvello.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069448008978"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedugorvello.bzh/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13385362377425184430"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184206-d10593781"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-du-gorvello/69203"">Untappd</a>"
