Year,Style,Medal,Producer,Region,Product,Points,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2021,Ice Cider,🥉 Bronze,Sidra La Borda de Basajaun,Basque Country,Basajaun Clasic,36,Active,,"<a href=""https://www.facebook.com/sidra.basajaun"">Facebook</a>","<a href=""https://www.instagram.com/sidra.labordadebasajaun/"">Instagram</a>",,,,
2021,Ice Cider,🥉 Bronze,Alde Sider,Norway,Alde Issider,36,Active,"<a href=""https://www.aldesider.no/"">Website</a>","<a href=""https://www.facebook.com/aldesider"">Facebook</a>","<a href=""https://www.instagram.com/aldesider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7838999053969928967"">Google</a>",,,"<a href=""https://untappd.com/Alde_hardanger"">Untappd</a>"
2021,Ice Cider,🥉 Bronze,Oiharte,Basque Country,Oiharte Izotzezko sagardoa,34,Active,"<a href=""https://oiharte.com/"">Website</a>","<a href=""https://www.facebook.com/CasaRuralSidreriaOiharte"">Facebook</a>","<a href=""https://www.instagram.com/oiharte/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7283611563965022999"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1235389-d2470675"">TripAdvisor</a>","<a href=""https://untappd.com/w/oiharte-sagardotegia/351344"">Untappd</a>"
2021,Ice Cider,🥉 Bronze,Angry Orchard,United States,Ice Cider,30,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
2021,Flavored Cider and Perry,🥇 Gold,Sidra Somarroza,Cantabria,Bíter Bio Somarroza,48,Active,"<a href=""https://sidrasomarroza.es/"">Website</a>","<a href=""https://www.facebook.com/sidrasomarroza"">Facebook</a>","<a href=""https://www.instagram.com/sidrasomarroza/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7109045394192195825"">Google</a>",,,"<a href=""https://untappd.com/w/somarroza/147830"">Untappd</a>"
2021,Flavored Cider and Perry,🥇 Gold,Ulvik Frukt & Cideri,Norway,Hylleblomsider,47,Active,"<a href=""http://www.hakastadsider.no/"">Website</a>","<a href=""https://www.facebook.com/pages/Ulvik-Frukt-Cideri/191311970916027"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=8381380851022975775"">Google</a>",,,"<a href=""https://untappd.com/brewery/60198"">Untappd</a>"
2021,Flavored Cider and Perry,🥇 Gold,Angry Orchard,United States,Francenstein,47,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
2021,Flavored Cider and Perry,🥇 Gold,Oiharte,Basque Country,Oiharte lupuloarekin hartzitutako Euskal Sagardo Naturala,47,Active,"<a href=""https://oiharte.com/"">Website</a>","<a href=""https://www.facebook.com/CasaRuralSidreriaOiharte"">Facebook</a>","<a href=""https://www.instagram.com/oiharte/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7283611563965022999"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1235389-d2470675"">TripAdvisor</a>","<a href=""https://untappd.com/w/oiharte-sagardotegia/351344"">Untappd</a>"
2021,Flavored Cider and Perry,🥇 Gold,Floribunda,Italy,Quitten Cider alla Cotogna,46,Active,"<a href=""https://www.floribunda.it/"">Website</a>",,"<a href=""https://www.instagram.com/floribundacider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14548393953505771229"">Google</a>",,,"<a href=""https://untappd.com/w/floribunda/333615"">Untappd</a>"
2021,Flavored Cider and Perry,🥇 Gold,Weidmann & Groh,Germany,Cydonia,46,Active,"<a href=""https://weidmann-groh.de/"">Website</a>","<a href=""https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=6569120976887073603"">Google</a>",,,"<a href=""https://untappd.com/w/weidmann-groh/73065"">Untappd</a>"
2021,Flavored Cider and Perry,🥇 Gold,Floribunda,Italy,Holunder Cider al Sambuco,46,Active,"<a href=""https://www.floribunda.it/"">Website</a>",,"<a href=""https://www.instagram.com/floribundacider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14548393953505771229"">Google</a>",,,"<a href=""https://untappd.com/w/floribunda/333615"">Untappd</a>"
