Producer,Department,🥇 Or,🥈 Argent,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Cidrerie de Tromelin,Finistère,1,1,0,2,2017,2019,2,Active,"<a href=""https://www.kanarmor-ateliers.fr/nos-prestations/cidrerie/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=14804747814937357332"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-de-tromelin/160083"">Untappd</a>"
Cidrerie du Pays d'Auray,Morbihan,1,1,0,2,2022,2023,2,Active,,,"<a href=""https://www.instagram.com/cidre.maho/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9205038680508918633"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-du-pays-d-auray-frana-ois-maho/423523"">Untappd</a>"
La Belle Vilaine,Ille-et-Vilaine,1,1,0,2,2019,2023,2,Active,,,,"<a href=""https://maps.google.com/?cid=5696528707638308410"">Google</a>",,"<a href=""https://untappd.com/w/la-belle-vilaine/353880"">Untappd</a>"
Cidre Sorre,Ille-et-Vilaine,0,2,0,2,2017,2017,1,Active,"<a href=""https://www.cidre-sorre.fr/"">Website</a>","<a href=""https://www.facebook.com/CidrerieSorre/"">Facebook</a>","<a href=""https://www.instagram.com/cidreriesorre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3277478841126723957"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g8506159-d8653800"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidre-sorre/16758"">Untappd</a>"
Cidrerie Guérin,Ille-et-Vilaine,0,2,0,2,2023,2024,2,Active,,"<a href=""https://www.facebook.com/cidrerieguerin/"">Facebook</a>","<a href=""https://www.instagram.com/cidrerieguerin/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3132962272405165726"">Google</a>",,"<a href=""https://untappd.com/w/cidredrie-guerin/550555"">Untappd</a>"
Les Vergers de l'Ille,Ille-et-Vilaine,0,2,0,2,2018,2024,2,Active,"<a href=""https://www.lesvergersdelille.fr/"">Website</a>","<a href=""https://www.facebook.com/Lesvergersdelille/"">Facebook</a>","<a href=""https://www.instagram.com/les_vergers_de_l.ille/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14420300231390740214"">Google</a>",,"<a href=""https://untappd.com/w/les-vergers-de-l-ille/228900"">Untappd</a>"
Loïc Raison,Ille-et-Vilaine,0,2,0,2,2018,2024,2,Active,"<a href=""https://www.loicraison.fr/"">Website</a>","<a href=""https://www.facebook.com/CidreLoicRaison/"">Facebook</a>","<a href=""https://www.instagram.com/loicraison/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15768587504697904757"">Google</a>",,"<a href=""https://untappd.com/w/loic-raison/18640"">Untappd</a>"
Cidrerie Maison de Perguet,Finistère,0,1,1,2,2023,2024,2,Active,"<a href=""https://maisondeperguet.com/"">Website</a>","<a href=""https://www.facebook.com/CidrerieMaisonDePerguet/"">Facebook</a>","<a href=""https://www.instagram.com/maisondeperguet/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11440436581873193012"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g666452-d26494297"">TripAdvisor</a>","<a href=""https://untappd.com/w/maison-de-perguet/533602"">Untappd</a>"
Cidrerie Tudker,Côtes-d'Armor,0,1,1,2,2019,2021,2,Active,"<a href=""https://bretagnecidrebio.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100063724893165"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=1056010068261790518"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-tudker/476163"">Untappd</a>"
Cidrerie Huby,Ille-et-Vilaine,0,0,2,2,2018,2019,2,Active,"<a href=""http://www.cidreriehuby.fr/"">Website</a>","<a href=""https://www.facebook.com/cidreriehuby35/"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_huby/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14757172260846963924"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-huby/351358"">Untappd</a>"
Atelier de la Pépie,Morbihan,1,0,0,1,2024,2024,1,Active,"<a href=""https://atelierdelapepie.com/"">Website</a>","<a href=""https://www.facebook.com/Atelierdelapepie/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=8968765589278602927"">Google</a>",,"<a href=""https://untappd.com/w/l-atelier-de-la-pacpie/144215"">Untappd</a>"
Cidre du Pays de Plouay,Morbihan,1,0,0,1,2021,2021,1,Active,"<a href=""https://cidredupaysdeplouay.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=5411051270521029089"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-du-pays-de-plouay/523878"">Untappd</a>"
Cidre Fermier de Landeleau,Finistère,1,0,0,1,2022,2022,1,Active,,,,"<a href=""https://maps.google.com/?cid=9139318248294781335"">Google</a>",,"<a href=""https://untappd.com/w/brasserie-de-landeleau/441165"">Untappd</a>"
Cidrerie Distillerie Les Vergers de la Ferme,Ille-et-Vilaine,1,0,0,1,2022,2022,1,Active,"<a href=""https://www.cidre-baindebretagne.fr/"">Website</a>","<a href=""https://www.facebook.com/cidre.baindebretagne/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=5153365142161369427"">Google</a>",,"<a href=""https://untappd.com/w/les-vergers-de-la-ferme/470274"">Untappd</a>"
La Maison du Cidre,Morbihan,1,0,0,1,2017,2017,1,Active,"<a href=""https://www.museeducidre.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100054446516930"">Facebook</a>","<a href=""https://www.instagram.com/lamaisonducidre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8243314023255302765"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g7221524-d7220846"">TripAdvisor</a>","<a href=""https://untappd.com/w/la-maison-du-cidre/360621"">Untappd</a>"
Cellier de la Ville Loyo,Côtes-d'Armor,0,1,0,1,2018,2018,1,Inactive,"<a href=""http://www.cellierdelavilleloyo.com/"">Website</a>","<a href=""https://www.facebook.com/celliervilleloyo"">Facebook</a>",,,,
Cidrerie Le Maître,Côtes-d'Armor,0,1,0,1,2021,2021,1,Active,,,,"<a href=""https://maps.google.com/?cid=18166029394058249899"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-le-maitre/438757"">Untappd</a>"
Guy Chériaux,Côtes-d'Armor,0,1,0,1,2018,2018,1,Inactive,,,,,,
Les Jardins d'an Enez,Côtes-d'Armor,0,1,0,1,2024,2024,1,Active,,"<a href=""https://www.facebook.com/profile.php?id=100077546482821"">Facebook</a>",,,,
Total,,120,104,27,251,,,,,,,,,,
