Year,Category,Medalist,Product,Award,Status,Region,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2018,Flavoured Cider,Hawkes,Urban Orchard Mixed Berry Cider,🥉 Bronze,Active,England,"<a href=""https://wearehawkes.com/"">Website</a>","<a href=""https://www.facebook.com/wearehawkes/"">Facebook</a>","<a href=""https://www.instagram.com/hawkescidertap/"">Instagram</a>",,,
2018,Flavoured Cider,Hogan's Cider,Hogan's Hip Hop Cider,🥉 Bronze,Active,England,"<a href=""https://www.hoganscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HogansCider/"">Facebook</a>","<a href=""https://www.instagram.com/hoganscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=344551779062280462"">Google</a>",,
2018,Flavoured Cider,Loïc Raison,Cidre Loic Raison Framboise,🥉 Bronze,Active,France,"<a href=""https://www.loicraison.fr/"">Website</a>","<a href=""https://www.facebook.com/CidreLoicRaison/"">Facebook</a>","<a href=""https://www.instagram.com/loicraison/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15768587504697904757"">Google</a>",,
2018,Flavoured Cider,Les Celliers Associés,L'Authentique French Cider Pear,🥉 Bronze,Active,France,"<a href=""https://www.valderance.com/"">Website</a>","<a href=""https://www.facebook.com/ValdeRance/"">Facebook</a>","<a href=""https://www.instagram.com/lca_coop_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7883069809343472545"">Google</a>",,
2018,Flavoured Cider,Les Celliers Associés,L'Authentique French Cider Raspberry,🥉 Bronze,Active,France,"<a href=""https://www.valderance.com/"">Website</a>","<a href=""https://www.facebook.com/ValdeRance/"">Facebook</a>","<a href=""https://www.instagram.com/lca_coop_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7883069809343472545"">Google</a>",,
2018,Flavoured Cider,Long Meadow Cider,Rhubarb & Honey Cider,🥉 Bronze,Active,Northern Ireland,"<a href=""https://www.longmeadowcider.com/"">Website</a>","<a href=""https://www.facebook.com/longmeadowcider"">Facebook</a>","<a href=""https://www.instagram.com/long.meadow.cider"">Instagram</a>","<a href=""https://maps.google.com/?cid=4808669294076402426"">Google</a>","<a href=""https://www.yelp.com/biz/long-meadow-cider-portadown"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g209959-d20220982"">TripAdvisor</a>"
2018,Flavoured Cider,Marks & Spencer,Devon Farmhouse Cider with Elderflower Infusion (Bottle),🥉 Bronze,Active,England,"<a href=""https://www.marksandspencer.com/"">Website</a>","<a href=""https://www.facebook.com/MarksandSpencer/"">Facebook</a>","<a href=""https://www.instagram.com/marksandspencer/"">Instagram</a>",,,
2018,Flavoured Cider,Marks & Spencer,Devon Farmhouse Cider with Elderflower Infusion (Can),🥉 Bronze,Active,England,"<a href=""https://www.marksandspencer.com/"">Website</a>","<a href=""https://www.facebook.com/MarksandSpencer/"">Facebook</a>","<a href=""https://www.instagram.com/marksandspencer/"">Instagram</a>",,,
2018,Flavoured Cider,Marks & Spencer,Devon Farmhouse Cider with Raspberry (Can),🥉 Bronze,Active,England,"<a href=""https://www.marksandspencer.com/"">Website</a>","<a href=""https://www.facebook.com/MarksandSpencer/"">Facebook</a>","<a href=""https://www.instagram.com/marksandspencer/"">Instagram</a>",,,
2018,Flavoured Cider,Marks & Spencer,M&S Berry Cider,🥉 Bronze,Active,England,"<a href=""https://www.marksandspencer.com/"">Website</a>","<a href=""https://www.facebook.com/MarksandSpencer/"">Facebook</a>","<a href=""https://www.instagram.com/marksandspencer/"">Instagram</a>",,,
