Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Archer,Queensland,0,0,1,1,"<a href=""https://www.archerbrewing.com.au/"">Website</a>","<a href=""https://www.facebook.com/archerbrewingaus"">Facebook</a>","<a href=""https://www.instagram.com/archerbrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4414488942984174656"">Google</a>",,"<a href=""https://untappd.com/archerbrewingaus"">Untappd</a>"
Captains Creek,Victoria,0,0,1,1,"<a href=""https://www.captainscreek.com/"">Website</a>","<a href=""https://www.facebook.com/CaptainsCreekOrganicWines"">Facebook</a>","<a href=""https://www.instagram.com/captainscreekwinery"">Instagram</a>","<a href=""https://maps.google.com/?cid=5345523854642937105"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2275855-d2249819"">TripAdvisor</a>","<a href=""https://untappd.com/w/captain-s-creek/77455"">Untappd</a>"
Cester Camillo,Victoria,0,0,1,1,"<a href=""https://cestercamillo.it/"">Website</a>","<a href=""https://www.facebook.com/cestercamillo/"">Facebook</a>","<a href=""https://www.instagram.com/cestercamillo"">Instagram</a>","<a href=""https://maps.google.com/?cid=8941056702037722200"">Google</a>",,"<a href=""https://untappd.com/w/cester-camillo/311065"">Untappd</a>"
Ci-Fi,New South Wales,0,0,1,1,"<a href=""https://pinnacledrinks.com.au/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=18382720107027294885"">Google</a>",,"<a href=""https://untappd.com/PinnacleDrinksQS"">Untappd</a>"
Cider Infusion,Victoria,0,0,1,1,"<a href=""https://ciderinfusion.com/"">Website</a>","<a href=""https://www.facebook.com/ciderinfusion/"">Facebook</a>","<a href=""https://www.instagram.com/ciderinfusion/"">Instagram</a>",,,"<a href=""https://untappd.com/w/cider-infusion/534576"">Untappd</a>"
Darkes Cider,New South Wales,0,0,1,1,"<a href=""https://www.darkes.com.au/"">Website</a>","<a href=""https://www.facebook.com/DarkesCider"">Facebook</a>","<a href=""https://www.instagram.com/darkescider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9016868264603406991"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g7786462-d7786279"">TripAdvisor</a>","<a href=""https://untappd.com/w/darkes-cider/93421"">Untappd</a>"
Ecusson,France,0,0,1,1,"<a href=""https://www.cidre-ecusson.com/"">Website</a>","<a href=""https://www.facebook.com/CidreEcusson/"">Facebook</a>","<a href=""https://www.instagram.com/cidreecusson/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4055962133986878795"">Google</a>",,"<a href=""https://untappd.com/w/cidres-ecusson/15641"">Untappd</a>"
Funk Cider,Western Australia,0,0,1,1,"<a href=""https://www.funkcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/funkdrinksco"">Facebook</a>","<a href=""https://www.instagram.com/funkdrinksco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10108756665139980900"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2308113-d11815291"">TripAdvisor</a>","<a href=""https://untappd.com/FunkCider"">Untappd</a>"
Golden Axe,Victoria,0,0,1,1,"<a href=""https://kaijubeer.com.au/"">Website</a>","<a href=""https://www.facebook.com/KaijuBeer.au"">Facebook</a>","<a href=""https://www.instagram.com/kaijubeer"">Instagram</a>","<a href=""https://maps.google.com/?cid=487547657947015054"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g4379937-d26699553"">TripAdvisor</a>","<a href=""https://untappd.com/SouthEastBrewingCompanyPtyLtd"">Untappd</a>"
Henry Street Brewhouse,Victoria,0,0,1,1,"<a href=""https://www.henrystbrewhouse.com.au/"">Website</a>","<a href=""https://www.facebook.com/HenryStBrewhouse"">Facebook</a>","<a href=""https://www.instagram.com/henrystbrewhouse"">Instagram</a>","<a href=""https://maps.google.com/?cid=9275785949075554717"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g255100-d10312912"">TripAdvisor</a>","<a href=""https://untappd.com/HenryStBrewhouse"">Untappd</a>"
