Producer,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Apfelweinkontor,Germany,3,1,1,5,"<a href=""https://www.apfelweinkontor.com/"">Website</a>","<a href=""https://www.facebook.com/Apfelweinkontor"">Facebook</a>","<a href=""https://www.instagram.com/apfelweinkontor/"">Instagram</a>","<a href=""https://maps.google.com/?cid=599143855742456461"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g187337-d6922559"">TripAdvisor</a>","<a href=""https://untappd.com/w/apfelweinkontor-frankfurt/468433"">Untappd</a>"
Sidra Somarroza,Cantabria,2,0,3,5,"<a href=""https://sidrasomarroza.es/"">Website</a>","<a href=""https://www.facebook.com/sidrasomarroza"">Facebook</a>","<a href=""https://www.instagram.com/sidrasomarroza/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7109045394192195825"">Google</a>",,,"<a href=""https://untappd.com/w/somarroza/147830"">Untappd</a>"
Zapiain,Basque Country,3,0,1,4,"<a href=""https://zapiain.eus/"">Website</a>","<a href=""https://www.facebook.com/zapiainsagardoa"">Facebook</a>","<a href=""https://www.instagram.com/zapiainsagardoa/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16982677267877188990"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229"">TripAdvisor</a>","<a href=""https://untappd.com/ZapiainSagardoa"">Untappd</a>"
Killahora Orchards,Ireland,1,2,1,4,"<a href=""https://www.killahoraorchards.ie/"">Website</a>","<a href=""https://www.facebook.com/killahora/"">Facebook</a>","<a href=""https://www.instagram.com/killahora/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/killahora-orchards/437436"">Untappd</a>"
Mooma,Catalonia,1,2,1,4,"<a href=""https://mooma.cat/"">Website</a>","<a href=""https://www.facebook.com/sidreriamooma/"">Facebook</a>","<a href=""https://www.instagram.com/mooma/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11350926811080988766"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g3501872-d13815642"">TripAdvisor</a>","<a href=""https://untappd.com/w/mooma/254950"">Untappd</a>"
Weidmann & Groh,Germany,1,2,1,4,"<a href=""https://weidmann-groh.de/"">Website</a>","<a href=""https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=6569120976887073603"">Google</a>",,,"<a href=""https://untappd.com/w/weidmann-groh/73065"">Untappd</a>"
ANXO Cider,United States,1,1,2,4,"<a href=""https://store.anxodc.com/"">Website</a>","<a href=""https://www.facebook.com/ANXOcider"">Facebook</a>","<a href=""https://www.instagram.com/anxodistrict/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9806483452569861957"">Google</a>","<a href=""https://www.yelp.com/biz/anxo-cidery-and-tasting-room-washington"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g28970-d18923653"">TripAdvisor</a>","<a href=""https://untappd.com/ANXOCidery"">Untappd</a>"
Baldorba Naturel & Sagarraleku,Basque Country,1,0,3,4,"<a href=""https://www.sidrasbaldorbanaturel.com/"">Website</a>","<a href=""https://www.facebook.com/sagarraleku/"">Facebook</a>","<a href=""https://www.instagram.com/sidrasbaldorbanaturel/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/baldorba-sagardotegia/336919"">Untappd</a>"
Het Hamerstuk,Netherlands,0,4,0,4,"<a href=""https://hethamerstuk.nl/"">Website</a>","<a href=""https://www.facebook.com/HetHamerstuk/"">Facebook</a>","<a href=""https://www.instagram.com/hethamerstuk"">Instagram</a>","<a href=""https://maps.google.com/?cid=11584128023568770529"">Google</a>",,,"<a href=""https://untappd.com/Hamerstuk"">Untappd</a>"
Kühbrein Most,Austria,0,3,1,4,"<a href=""https://www.kuehbreinmost.at/"">Website</a>","<a href=""https://www.facebook.com/KuhbreinMost/"">Facebook</a>","<a href=""https://www.instagram.com/kuehbrein__/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6347288815375920345"">Google</a>",,,"<a href=""https://untappd.com/w/k-hbrein/425089"">Untappd</a>"
Haselberger,Austria,0,1,3,4,"<a href=""https://www.haselberger-most.at/"">Website</a>","<a href=""https://www.facebook.com/dhaselbergers"">Facebook</a>","<a href=""https://www.instagram.com/haselberger_most/"">Instagram</a>","<a href=""https://maps.google.com/?cid=786849473018101989"">Google</a>",,,
Sidra Viuda de Angelón,Asturias,2,1,0,3,"<a href=""http://www.sidraviudaangelonpomar.es/"">Website</a>","<a href=""https://www.facebook.com/sidrapomar.viudaangelon/"">Facebook</a>","<a href=""https://www.instagram.com/Sidraviudaangelon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13173562328637195239"">Google</a>",,,"<a href=""https://untappd.com/w/viuda-de-angela3n/142823"">Untappd</a>"
