Year,Category,Medalist,Product,Award,Status,Region,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2015,Sweet Sparkling Cider,Écusson,Écusson Doux,🥇 Gold,Active,France,"<a href=""https://www.cidre-ecusson.com/"">Website</a>","<a href=""https://www.facebook.com/CidreEcusson/"">Facebook</a>","<a href=""https://www.instagram.com/cidreecusson/"">Instagram</a>",,,"<a href=""https://untappd.com/w/cidres-ecusson/15641"">Untappd</a>"
2015,Sweet Sparkling Cider,Sidra M. Norniella,M. Norniella,🥈 Silver,Active,Asturias,"<a href=""https://www.macrile.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100010091055351"">Facebook</a>","<a href=""https://www.instagram.com/sidra_m.norniella/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12557897810508481900"">Google</a>",,"<a href=""https://untappd.com/w/macrile/188803"">Untappd</a>"
2015,Rosé Cider,Sidra Mayador,Mayador Rossé,🥇 Gold,Active,Asturias,"<a href=""http://www.mayador.com/"">Website</a>","<a href=""https://www.facebook.com/sidramayadorcider"">Facebook</a>","<a href=""https://www.instagram.com/sidramayador/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6886369759358960464"">Google</a>",,"<a href=""https://untappd.com/SidraMayador"">Untappd</a>"
2015,Rosé Cider,Écusson,Écusson Rosé,🥈 Silver,Active,France,"<a href=""https://www.cidre-ecusson.com/"">Website</a>","<a href=""https://www.facebook.com/CidreEcusson/"">Facebook</a>","<a href=""https://www.instagram.com/cidreecusson/"">Instagram</a>",,,"<a href=""https://untappd.com/w/cidres-ecusson/15641"">Untappd</a>"
2015,Rosé Cider,Sidra Panizales,Hera Cereza,🥉 Bronze,Active,Asturias,"<a href=""https://sidrapanizales.com/"">Website</a>","<a href=""https://www.facebook.com/panizales.sidra"">Facebook</a>","<a href=""https://www.instagram.com/sidrapanizales/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16258480851124885832"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g775263-d7621234"">TripAdvisor</a>","<a href=""https://untappd.com/w/llagar-panizales/152401"">Untappd</a>"
2015,Perry,Écusson,Écusson Poiré,🥇 Gold,Active,France,"<a href=""https://www.cidre-ecusson.com/"">Website</a>","<a href=""https://www.facebook.com/CidreEcusson/"">Facebook</a>","<a href=""https://www.instagram.com/cidreecusson/"">Instagram</a>",,,"<a href=""https://untappd.com/w/cidres-ecusson/15641"">Untappd</a>"
2015,Perry,Seppelbauer,Exibatur,🥈 Silver,Active,Austria,"<a href=""https://www.seppelbauer.at/"">Website</a>","<a href=""https://www.facebook.com/pages/Seppelbauers-Obstparadies/208933892492272"">Facebook</a>","<a href=""https://www.instagram.com/seppelbauer/"">Instagram</a>",,,"<a href=""https://untappd.com/w/mostheuriger-seppelbauer-datzberger/309349"">Untappd</a>"
2015,Perry,Seppelbauer,Preh,🥉 Bronze,Active,Austria,"<a href=""https://www.seppelbauer.at/"">Website</a>","<a href=""https://www.facebook.com/pages/Seppelbauers-Obstparadies/208933892492272"">Facebook</a>","<a href=""https://www.instagram.com/seppelbauer/"">Instagram</a>",,,"<a href=""https://untappd.com/w/mostheuriger-seppelbauer-datzberger/309349"">Untappd</a>"
2015,Ice Cider,Brännland Cider,Iscider 33,🥇 Gold,Active,Sweden,"<a href=""https://www.brannlandcider.se/"">Website</a>","<a href=""https://www.facebook.com/brannlandcider/"">Facebook</a>","<a href=""https://www.instagram.com/brannlandcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2299367906990041003"">Google</a>",,"<a href=""https://untappd.com/brewery/83843"">Untappd</a>"
2015,Ice Cider,Sidra Viuda de Angelón,Diamantes de Hielo,🥈 Silver,Active,Asturias,"<a href=""http://www.sidraviudaangelonpomar.es/"">Website</a>","<a href=""https://www.facebook.com/sidrapomar.viudaangelon/"">Facebook</a>","<a href=""https://www.instagram.com/Sidraviudaangelon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13173562328637195239"">Google</a>",,"<a href=""https://untappd.com/w/viuda-de-angela3n/142823"">Untappd</a>"
