Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Country,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Zeffer,Hawke's Bay,3,3,6,12,2013,2023,6,Active,New Zealand,"<a href=""https://zeffer.co.nz/"">Website</a>","<a href=""https://www.facebook.com/zefferdrinks/"">Facebook</a>","<a href=""https://www.instagram.com/zefferdrinks/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13931145990495161499"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g255680-d15328989"">TripAdvisor</a>","<a href=""https://untappd.com/Zeffer"">Untappd</a>"
3 Sons Cider,Australian Capital Territory,1,5,6,12,2017,2024,6,Active,Australia,"<a href=""http://www.3sonscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/3SonsCider/"">Facebook</a>","<a href=""https://www.instagram.com/3sonscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16285596579467432961"">Google</a>",,,"<a href=""https://untappd.com/3sonscider"">Untappd</a>"
Darkes Cider,New South Wales,1,1,10,12,2016,2024,8,Active,Australia,"<a href=""https://www.darkes.com.au/"">Website</a>","<a href=""https://www.facebook.com/DarkesCider"">Facebook</a>","<a href=""https://www.instagram.com/darkescider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9016868264603406991"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g7786462-d7786279"">TripAdvisor</a>","<a href=""https://untappd.com/w/darkes-cider/93421"">Untappd</a>"
Batlow Cider Co.,New South Wales,---,2,10,12,2015,2018,4,Active,Australia,"<a href=""https://www.batlowcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/batlowcider"">Facebook</a>","<a href=""https://www.instagram.com/batlowcider/"">Instagram</a>",,,,"<a href=""https://untappd.com/brewery/16618"">Untappd</a>"
Coles Liquor Group,Victoria,---,1,11,12,2017,2021,4,Inactive,Australia,,,,,,,
Jachmann Cider,South Australia,1,2,8,11,2014,2018,5,Active,Australia,"<a href=""https://jachmann.com.au/"">Website</a>","<a href=""https://www.facebook.com/JachmannAppleCider"">Facebook</a>",,,,,"<a href=""https://untappd.com/w/jachmann-apple-co/201681"">Untappd</a>"
Peckham's Cider,Tasman,3,4,3,10,2023,2024,2,Active,New Zealand,"<a href=""https://www.peckhams.co.nz/"">Website</a>","<a href=""https://www.facebook.com/peckhamscider/"">Facebook</a>","<a href=""https://www.instagram.com/peckhamscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2102526933207385793"">Google</a>",,,"<a href=""https://untappd.com/brewery/23755"">Untappd</a>"
Henney's Cider,Herefordshire,2,6,2,10,2011,2014,4,Active,England,"<a href=""http://www.henneys.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HenneysCider"">Facebook</a>",,,,,"<a href=""https://untappd.com/brewery/10577"">Untappd</a>"
Runamuk Cider Co,Western Australia,---,2,8,10,2018,2022,3,Active,Australia,"<a href=""https://runamukciderco.com.au/"">Website</a>","<a href=""https://www.facebook.com/RunamukCiderCo/"">Facebook</a>","<a href=""https://www.instagram.com/runamukciderco/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/runamuk-cider-co/430598"">Untappd</a>"
Eddies Cider,Victoria,3,1,5,9,2019,2024,5,Active,Australia,"<a href=""https://www.eddiescider.com.au/"">Website</a>","<a href=""https://www.facebook.com/EddiesCider/"">Facebook</a>","<a href=""https://www.instagram.com/eddies_organic_cider/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/eddies-cider/424405"">Untappd</a>"
