Year,Class,Medalist,Product,Award,Score,Status,Region,Country,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2012,Medium Cider,Little Creatures,Pipsqueak Best Cider,🥈 Silver,,Active,Western Australia,Australia,"<a href=""https://littlecreatures.com.au/"">Website</a>","<a href=""https://www.facebook.com/littlecreaturesbrewing"">Facebook</a>","<a href=""https://www.instagram.com/littlecreaturesbrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1864054459948406266"">Google</a>","<a href=""https://www.yelp.com/biz/little-creatures-brewery-fremantle"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g285726-d778314"">TripAdvisor</a>","<a href=""https://untappd.com/LittleCreaturesBrewing"">Untappd</a>"
2012,Medium Cider,Red Sails Ciders,Red Sails Cider Gold,🥈 Silver,,Inactive,Tasmania,Australia,,,,,,,
2012,Medium Cider,Henney's Cider,Henney’s Dry Cider,🥉 Bronze,,Active,Herefordshire,England,"<a href=""http://www.henneys.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HenneysCider"">Facebook</a>",,,,,"<a href=""https://untappd.com/brewery/10577"">Untappd</a>"
2012,Medium Cider,Tilse's Apple Truck Cider,Hunter River Cider,🥉 Bronze,,Active,New South Wales,Australia,"<a href=""https://www.theorchardlodge.com.au/"">Website</a>","<a href=""https://www.facebook.com/theorchardlodgensw/"">Facebook</a>","<a href=""https://www.instagram.com/appletruckcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18205993928648034259"">Google</a>",,"<a href=""https://www.tripadvisor.com/Hotel_Review-g5788651-d23405360"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/30402"">Untappd</a>"
2012,Medium Cider,The Australian Brewery,AB Fresh Press Cider,🥉 Bronze,,Active,New South Wales,Australia,"<a href=""https://www.australianhotelbrewery.com.au/"">Website</a>","<a href=""https://www.facebook.com/australianhotelbrewery"">Facebook</a>","<a href=""https://www.instagram.com/australianhotelbrewery"">Instagram</a>","<a href=""https://maps.google.com/?cid=11658747106516787081"">Google</a>","<a href=""https://www.yelp.com/biz/the-australian-brewery-rouse-hill"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1548245-d10063887"">TripAdvisor</a>","<a href=""https://untappd.com/TheAustralianBrewery"">Untappd</a>"
2012,Medium Cider,King Valley Cider Co.,King Valley Cider Company – Traditionally Tart,🥉 Bronze,,Inactive,Victoria,Australia,,,,,,,
2012,Medium Cider,Hillbilly Cider,Hillbilly Apple Cider,🥉 Bronze,,Active,New South Wales,Australia,"<a href=""https://hillbillycider.com.au/"">Website</a>","<a href=""https://www.facebook.com/HillbillyCider/"">Facebook</a>","<a href=""https://www.instagram.com/hillbillycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=904695025997043027"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d12290596"">TripAdvisor</a>","<a href=""https://untappd.com/w/hillbilly-harvest-co/44163"">Untappd</a>"
2012,Medium Cider,Oakvale Wines,Oakvale Apple Cider,🥉 Bronze,,Active,New South Wales,Australia,"<a href=""https://www.oakvalewines.com.au/"">Website</a>","<a href=""https://www.facebook.com/oakvalewinery"">Facebook</a>","<a href=""https://www.instagram.com/oakvalewines/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5190501698518241314"">Google</a>","<a href=""https://www.yelp.com/biz/oakvale-wines-pokolbin"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g255328-d2536109"">TripAdvisor</a>","<a href=""https://untappd.com/w/oakvale/157694"">Untappd</a>"
2012,Medium Cider,Kangaroo Island Ciders,Kangaroo Island Cider- Colony Cove,🥉 Bronze,,Active,South Australia,Australia,"<a href=""https://www.kangarooislandciders.com.au/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=7120331639179318476"">Google</a>",,,"<a href=""https://untappd.com/w/kangaroo-island-ciders/62318"">Untappd</a>"
2012,Sweet Cider,Henney's Cider,Henney’s Apple – Sweet Cider,🥇 Gold,,Active,Herefordshire,England,"<a href=""http://www.henneys.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HenneysCider"">Facebook</a>",,,,,"<a href=""https://untappd.com/brewery/10577"">Untappd</a>"
2012,Sweet Cider,Frank's Cider,Frank’s Summer Apple Cider,🥉 Bronze,,Active,Tasmania,Australia,"<a href=""https://www.frankscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/FranksCider"">Facebook</a>","<a href=""https://www.instagram.com/frankscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12281895632138757991"">Google</a>","<a href=""https://www.yelp.com/biz/franks-cider-bar-and-cafe-franklin"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g504298-d7270183"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/66943"">Untappd</a>"
2012,Bottle Conditioned / Methode Champenoise Cider,Cidres la Pommeraie,Cidre Brut Artisanal de Normandie La Pommeraie,🥈 Silver,,Inactive,Normandy,France,,,,,,,
2012,Bottle Conditioned / Methode Champenoise Cider,Hazeldean Forest Farm,Baw Baw Sparkling Cider,🥈 Silver,,Inactive,Victoria,Australia,,,,,,,
2012,Bottle Conditioned / Methode Champenoise Cider,Cidres la Pommeraie,Cidre Doux Artisanal de Normandie La Pommeraie,🥉 Bronze,,Inactive,Normandy,France,,,,,,,
