Year,Class,Medalist,Product,Country,Medal,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2021,No & Low Cider and Perry (0.5-2.9% ABV),Stonewell Cider,Stonewell Non-Alcoholic,Ireland,🥈 Silver,4,2,0,6,2019,2024,3,Active,"<a href=""https://www.stonewellcider.com/"">Website</a>","<a href=""https://www.facebook.com/stonewellcider"">Facebook</a>","<a href=""https://www.instagram.com/stonewellcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6638378960827420170"">Google</a>",,,"<a href=""https://untappd.com/Nohoval_Drinks_Company_Ltd"">Untappd</a>"
2021,No & Low Cider and Perry (0.5-2.9% ABV),Mosterei Möhl,Moehl Easy Apple Cider,Switzerland,🥉 Bronze,1,1,1,3,2019,2024,3,Active,"<a href=""https://www.moehl.ch/"">Website</a>","<a href=""https://www.facebook.com/saftvomfass/"">Facebook</a>","<a href=""https://www.instagram.com/mosterei_moehl/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2429351855518192196"">Google</a>",,,"<a href=""https://untappd.com/w/mosterei-mohl/21631"">Untappd</a>"
2021,Open Class,Sidra Mayador,Natural Cider M.Busto,Spain,🥇 Gold,2,0,0,2,2017,2021,2,Active,"<a href=""http://www.mayador.com/"">Website</a>","<a href=""https://www.facebook.com/sidramayadorcider"">Facebook</a>","<a href=""https://www.instagram.com/sidramayador/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6886369759358960464"">Google</a>",,,"<a href=""https://untappd.com/SidraMayador"">Untappd</a>"
2021,Open Class,Son of the Smith Hard Cider,Barrel Laundering,Japan,🥈 Silver,0,1,0,1,2021,2021,1,Active,"<a href=""https://www.hardcider.jp/"">Website</a>","<a href=""https://www.facebook.com/sonofthesmithhardcider/"">Facebook</a>","<a href=""https://www.instagram.com/sonofthesmithhardcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17747425634228385236"">Google</a>",,,"<a href=""https://untappd.com/w/son-of-the-smith-hard-cider/405424"">Untappd</a>"
2021,Open Class,Angry Orchard,Understood in Motion 4,United States,🥉 Bronze,4,2,5,11,2015,2021,4,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
2024,Tannic Cider - Dry,Bauman's Cider,Do You Fancy A Roadtrip?,United States,🥇 Gold,3,3,0,6,2021,2024,2,Active,"<a href=""https://baumanscider.com/"">Website</a>","<a href=""https://www.facebook.com/Baumanscider/"">Facebook</a>","<a href=""https://www.instagram.com/baumanscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10038644588886302965"">Google</a>","<a href=""https://www.yelp.com/biz/baumans-farm-and-garden-gervais"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51881-d6848567"">TripAdvisor</a>","<a href=""https://untappd.com/w/baumans-cider-company/253872"">Untappd</a>"
2024,Tannic Cider - Dry,Bauman's Cider,Sauvie Island Blend,United States,🥈 Silver,3,3,0,6,2021,2024,2,Active,"<a href=""https://baumanscider.com/"">Website</a>","<a href=""https://www.facebook.com/Baumanscider/"">Facebook</a>","<a href=""https://www.instagram.com/baumanscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10038644588886302965"">Google</a>","<a href=""https://www.yelp.com/biz/baumans-farm-and-garden-gervais"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51881-d6848567"">TripAdvisor</a>","<a href=""https://untappd.com/w/baumans-cider-company/253872"">Untappd</a>"
2024,Tannic Cider - Dry,Hogan's Cider,Hogan’s Dry Cider,England,🥉 Bronze,3,3,1,7,2017,2024,4,Active,"<a href=""https://www.hoganscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HogansCider/"">Facebook</a>","<a href=""https://www.instagram.com/hoganscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=344551779062280462"">Google</a>",,,"<a href=""https://untappd.com/brewery/27309"">Untappd</a>"
2024,Tannic Cider - Medium,2 Towns Ciderhouse,2022 Cidre Bouché,United States,🥇 Gold,1,0,1,2,2024,2024,1,Active,"<a href=""http://www.2townsciderhouse.com/"">Website</a>","<a href=""https://www.facebook.com/2townsciderhouse"">Facebook</a>","<a href=""https://www.instagram.com/2townscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10429935694700508047"">Google</a>","<a href=""https://www.yelp.com/biz/2-towns-ciderhouse-corvallis"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51817-d3417221"">TripAdvisor</a>","<a href=""https://untappd.com/w/2-towns-ciderhouse/12975"">Untappd</a>"
2024,Tannic Cider - Medium,Bauman's Cider,Little Green Apples,United States,🥈 Silver,3,3,0,6,2021,2024,2,Active,"<a href=""https://baumanscider.com/"">Website</a>","<a href=""https://www.facebook.com/Baumanscider/"">Facebook</a>","<a href=""https://www.instagram.com/baumanscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10038644588886302965"">Google</a>","<a href=""https://www.yelp.com/biz/baumans-farm-and-garden-gervais"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51881-d6848567"">TripAdvisor</a>","<a href=""https://untappd.com/w/baumans-cider-company/253872"">Untappd</a>"
2024,Tannic Cider - Medium,2 Towns Ciderhouse,Kingston Black Single Varietal,United States,🥉 Bronze,1,0,1,2,2024,2024,1,Active,"<a href=""http://www.2townsciderhouse.com/"">Website</a>","<a href=""https://www.facebook.com/2townsciderhouse"">Facebook</a>","<a href=""https://www.instagram.com/2townscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10429935694700508047"">Google</a>","<a href=""https://www.yelp.com/biz/2-towns-ciderhouse-corvallis"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51817-d3417221"">TripAdvisor</a>","<a href=""https://untappd.com/w/2-towns-ciderhouse/12975"">Untappd</a>"
2024,Tannic Cider - Sweet,Dunkertons Cider and Perry,Vintage Organic Cider,England,🥇 Gold,1,0,0,1,2024,2024,1,Active,"<a href=""https://www.dunkertonscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/dunkertonsorganiccider/"">Facebook</a>","<a href=""https://www.instagram.com/dunkertonscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4719921113153419800"">Google</a>",,,"<a href=""https://untappd.com/brewery/12988"">Untappd</a>"
2024,Modern Cider - Dry,Bauman's Cider,Authentic Cider,United States,🥇 Gold,3,3,0,6,2021,2024,2,Active,"<a href=""https://baumanscider.com/"">Website</a>","<a href=""https://www.facebook.com/Baumanscider/"">Facebook</a>","<a href=""https://www.instagram.com/baumanscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10038644588886302965"">Google</a>","<a href=""https://www.yelp.com/biz/baumans-farm-and-garden-gervais"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51881-d6848567"">TripAdvisor</a>","<a href=""https://untappd.com/w/baumans-cider-company/253872"">Untappd</a>"
2024,Modern Cider - Dry,Alde Sider,Alde Sider,Norway,🥈 Silver,1,1,0,2,2024,2024,1,Active,"<a href=""https://www.aldesider.no/"">Website</a>","<a href=""https://www.facebook.com/aldesider"">Facebook</a>","<a href=""https://www.instagram.com/aldesider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7838999053969928967"">Google</a>",,,"<a href=""https://untappd.com/Alde_hardanger"">Untappd</a>"
2024,Modern Cider - Medium,Sidra El Gaitero,Sidra El Gaitero Etiqueta Negra,Spain,🥇 Gold,1,1,0,2,2024,2024,1,Active,"<a href=""https://www.sidraelgaitero.com/"">Website</a>","<a href=""https://www.facebook.com/grupoelgaitero"">Facebook</a>","<a href=""https://www.instagram.com/grupoelgaitero/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15753532318992345137"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g608997-d3239389"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/4266"">Untappd</a>"
2024,Modern Cider - Medium,Portland Cider Company,English Pub,United States,🥈 Silver,1,1,0,2,2024,2024,1,Active,"<a href=""http://portlandcider.com/"">Website</a>","<a href=""https://www.facebook.com/portlandcider"">Facebook</a>","<a href=""https://www.instagram.com/portlandcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5897814277091816079"">Google</a>","<a href=""https://www.yelp.com/biz/portland-cider-company-clackamas"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793"">TripAdvisor</a>","<a href=""https://untappd.com/w/portland-cider-company/56260"">Untappd</a>"
2024,Modern Cider - Medium,Cidrerie Stassen,Stassen Cidre Brut,Belgium,🥉 Bronze,0,1,2,3,2024,2024,1,Active,"<a href=""https://www.cidreriestassen.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=3414465612960585932"">Google</a>",,,"<a href=""https://untappd.com/w/stassen-vin-cie/12274"">Untappd</a>"
2024,Modern Cider ‐ Sweet,Portland Cider Company,Original Gold,United States,🥇 Gold,1,1,0,2,2024,2024,1,Active,"<a href=""http://portlandcider.com/"">Website</a>","<a href=""https://www.facebook.com/portlandcider"">Facebook</a>","<a href=""https://www.instagram.com/portlandcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5897814277091816079"">Google</a>","<a href=""https://www.yelp.com/biz/portland-cider-company-clackamas"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793"">TripAdvisor</a>","<a href=""https://untappd.com/w/portland-cider-company/56260"">Untappd</a>"
2024,Modern Cider ‐ Sweet,Stonewell Cider,Stonewell Medium Dry,Ireland,🥈 Silver,4,2,0,6,2019,2024,3,Active,"<a href=""https://www.stonewellcider.com/"">Website</a>","<a href=""https://www.facebook.com/stonewellcider"">Facebook</a>","<a href=""https://www.instagram.com/stonewellcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6638378960827420170"">Google</a>",,,"<a href=""https://untappd.com/Nohoval_Drinks_Company_Ltd"">Untappd</a>"
2024,Spanish Style Cider,Brooklyn Cider House,Solstice,United States,🥈 Silver,0,1,0,1,2024,2024,1,Active,"<a href=""http://brooklynciderhouse.com/"">Website</a>",,"<a href=""https://www.instagram.com/brooklynciderhouse/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3244654366527486527"">Google</a>",,,"<a href=""https://untappd.com/w/brooklyn-cider-house/234267"">Untappd</a>"
2024,Perry,Newton Court Cider,Panting Partridge,England,🥉 Bronze,0,0,1,1,2024,2024,1,Active,"<a href=""https://www.newtoncourtcider.com/"">Website</a>","<a href=""https://www.facebook.com/newtonscider/"">Facebook</a>","<a href=""https://www.instagram.com/newtoncourtcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16599711403513185285"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g1936778-d7940383"">TripAdvisor</a>","<a href=""https://untappd.com/NewtonCourtCidery"">Untappd</a>"
2024,Cider with Berries,Black Apple Hard Cider,Black Apple - Blackberry,United States,🥇 Gold,1,0,0,1,2024,2024,1,Active,"<a href=""https://www.blackapplehardcider.com/"">Website</a>","<a href=""https://www.facebook.com/blackapplecrossing/"">Facebook</a>","<a href=""https://www.instagram.com/blackapplehardcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5449257929643515916"">Google</a>","<a href=""https://www.yelp.com/biz/black-apple-crossing-springdale"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g31931-d8814858"">TripAdvisor</a>","<a href=""https://untappd.com/w/black-apple-crossing/211057"">Untappd</a>"
2024,Cider with Berries,The Pembrokeshire Cider Co.,Mixed Berry Apple Cider,Wales,🥈 Silver,0,1,0,1,2024,2024,1,Active,"<a href=""https://pembrokeshirecider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/PembrokeshireCider"">Facebook</a>","<a href=""https://www.instagram.com/pembrokeshirecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7076376665804890949"">Google</a>",,,"<a href=""https://untappd.com/w/the-pembrokeshire-cider-co/356892"">Untappd</a>"
2024,Cider with Other Fruits & Flowers,Stonewell Cider,Rós,Ireland,🥇 Gold,4,2,0,6,2019,2024,3,Active,"<a href=""https://www.stonewellcider.com/"">Website</a>","<a href=""https://www.facebook.com/stonewellcider"">Facebook</a>","<a href=""https://www.instagram.com/stonewellcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6638378960827420170"">Google</a>",,,"<a href=""https://untappd.com/Nohoval_Drinks_Company_Ltd"">Untappd</a>"
2024,Cider with Other Fruits & Flowers,Sidra El Gaitero,Gaitero Spanish Cider with Red Grape,Spain,🥈 Silver,1,1,0,2,2024,2024,1,Active,"<a href=""https://www.sidraelgaitero.com/"">Website</a>","<a href=""https://www.facebook.com/grupoelgaitero"">Facebook</a>","<a href=""https://www.instagram.com/grupoelgaitero/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15753532318992345137"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g608997-d3239389"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/4266"">Untappd</a>"
2024,Cider with Other Fruits & Flowers,Stormalong Cider,Red Skies at Night,United States,🥉 Bronze,0,1,1,2,2024,2024,1,Active,"<a href=""https://www.stormalong.com/"">Website</a>","<a href=""https://www.facebook.com/stormalongcider/"">Facebook</a>","<a href=""https://www.instagram.com/stormalongcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9791117786097773397"">Google</a>",,,"<a href=""https://untappd.com/w/stormalong-cider/182598"">Untappd</a>"
2024,Cider with Botanicals,OmCider,ODEL,Norway,🥇 Gold,1,0,0,1,2024,2024,1,Active,"<a href=""https://omcider.no/"">Website</a>","<a href=""https://www.facebook.com/OmCiderAS/"">Facebook</a>","<a href=""https://www.instagram.com/omcideras/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1800091822223931241"">Google</a>",,,"<a href=""https://untappd.com/w/omcider/492586"">Untappd</a>"
2024,Cider with Botanicals,Stormalong Cider,White Mountain Magic,United States,🥈 Silver,0,1,1,2,2024,2024,1,Active,"<a href=""https://www.stormalong.com/"">Website</a>","<a href=""https://www.facebook.com/stormalongcider/"">Facebook</a>","<a href=""https://www.instagram.com/stormalongcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9791117786097773397"">Google</a>",,,"<a href=""https://untappd.com/w/stormalong-cider/182598"">Untappd</a>"
2024,Rosé Cider,Alde Sider,Alde Rosé Sider,Norway,🥇 Gold,1,1,0,2,2024,2024,1,Active,"<a href=""https://www.aldesider.no/"">Website</a>","<a href=""https://www.facebook.com/aldesider"">Facebook</a>","<a href=""https://www.instagram.com/aldesider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7838999053969928967"">Google</a>",,,"<a href=""https://untappd.com/Alde_hardanger"">Untappd</a>"
2024,Rosé Cider,Bauman's Cider,Mountain Rose SV,United States,🥈 Silver,3,3,0,6,2021,2024,2,Active,"<a href=""https://baumanscider.com/"">Website</a>","<a href=""https://www.facebook.com/Baumanscider/"">Facebook</a>","<a href=""https://www.instagram.com/baumanscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10038644588886302965"">Google</a>","<a href=""https://www.yelp.com/biz/baumans-farm-and-garden-gervais"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51881-d6848567"">TripAdvisor</a>","<a href=""https://untappd.com/w/baumans-cider-company/253872"">Untappd</a>"
2024,Rosé Cider,Cidrerie Stassen,Strongbow Rosé Apple,Belgium,🥉 Bronze,0,1,2,3,2024,2024,1,Active,"<a href=""https://www.cidreriestassen.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=3414465612960585932"">Google</a>",,,"<a href=""https://untappd.com/w/stassen-vin-cie/12274"">Untappd</a>"
2024,Ice Cider,Lepola Drinks,Vega Ice Cider,Finland,🥇 Gold,1,0,0,1,2024,2024,1,Active,"<a href=""https://lepoladrinks.fi/"">Website</a>","<a href=""https://www.facebook.com/lepoladrinks/"">Facebook</a>","<a href=""https://www.instagram.com/lepola_drinks/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10912023971262858580"">Google</a>",,,"<a href=""https://untappd.com/w/lepola/401095"">Untappd</a>"
2024,Low & No Cider and Perry,Cotswold Cider Company,Phantom of the Orchard Lo-Alc 1% Cider,England,🥇 Gold,1,1,0,2,2019,2024,2,Active,"<a href=""https://www.cotswoldciderco.com/"">Website</a>","<a href=""https://www.facebook.com/CotswoldCiderCompany"">Facebook</a>","<a href=""https://www.instagram.com/cotswoldciderco/"">Instagram</a>",,,,"<a href=""https://untappd.com/TheCotswoldCiderCompany"">Untappd</a>"
2024,Low & No Cider and Perry,Mosterei Möhl,Möhl Easy Apple Cider,Switzerland,🥈 Silver,1,1,1,3,2019,2024,3,Active,"<a href=""https://www.moehl.ch/"">Website</a>","<a href=""https://www.facebook.com/saftvomfass/"">Facebook</a>","<a href=""https://www.instagram.com/mosterei_moehl/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2429351855518192196"">Google</a>",,,"<a href=""https://untappd.com/w/mosterei-mohl/21631"">Untappd</a>"
2024,Open Class,Stonewell Cider,Tawny 10,Ireland,🥇 Gold,4,2,0,6,2019,2024,3,Active,"<a href=""https://www.stonewellcider.com/"">Website</a>","<a href=""https://www.facebook.com/stonewellcider"">Facebook</a>","<a href=""https://www.instagram.com/stonewellcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6638378960827420170"">Google</a>",,,"<a href=""https://untappd.com/Nohoval_Drinks_Company_Ltd"">Untappd</a>"
2024,Open Class,Cidrerie Stassen,Stassen Cidre d’Abbaye Blond,Belgium,🥈 Silver,0,1,2,3,2024,2024,1,Active,"<a href=""https://www.cidreriestassen.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=3414465612960585932"">Google</a>",,,"<a href=""https://untappd.com/w/stassen-vin-cie/12274"">Untappd</a>"
2024,Open Class,James Creek Cider House,Stargazer Cider - Crossbow,United States,🥉 Bronze,0,0,1,1,2024,2024,1,Active,"<a href=""https://jamescreekciderhouse.com/"">Website</a>","<a href=""https://www.facebook.com/jamescreekciderhouse"">Facebook</a>","<a href=""https://www.instagram.com/jamescreekciderhouse/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8654485681895206331"">Google</a>","<a href=""https://www.yelp.com/biz/james-creek-cider-house-cameron"">Yelp</a>",,"<a href=""https://untappd.com/w/james-creek-cider-house/291592"">Untappd</a>"
