Year,Class,Medalist,Product,Country,Medal,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2015,Open Apple Class - Medium,Sheppy's Cider,Somerset Draught,England,🥈 Silver,5,3,0,8,2015,2021,4,Active,"<a href=""https://www.sheppyscider.com/"">Website</a>","<a href=""https://www.facebook.com/sheppyscider/"">Facebook</a>","<a href=""https://www.instagram.com/sheppyscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14572513592829460886"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g190730-d6870973"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/7956"">Untappd</a>"
2015,Open Apple Class - Medium,Vermont Cider Company,Granny Smith,United States,🥉 Bronze,1,0,1,2,2015,2015,1,Active,"<a href=""http://www.woodchuck.com/"">Website</a>","<a href=""https://www.facebook.com/WoodchuckCider"">Facebook</a>","<a href=""https://www.instagram.com/woodchuckcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9402882086420367798"">Google</a>","<a href=""https://www.yelp.com/biz/woodchuck-hard-cidery-middlebury"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57245-d7022345"">TripAdvisor</a>","<a href=""https://untappd.com/w/woodchuck-cidery/611"">Untappd</a>"
2015,Open Apple Class - Sweet,Vermont Cider Company,Amber,United States,🥇 Gold,1,0,1,2,2015,2015,1,Active,"<a href=""http://www.woodchuck.com/"">Website</a>","<a href=""https://www.facebook.com/WoodchuckCider"">Facebook</a>","<a href=""https://www.instagram.com/woodchuckcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9402882086420367798"">Google</a>","<a href=""https://www.yelp.com/biz/woodchuck-hard-cidery-middlebury"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57245-d7022345"">TripAdvisor</a>","<a href=""https://untappd.com/w/woodchuck-cidery/611"">Untappd</a>"
2015,Open Apple Class - Sweet,Pressman's Cider,Pressman's,Australia,🥈 Silver,0,1,1,2,2015,2015,1,Active,,"<a href=""https://www.facebook.com/pressmans"">Facebook</a>","<a href=""https://www.instagram.com/pressmans_cider/"">Instagram</a>",,,,"<a href=""https://untappd.com/b/australian-beer-co-pressman-s-cider/544529"">Untappd</a>"
2015,Open Apple Class - Sweet,Bulmers,Strongbow Gold Apple,England,🥉 Bronze,2,3,5,10,2013,2019,4,Active,"<a href=""https://www.bulmers.co.uk/"">Website</a>","<a href=""https://www.facebook.com/Bulmers/"">Facebook</a>","<a href=""https://www.instagram.com/bulmers_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13460408443952843212"">Google</a>",,,"<a href=""https://untappd.com/bulmersamerica"">Untappd</a>"
2015,Flavoured Cider,Bulmers,Strongbow Honey,England,🥇 Gold,2,3,5,10,2013,2019,4,Active,"<a href=""https://www.bulmers.co.uk/"">Website</a>","<a href=""https://www.facebook.com/Bulmers/"">Facebook</a>","<a href=""https://www.instagram.com/bulmers_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13460408443952843212"">Google</a>",,,"<a href=""https://untappd.com/bulmersamerica"">Untappd</a>"
2015,Flavoured Cider,Bulmers,Strongbow Ginger,England,🥈 Silver,2,3,5,10,2013,2019,4,Active,"<a href=""https://www.bulmers.co.uk/"">Website</a>","<a href=""https://www.facebook.com/Bulmers/"">Facebook</a>","<a href=""https://www.instagram.com/bulmers_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13460408443952843212"">Google</a>",,,"<a href=""https://untappd.com/bulmersamerica"">Untappd</a>"
2015,Flavoured Cider,Briska,Briska Flader,Sweden,🥉 Bronze,0,0,2,2,2015,2017,2,Active,"<a href=""https://briska.se/"">Website</a>","<a href=""https://www.facebook.com/BriskaCider/"">Facebook</a>","<a href=""https://www.instagram.com/briskaalkoholfri/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15346300786672996269"">Google</a>",,,"<a href=""https://untappd.com/SpendrupsBryggeri"">Untappd</a>"
2015,Low Alcohol Cider (1.2-3.5% ABV),Pressman's Cider,Pressman's Mild,Australia,🥉 Bronze,0,1,1,2,2015,2015,1,Active,,"<a href=""https://www.facebook.com/pressmans"">Facebook</a>","<a href=""https://www.instagram.com/pressmans_cider/"">Instagram</a>",,,,"<a href=""https://untappd.com/b/australian-beer-co-pressman-s-cider/544529"">Untappd</a>"
2015,Speciality Cider or Perry,Angry Orchard,Angry Orchard The Muse,United States,🥇 Gold,4,2,5,11,2015,2021,4,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
