ID,Year,Category,Medalist,Product,Award,WID,Status,Region,Country,Region/Country,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
412,2021,Semi-Dry Sparkling Cider,Sidra Alfa,Artesanal Espumante Seca,🥈 Silver,2756,Active,Bragança,Portugal,Portugal,"<a href=""https://sidraalfa.pt/"">Website</a>","<a href=""https://www.facebook.com/Sidralfa1/"">Facebook</a>","<a href=""https://www.instagram.com/sidra_alfa/"">Instagram</a>",,,"<a href=""https://untappd.com/w/sidra-alfa/545661"">Untappd</a>"
413,2021,Semi-Dry Sparkling Cider,Tālava,Abolu,🥈 Silver,2142,Active,Gulbene,Latvia,Latvia,"<a href=""https://www.talava.lv/"">Website</a>","<a href=""https://www.facebook.com/talavassidrs"">Facebook</a>","<a href=""https://www.instagram.com/talavas_sidrs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16414834196985036378"">Google</a>",,"<a href=""https://untappd.com/TalavasSidrs"">Untappd</a>"
414,2021,Semi-Dry Sparkling Cider,Sidrería TenCai,Sidra Espumosa Semiseca,🥉 Bronze,2743,Active,Araucanía,Chile,Chile,"<a href=""https://tencaisidra.cl/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100063550781151"">Facebook</a>","<a href=""https://www.instagram.com/tencaisidra/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5739971672897016755"">Google</a>",,"<a href=""https://untappd.com/tencaisidra"">Untappd</a>"
415,2021,Sweet Sparkling Cider,Cider Sekt,Cider Talk Amarga,🏆 Premium,2745,Active,South Bohemia,Czechia,Czechia,"<a href=""https://www.cidersekt.cz/"">Website</a>","<a href=""https://www.facebook.com/cidertalk/"">Facebook</a>","<a href=""https://www.instagram.com/cidertalk/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1744130511388226457"">Google</a>",,"<a href=""https://untappd.com/w/provoco/396367"">Untappd</a>"
416,2021,Sweet Sparkling Cider,La Mala Sidra Espumosa,Sidra Espumosa Dulce,🥇 Gold,2978,Active,,Peru,Peru,"<a href=""https://lamala.pe/"">Website</a>","<a href=""https://www.facebook.com/lamalaperu"">Facebook</a>","<a href=""https://www.instagram.com/lamala.pe/"">Instagram</a>",,,"<a href=""https://untappd.com/w/la-mala-sidra-espumosa/488290"">Untappd</a>"
417,2021,Sweet Sparkling Cider,Cider Sekt,Cider Talk Semidulce,🥈 Silver,2745,Active,South Bohemia,Czechia,Czechia,"<a href=""https://www.cidersekt.cz/"">Website</a>","<a href=""https://www.facebook.com/cidertalk/"">Facebook</a>","<a href=""https://www.instagram.com/cidertalk/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1744130511388226457"">Google</a>",,"<a href=""https://untappd.com/w/provoco/396367"">Untappd</a>"
418,2021,Sweet Sparkling Cider,Tre Rii,Sidro di Mele Frizzante,🥉 Bronze,3082,Active,Emilia-Romagna,Italy,Italy,"<a href=""https://www.agricolatrerii.it/"">Website</a>","<a href=""https://www.facebook.com/AgricolaTreRii/"">Facebook</a>","<a href=""https://www.instagram.com/agricolatrerii/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16891167557912713232"">Google</a>","<a href=""https://www.tripadvisor.com/Hotel_Review-g1930460-d15521245"">TripAdvisor</a>","<a href=""https://untappd.com/w/azienda-agricola-tre-rii/368277"">Untappd</a>"
419,2021,Sweet Sparkling Cider,Cidrerie et Distillerie Pelletier,Cidre Fermier,🥉 Bronze,3594,Active,Pays de la Loire,France,France,"<a href=""https://www.cidreriedistilleriepelletiersarthe.com/"">Website</a>","<a href=""https://www.facebook.com/cidreriedistilleriepelletier"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=2254638142913788190"">Google</a>",,
420,2021,Sweet Sparkling Cider,Tālava,Sidrs Sweet,🥉 Bronze,2142,Active,Gulbene,Latvia,Latvia,"<a href=""https://www.talava.lv/"">Website</a>","<a href=""https://www.facebook.com/talavassidrs"">Facebook</a>","<a href=""https://www.instagram.com/talavas_sidrs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16414834196985036378"">Google</a>",,"<a href=""https://untappd.com/TalavasSidrs"">Untappd</a>"
421,2021,Sweet Sparkling Cider,Tālava,Sidrs Passionfruit,🥉 Bronze,2142,Active,Gulbene,Latvia,Latvia,"<a href=""https://www.talava.lv/"">Website</a>","<a href=""https://www.facebook.com/talavassidrs"">Facebook</a>","<a href=""https://www.instagram.com/talavas_sidrs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16414834196985036378"">Google</a>",,"<a href=""https://untappd.com/TalavasSidrs"">Untappd</a>"
