Medalist,Region,Country,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Bent Ladder,Ohio,United States,---,---,1,1,"<a href=""http://bentladder.com/"">Website</a>","<a href=""https://www.facebook.com/bentladder"">Facebook</a>","<a href=""https://www.instagram.com/bentladder/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5886580381731979881"">Google</a>","<a href=""https://www.yelp.com/biz/rittman-orchard-rittman"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g50283-d1977165"">TripAdvisor</a>","<a href=""https://untappd.com/w/bent-ladder/295757"">Untappd</a>"
Blue Barn Cidery,New York,United States,---,---,1,1,"<a href=""https://www.bluebarncidery.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=8104758114885529003"">Google</a>","<a href=""https://www.yelp.com/biz/blue-barn-cidery-hilton"">Yelp</a>",,"<a href=""https://untappd.com/BlueBarnCidery"">Untappd</a>"
Cherry Street Brewing,Georgia,United States,---,---,1,1,"<a href=""https://cherrystreetbrewing.com/"">Website</a>","<a href=""https://www.facebook.com/cherrystreetbrewing/"">Facebook</a>","<a href=""https://www.instagram.com/cherrystreetbrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16068754441412803212"">Google</a>","<a href=""https://www.yelp.com/biz/cherry-street-brewing-cooperative-cumming"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g34877-d10428081"">TripAdvisor</a>","<a href=""https://untappd.com/CherryStreetBrewing"">Untappd</a>"
Country Boy Brewing,Kentucky,United States,---,---,1,1,"<a href=""http://countryboybrewing.com/"">Website</a>","<a href=""https://www.facebook.com/CountryBoyBrewing"">Facebook</a>","<a href=""https://www.instagram.com/CountryBoybrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7007349802683802072"">Google</a>","<a href=""https://www.yelp.com/biz/country-boy-brewing-lexington"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g39588-d2661465"">TripAdvisor</a>","<a href=""https://untappd.com/w/country-boy-brewing/23693"">Untappd</a>"
Inside the Five Brewing Co.,Ohio,United States,---,---,1,1,"<a href=""https://www.insidethefivebrewing.com/"">Website</a>","<a href=""https://www.facebook.com/insidethefivebrewing"">Facebook</a>","<a href=""https://www.instagram.com/insidethefivebrewing"">Instagram</a>","<a href=""https://maps.google.com/?cid=10962149761049532364"">Google</a>","<a href=""https://www.yelp.com/biz/inside-the-five-fieldhouse-toledo"">Yelp</a>",,"<a href=""https://untappd.com/InsideTheFiveBrewingCompany"">Untappd</a>"
New Realm Brewing Company,Georgia,United States,---,---,1,1,"<a href=""https://newrealmbrewing.com/"">Website</a>","<a href=""https://www.facebook.com/newrealmbrewing"">Facebook</a>","<a href=""https://www.instagram.com/newrealmbrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16933059652984821271"">Google</a>","<a href=""https://www.yelp.com/biz/new-realm-brewing-atlanta-3"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g60898-d13370394"">TripAdvisor</a>","<a href=""https://untappd.com/NewRealmBrewingCompany"">Untappd</a>"
Punx Cider Worx,Pennsylvania,United States,---,---,1,1,,"<a href=""https://www.facebook.com/p/Punx-Cider-Worx-100089111281003/"">Facebook</a>","<a href=""https://www.instagram.com/punxciderworx/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/punx-cider-worx/536367"">Untappd</a>"
White Winter Winery,Wisconsin,United States,---,---,1,1,"<a href=""https://whitewinter.com/"">Website</a>","<a href=""https://www.facebook.com/WhiteWinterWinery/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=13642608818447326025"">Google</a>","<a href=""https://www.yelp.com/biz/white-winter-winery-iron-river"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g59986-d2457860"">TripAdvisor</a>","<a href=""https://untappd.com/w/white-winter-winery/1359"">Untappd</a>"
Williamson Mead and Brewing,North Carolina,United States,---,---,1,1,"<a href=""https://williamsonbrewing.com/"">Website</a>","<a href=""https://www.facebook.com/WilliamsonBrewing/"">Facebook</a>","<a href=""https://www.instagram.com/williamsonmeadandbrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9398213946413041794"">Google</a>","<a href=""https://www.yelp.com/biz/williamson-mead-and-brewing-glade-valley"">Yelp</a>",,
Bold Rock Hard Cider,North Carolina,United States,---,1,---,1,"<a href=""https://boldrock.com/"">Website</a>","<a href=""https://www.facebook.com/BoldRockHardCider/"">Facebook</a>","<a href=""https://www.instagram.com/boldrockhardcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10604087929796439877"">Google</a>","<a href=""https://www.yelp.com/biz/bold-rock-hard-cider-mills-river-mills-river"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1552723-d8862147"">TripAdvisor</a>","<a href=""https://untappd.com/v/bold-rock-mills-river-cidery/3954545"">Untappd</a>"
High Limb Hard Cider,Massachusetts,United States,---,1,---,1,"<a href=""https://www.highlimbcider.com/"">Website</a>","<a href=""https://www.facebook.com/highlimbcider/"">Facebook</a>","<a href=""https://www.instagram.com/highlimbcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11042855047844464741"">Google</a>","<a href=""https://www.yelp.com/biz/high-limb-cider-plymouth"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g41773-d21723351"">TripAdvisor</a>","<a href=""https://untappd.com/w/high-limb-hard-cider/108620"">Untappd</a>"
James Werner,Wisconsin,United States,---,1,---,1,,,,,,,
Jeff Carlson,Michigan,United States,---,1,---,1,,,,,,,
Newtopia Cyder,California,United States,---,1,---,1,"<a href=""http://www.drinknewtopia.com/"">Website</a>","<a href=""https://www.facebook.com/NewtopiaCyder"">Facebook</a>","<a href=""https://www.instagram.com/newtopiacyder/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12830879160117035367"">Google</a>",,,
Niagara College Teaching Winery,Ontario,Canada,---,1,---,1,"<a href=""https://www.ncteachingwinery.ca/"">Website</a>","<a href=""https://www.facebook.com/nctwinery/"">Facebook</a>","<a href=""https://www.instagram.com/nctwinery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2529664632400053188"">Google</a>","<a href=""https://www.yelp.com/biz/niagara-college-teaching-winery-niagara-on-the-lake"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g154999-d2414360"">TripAdvisor</a>","<a href=""https://untappd.com/w/niagara-college-teaching-winery/390649"">Untappd</a>"
Orchard Girls,Maine,United States,---,1,---,1,"<a href=""http://orchardgirls.com/"">Website</a>","<a href=""https://www.facebook.com/orchardgirlscider/"">Facebook</a>","<a href=""https://www.instagram.com/orchardgirlscider"">Instagram</a>","<a href=""https://maps.google.com/?cid=2486607221948549190"">Google</a>","<a href=""https://www.yelp.com/biz/orchard-girls-cidery-kingfield"">Yelp</a>",,"<a href=""https://untappd.com/w/orchard-girls/420976"">Untappd</a>"
Papa Moon Vineyards & Winery,Nebraska,United States,---,1,---,1,"<a href=""https://www.papamoonvineyards.com/"">Website</a>","<a href=""https://www.facebook.com/Papamoonwines"">Facebook</a>","<a href=""https://www.instagram.com/papamoonciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16564507604611639866"">Google</a>","<a href=""https://www.yelp.com/biz/papa-moon-vineyards-and-winery-scottsbluff"">Yelp</a>",,"<a href=""https://untappd.com/w/papa-moon-vineyards-winery-and-cider-house/472128"">Untappd</a>"
ACE Cider,California,United States,1,---,---,1,"<a href=""http://www.acecider.com/"">Website</a>","<a href=""https://www.facebook.com/AceCider"">Facebook</a>","<a href=""https://www.instagram.com/acecider/"">Instagram</a>",,"<a href=""https://www.yelp.com/biz/ace-premium-hard-ciders-sebastopol"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g33069-d3626497"">TripAdvisor</a>","<a href=""https://untappd.com/w/ace-cider-the-california-cider-company/331"">Untappd</a>"
Dingo Dog Brewing Company,North Carolina,United States,1,---,---,1,"<a href=""https://www.dingodogbrewing.com/"">Website</a>","<a href=""https://www.facebook.com/dingodogbrewing"">Facebook</a>","<a href=""https://www.instagram.com/dingodogbrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=855662940419552138"">Google</a>","<a href=""https://www.yelp.com/biz/dingo-dog-brewing-company-carrboro"">Yelp</a>",,"<a href=""https://untappd.com/DingoDogBrewing"">Untappd</a>"
Duxbury Cider Company,Ontario,Canada,1,---,---,1,"<a href=""https://www.theduxburyciderco.ca/"">Website</a>","<a href=""https://www.facebook.com/DuxburyCider/"">Facebook</a>","<a href=""https://www.instagram.com/duxburycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18178962492954171012"">Google</a>",,,"<a href=""https://untappd.com/w/duxbury-cider-company/87748"">Untappd</a>"
Freewater Cider and Wine Company,Oregon,United States,1,---,---,1,"<a href=""http://www.freewatercider.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=3598112635185277642"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g51971-d23305550"">TripAdvisor</a>","<a href=""https://untappd.com/w/freewater-cider-co/419915"">Untappd</a>"
Missing Falls Brewery,Ohio,United States,1,---,---,1,"<a href=""https://www.missingfalls.com/"">Website</a>","<a href=""https://www.facebook.com/MissingFallsBrewery/"">Facebook</a>","<a href=""https://www.instagram.com/missingfallsbrewery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16469758948621365687"">Google</a>","<a href=""https://www.yelp.com/biz/missing-falls-brewery-akron"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g29912-d23413493"">TripAdvisor</a>","<a href=""https://untappd.com/MissingFalls"">Untappd</a>"
Quartz Rock Vineyard,New York,United States,1,---,---,1,"<a href=""https://quartzrockvineyard.com/"">Website</a>","<a href=""https://www.facebook.com/QuartzRockVineyard"">Facebook</a>","<a href=""https://www.instagram.com/bedrockcidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1886322759965400402"">Google</a>","<a href=""https://www.yelp.com/biz/quartz-rock-vineyard-marlboro-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48121-d3404475"">TripAdvisor</a>","<a href=""https://untappd.com/w/quartz-rock/537568"">Untappd</a>"
Total,,,33,34,31,98,,,,,,,
