ID,Category,Award,Medalist,Entry,Region,WID,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude
12,Heritage Cider,🥈 SILVER,Schilling Cider,Excelsior Imperial Apple,Washington,550,https://schillingcider.com/,https://www.facebook.com/SchillingCider/,https://www.instagram.com/schillingcider/,https://maps.google.com/?cid=12281308087911884522,,,https://untappd.com/w/schilling-cider/62413,47.347243,-122.233995
13,Heritage Cider,🥉 BRONZE,Penn Brewery,Penn Cider Apple,Pennsylvania,3122,https://www.pennbrew.com/,https://www.facebook.com/PennBrewery,https://www.instagram.com/PennBrewery,https://maps.google.com/?cid=2498749404751387893,https://www.yelp.com/biz/penn-brewery-pittsburgh,https://www.tripadvisor.com/Restaurant_Review-g53449-d400956,https://untappd.com/PennBrewery,40.4571715,-79.9915052
14,Traditional Cider,🥇 GOLD,High Limb Cider,Core,Massachusetts,330,https://www.highlimbcider.com/,https://www.facebook.com/highlimbcider/,https://www.instagram.com/highlimbcider/,https://maps.google.com/?cid=11042855047844464741,https://www.yelp.com/biz/high-limb-cider-plymouth,https://www.tripadvisor.com/Attraction_Review-g41773-d21723351,https://untappd.com/w/high-limb-hard-cider/108620,41.9434465,-70.7111477
15,Traditional Cider,🥈 SILVER,Mountain West Hard Cider,Green Urban Lunch Box,Utah,432,http://mountainwestcider.com/,https://www.facebook.com/MountainWestHardCider/,https://www.instagram.com/mountainwestcider/,https://maps.google.com/?cid=16538924633378887108,https://www.yelp.com/biz/mountain-west-cider-salt-lake-city,,https://untappd.com/w/mountain-west-hard-cider/235312,40.778772,-111.903037
16,Traditional Cider,🥉 BRONZE,Andover Cider Co,Andover Cider,Massachusetts,3113,https://andoverciderco.com/,,https://www.instagram.com/andoverciderco/,,,,https://untappd.com/w/andover-cider-co/556487,42.6583356,-71.1367953
17,Perry,🥇 GOLD,Dingo Dog Brewing Company,Ben & Jacks Perry,North Carolina,2170,https://www.dingodogbrewing.com/,https://www.facebook.com/dingodogbrewing,https://www.instagram.com/dingodogbrewing/,https://maps.google.com/?cid=855662940419552138,https://www.yelp.com/biz/dingo-dog-brewing-company-carrboro,,https://untappd.com/DingoDogBrewing,35.9140913,-79.0720655
18,Perry,🥈 SILVER,Doc Waters Cidery,Lady Kay Perry,Maryland,999,https://www.docwaterscidery.com/,https://www.facebook.com/docwaterscidery,https://www.instagram.com/docwaterscidery/,https://maps.google.com/?cid=5897969821393799631,https://www.yelp.com/biz/doc-waters-cidery-germantown-3,,https://untappd.com/w/doc-waters-cidery/408791,39.2244834,-77.2013931
19,Perry,🥉 BRONZE,Pacific Grove CiderWorks,Sparkling Perry,California,2193,https://pgciderworks.com/,,,https://maps.google.com/?cid=15318820905667115274,https://www.yelp.com/biz/pacific-grove-ciderworks-pacific-grove,,https://untappd.com/w/pacific-grove-ciderworks/480168,36.6152808,-121.934671
20,Fruit Cider,🥇 GOLD,Vermont Cider Co.,Wyders Imperial Grapefruit,Vermont,664,http://www.woodchuck.com/,https://www.facebook.com/WoodchuckCider,https://www.instagram.com/woodchuckcider/,https://maps.google.com/?cid=9402882086420367798,https://www.yelp.com/biz/woodchuck-hard-cidery-middlebury,https://www.tripadvisor.com/Attraction_Review-g57245-d7022345,https://untappd.com/w/woodchuck-cidery/611,44.034072,-73.172778
21,Fruit Cider,🥈 SILVER,Vermont Cider Co.,Wyders Prickly Pineapple,Vermont,664,http://www.woodchuck.com/,https://www.facebook.com/WoodchuckCider,https://www.instagram.com/woodchuckcider/,https://maps.google.com/?cid=9402882086420367798,https://www.yelp.com/biz/woodchuck-hard-cidery-middlebury,https://www.tripadvisor.com/Attraction_Review-g57245-d7022345,https://untappd.com/w/woodchuck-cidery/611,44.034072,-73.172778
22,Fruit Cider,🥉 BRONZE,Schilling Cider,Excelsior Imperial Mango,Washington,550,https://schillingcider.com/,https://www.facebook.com/SchillingCider/,https://www.instagram.com/schillingcider/,https://maps.google.com/?cid=12281308087911884522,,,https://untappd.com/w/schilling-cider/62413,47.347243,-122.233995
23,Fruit Cider,🥉 BRONZE,Vermont Cider Co.,Woodchuck Hard Cider Bellini,Vermont,664,http://www.woodchuck.com/,https://www.facebook.com/WoodchuckCider,https://www.instagram.com/woodchuckcider/,https://maps.google.com/?cid=9402882086420367798,https://www.yelp.com/biz/woodchuck-hard-cidery-middlebury,https://www.tripadvisor.com/Attraction_Review-g57245-d7022345,https://untappd.com/w/woodchuck-cidery/611,44.034072,-73.172778
24,Grape Cider,🥇 GOLD,Apple Barrel Orchards,Northern Concord,New York,2286,https://applebarrelorchards.com/,https://www.facebook.com/applebarrelorchards,https://www.instagram.com/applebarrelorchards,https://maps.google.com/?cid=6734152269443403352,https://www.yelp.com/biz/apple-barrel-orchards-penn-yan,https://www.tripadvisor.com/Attraction_Review-g48378-d7187340,https://untappd.com/w/apple-barrel-orchards/549035,42.6601021,-77.0848636
25,Grape Cider,🥈 SILVER,Wölffer Estate Vineyard,Red Cider,New York,698,http://www.wolffer.com/,,,https://maps.google.com/?cid=10690409208604454007,https://www.yelp.com/biz/wolffer-estate-vineyard-sagaponack,https://www.tripadvisor.com/Attraction_Review-g48542-d593572,https://untappd.com/w/wolffer-estate-vineyard/79243,40.945028,-72.27747
26,Grape Cider,🥉 BRONZE,Dingo Dog Brewing Company,Izzie Belle’s Sauv Blanc Cider,North Carolina,2170,https://www.dingodogbrewing.com/,https://www.facebook.com/dingodogbrewing,https://www.instagram.com/dingodogbrewing/,https://maps.google.com/?cid=855662940419552138,https://www.yelp.com/biz/dingo-dog-brewing-company-carrboro,,https://untappd.com/DingoDogBrewing,35.9140913,-79.0720655
27,Pear Cider,🥇 GOLD,Vermont Cider Co.,Wyders Pear,Vermont,664,http://www.woodchuck.com/,https://www.facebook.com/WoodchuckCider,https://www.instagram.com/woodchuckcider/,https://maps.google.com/?cid=9402882086420367798,https://www.yelp.com/biz/woodchuck-hard-cidery-middlebury,https://www.tripadvisor.com/Attraction_Review-g57245-d7022345,https://untappd.com/w/woodchuck-cidery/611,44.034072,-73.172778
28,Pear Cider,🥈 SILVER,Convergence CiderWorks,Moonglow Ginger Pear,Iowa,1829,https://www.convergencecider.com/,https://www.facebook.com/convergencecider,https://www.instagram.com/convergence_ciderworks/,https://maps.google.com/?cid=3180343174506280077,https://www.yelp.com/biz/convergence-ciderworks-decorah-2,https://www.tripadvisor.com/Restaurant_Review-g37822-d23574179,https://untappd.com/ConvergenceCiderWorks,43.3021054,-91.7857231
29,Pear Cider,🥉 BRONZE,Dingo Dog Brewing Company,Jack and Ben’s Apple and Pear Cider,North Carolina,2170,https://www.dingodogbrewing.com/,https://www.facebook.com/dingodogbrewing,https://www.instagram.com/dingodogbrewing/,https://maps.google.com/?cid=855662940419552138,https://www.yelp.com/biz/dingo-dog-brewing-company-carrboro,,https://untappd.com/DingoDogBrewing,35.9140913,-79.0720655
30,Tropical Cider,🥇 GOLD,Glacial Till Winery,Pink Guava,Nebraska,294,http://www.glacialtillvineyard.com/,https://www.facebook.com/glacialtillvineyard,https://www.instagram.com/glacialtillvineyard/,https://maps.google.com/?cid=185099829414435279,https://www.yelp.com/biz/glacial-till-tasting-room-ashland,https://www.tripadvisor.com/Attraction_Review-g29709-d5832186,https://untappd.com/w/glacial-till-vineyard-and-winery/223758,41.038896,-96.368951
31,Tropical Cider,🥈 SILVER,Beach Bee Meadery,Passion Cherry,New Jersey,947,https://www.beachbeemeadery.com/,https://www.facebook.com/beachbeemeadery/,https://www.instagram.com/beachbeemeadery/,https://maps.google.com/?cid=3925888969412189535,https://www.yelp.com/biz/beach-bee-meadery-long-branch,https://www.tripadvisor.com/Attraction_Review-g46582-d21226866,https://untappd.com/w/beach-bee-meadery/452564,40.3090937,-73.98298
32,Tropical Cider,🥉 BRONZE,Country Boy Brewing,POG Cider,Kentucky,220,http://countryboybrewing.com/,https://www.facebook.com/CountryBoyBrewing,https://www.instagram.com/CountryBoybrewing/,https://maps.google.com/?cid=7007349802683802072,https://www.yelp.com/biz/country-boy-brewing-lexington,https://www.tripadvisor.com/Attraction_Review-g39588-d2661465,https://untappd.com/w/country-boy-brewing/23693,38.043952,-84.509269
33,Blackberry Cider,🥇 GOLD,Black Apple Hard Cider,Blackberry,Arkansas,133,https://www.blackapplehardcider.com/,https://www.facebook.com/blackapplecrossing/,https://www.instagram.com/blackapplehardcider/,https://maps.google.com/?cid=5449257929643515916,https://www.yelp.com/biz/black-apple-crossing-springdale,https://www.tripadvisor.com/Attraction_Review-g31931-d8814858,https://untappd.com/w/black-apple-crossing/211057,36.18487,-94.127403
34,Blackberry Cider,🥈 SILVER,Bold Rock Hard Cider,Blackberry,North Carolina,152,https://boldrock.com/,https://www.facebook.com/BoldRockHardCider/,https://www.instagram.com/boldrockhardcider/,https://maps.google.com/?cid=10604087929796439877,https://www.yelp.com/biz/bold-rock-hard-cider-mills-river-mills-river,https://www.tripadvisor.com/Attraction_Review-g1552723-d8862147,https://untappd.com/v/bold-rock-mills-river-cidery/3954545,35.376397,-82.559219
35,Blackberry Cider,🥉 BRONZE,Ciderboys Cider Co.,Blackberry Wild,Wisconsin,196,http://www.ciderboys.com/,https://www.facebook.com/Ciderboys,https://www.instagram.com/Ciderboys/,https://maps.google.com/?cid=1756122992587390562,https://www.yelp.com/biz/stevens-point-brewery-stevens-point,https://www.tripadvisor.com/Attraction_Review-g60304-d2265035,https://untappd.com/w/ciderboys-hard-cider/44552,44.510454,-89.573583
36,Strawberry Cider,🥇 GOLD,Black Apple Hard Cider,Strawberry,Arkansas,133,https://www.blackapplehardcider.com/,https://www.facebook.com/blackapplecrossing/,https://www.instagram.com/blackapplehardcider/,https://maps.google.com/?cid=5449257929643515916,https://www.yelp.com/biz/black-apple-crossing-springdale,https://www.tripadvisor.com/Attraction_Review-g31931-d8814858,https://untappd.com/w/black-apple-crossing/211057,36.18487,-94.127403
37,Strawberry Cider,🥈 SILVER,Ciderboys Cider Co.,Ciderboys Strawberry Magic,Wisconsin,196,http://www.ciderboys.com/,https://www.facebook.com/Ciderboys,https://www.instagram.com/Ciderboys/,https://maps.google.com/?cid=1756122992587390562,https://www.yelp.com/biz/stevens-point-brewery-stevens-point,https://www.tripadvisor.com/Attraction_Review-g60304-d2265035,https://untappd.com/w/ciderboys-hard-cider/44552,44.510454,-89.573583
38,Strawberry Cider,🥉 BRONZE,Glacial Till Winery,Strawberry rhubarb,Nebraska,294,http://www.glacialtillvineyard.com/,https://www.facebook.com/glacialtillvineyard,https://www.instagram.com/glacialtillvineyard/,https://maps.google.com/?cid=185099829414435279,https://www.yelp.com/biz/glacial-till-tasting-room-ashland,https://www.tripadvisor.com/Attraction_Review-g29709-d5832186,https://untappd.com/w/glacial-till-vineyard-and-winery/223758,41.038896,-96.368951
39,Pineapple Cider,🥇 GOLD,Ciderboys Cider Co.,Ciderboys Pineapple Hula,Wisconsin,196,http://www.ciderboys.com/,https://www.facebook.com/Ciderboys,https://www.instagram.com/Ciderboys/,https://maps.google.com/?cid=1756122992587390562,https://www.yelp.com/biz/stevens-point-brewery-stevens-point,https://www.tripadvisor.com/Attraction_Review-g60304-d2265035,https://untappd.com/w/ciderboys-hard-cider/44552,44.510454,-89.573583
40,Pineapple Cider,🥈 SILVER,Bold Rock Hard Cider,Pineapple,North Carolina,152,https://boldrock.com/,https://www.facebook.com/BoldRockHardCider/,https://www.instagram.com/boldrockhardcider/,https://maps.google.com/?cid=10604087929796439877,https://www.yelp.com/biz/bold-rock-hard-cider-mills-river-mills-river,https://www.tripadvisor.com/Attraction_Review-g1552723-d8862147,https://untappd.com/v/bold-rock-mills-river-cidery/3954545,35.376397,-82.559219
41,Pineapple Cider,🥉 BRONZE,Schilling Cider,Excelsior Imperial Pineapple,Washington,550,https://schillingcider.com/,https://www.facebook.com/SchillingCider/,https://www.instagram.com/schillingcider/,https://maps.google.com/?cid=12281308087911884522,,,https://untappd.com/w/schilling-cider/62413,47.347243,-122.233995
42,Cherry Cider,🥇 GOLD,Incline Cider,Incline Imperial Tart Cherry,Washington,345,http://www.inclinecider.com/,https://www.facebook.com/inclinecider/,https://www.instagram.com/inclinecider/,https://maps.google.com/?cid=504944612388443997,https://www.yelp.com/biz/incline-cider-house-tacoma,https://www.tripadvisor.com/Attraction_Review-g58775-d22266571,https://untappd.com/w/incline-cider-company/249584,47.307323,-122.228453
43,Cherry Cider,🥈 SILVER,Vala’s Orchard Cider Co.,Cherry Fizz,Nebraska,1055,https://www.valasappleorchard.com/,https://www.facebook.com/ValasPumpkinPatch/,https://www.instagram.com/valaspumpkinpatch/,https://maps.google.com/?cid=15056510891597103165,https://www.yelp.com/biz/valas-pumpkin-patch-gretna,https://www.tripadvisor.com/Attraction_Review-g45597-d1932171,https://untappd.com/w/vala-s-pumpkin-patch/478866,41.1285802,-96.1989432
