Producer,Department,🥇 Or,🥈 Argent,🥉 Bronze,Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude,Transparency
Cidrerie Benoit,Côtes-d'Armor,2,1,1,4,2018,2021,3,Active,https://www.cidreriebenoit.fr/,https://www.facebook.com/CidrerieBenoit/,,https://maps.google.com/?cid=2837012515774011484,,https://untappd.com/w/cidrerie-benoit/548797,48.5308501,-2.5301834,0
Cidres Kerisac,Loire-Atlantique,1,2,1,4,2019,2024,4,Active,https://kerisac.bzh/,https://www.facebook.com/cidrekerisac,https://www.instagram.com/cidreriekerisac/,https://maps.google.com/?cid=14431639837198759734,,https://untappd.com/w/cidres-kerisac/12846,47.519588,-1.9560451,0
Cidrerie & Distillerie de l'Apothicaire,Finistère,0,3,0,3,2021,2022,2,Active,https://www.cidrerie-distillerie.com/,https://www.facebook.com/Cidreriedistilleriedelapothicaire/,https://www.instagram.com/apothicaire.cidrerie/,https://maps.google.com/?cid=10193719059274362566,https://www.tripadvisor.com/Attraction_Review-g1079425-d17415922,https://untappd.com/CidrerieDeLApothicaire,47.7857655,-3.5707414,0
Cidrerie de Cozmezou,Finistère,0,3,0,3,2023,2024,2,Active,https://cidreriecozmezou.fr/,https://www.facebook.com/CidrerieCozmezou29/,https://www.instagram.com/cidreriedecozmezou/,https://maps.google.com/?cid=2123659088104154650,https://www.tripadvisor.com/Attraction_Review-g19328280-d19325026,https://untappd.com/w/cidrerie-de-cozmezou/169471,48.6409618,-3.679969,0
Les Vergers de Trévignon,Finistère,0,3,0,3,2023,2023,1,Active,,https://www.facebook.com/profile.php?id=100054464589602,,https://maps.google.com/?cid=1053700222499122570,,https://untappd.com/w/les-vergers-de-trevignon/433782,47.8309898,-3.8187341,0
Distillerie Artisanale du Plessis,Finistère,0,2,1,3,2017,2019,3,Active,http://www.distillerie-bretagne.com/,,,,,,47.974552,-4.055335,0
Cidrerie La Ruaudaie,Morbihan,2,0,0,2,2019,2019,1,Active,,https://www.facebook.com/Cidrerie.La.Ruaudaie,,https://maps.google.com/?cid=9093489147196571898,,https://untappd.com/w/la-ruaudaie/92611,47.7463098,-2.2642371,0
Cidrerie de Tromelin,Finistère,1,1,0,2,2017,2019,2,Active,https://www.kanarmor-ateliers.fr/nos-prestations/cidrerie/,,,https://maps.google.com/?cid=14804747814937357332,,https://untappd.com/w/cidrerie-de-tromelin/160083,48.0340115,-4.3900332,0
Cidrerie du Pays d'Auray,Morbihan,1,1,0,2,2022,2023,2,Active,,,https://www.instagram.com/cidre.maho/,https://maps.google.com/?cid=9205038680508918633,,https://untappd.com/w/cidrerie-du-pays-d-auray-frana-ois-maho/423523,47.6950136,-3.0989541,0
La Belle Vilaine,Ille-et-Vilaine,1,1,0,2,2019,2023,2,Active,,,,https://maps.google.com/?cid=5696528707638308410,,https://untappd.com/w/la-belle-vilaine/353880,48.1707864,-1.8277124,0
