WID,Producer,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude,Transparency
1166,Sidra Piñera,Asturias,1,2,3,6,2017,2021,3,Active,https://www.sidrapinera.es/,https://www.facebook.com/sidrapinera/,https://www.instagram.com/sidrapinera/,https://maps.google.com/?cid=3226166040134745626,,,,43.5013833,-5.6045469,0
3628,Sidra La Borda de Basajaun,Basque Country,0,4,2,6,2019,2023,3,Active,,https://www.facebook.com/sidra.basajaun,https://www.instagram.com/sidra.labordadebasajaun/,,,,,42.9361252,-1.7497748,0
1325,Apfelweinkontor,Germany,3,1,1,5,2023,2023,1,Active,https://www.apfelweinkontor.com/,https://www.facebook.com/Apfelweinkontor,https://www.instagram.com/apfelweinkontor/,https://maps.google.com/?cid=599143855742456461,,https://www.tripadvisor.com/Attraction_Review-g187337-d6922559,https://untappd.com/w/apfelweinkontor-frankfurt/468433,50.106271,8.6863565,0
1173,Zelaia,Basque Country,1,4,0,5,2017,2019,2,Active,https://zelaia.eus/,https://www.facebook.com/sidreriazelaia/,https://www.instagram.com/sidreriazelaia/,https://maps.google.com/?cid=3059185310841362913,https://www.yelp.com/biz/zelaia-hernani-2,https://www.tripadvisor.com/Restaurant_Review-g1064188-d3572893,https://untappd.com/w/sidreria-zelaia-sagardotegia/17632,43.2690714,-1.954256,0
1326,Bembel With Care,Germany,1,2,2,5,2017,2017,1,Active,https://bembel-with-care.com/,https://www.facebook.com/bembel.with.care,https://www.instagram.com/bembel.with.care/,,,,https://untappd.com/bembelwithcare,49.6472541,8.6844034,0
1139,Domaine Bordatto,Basque Country,1,1,3,5,2017,2017,1,Active,https://www.domainebordatto.com/,https://www.facebook.com/bordattovigneroncidrier/,,https://maps.google.com/?cid=8144559227920719273,,https://www.tripadvisor.com/Attraction_Review-g1915349-d6851039,https://untappd.com/brewery/27886,43.195854,-1.191563,0
2746,Hardangergutane,Norway,1,1,3,5,2019,2023,2,Active,https://hardangergutane.no/,https://www.facebook.com/Hardangergutane/,https://www.instagram.com/hardangergutane/,https://maps.google.com/?cid=10940983309801750674,,https://www.tripadvisor.com/Restaurant_Review-g2328851-d23478417,https://untappd.com/w/hardangergutane/429679,60.2775032,6.6190062,0
2747,Kuartango,Basque Country,1,1,3,5,2019,2023,3,Active,https://kuartangosagardotegia.com/,https://www.facebook.com/SidreKuartango/,https://www.instagram.com/sidrekuartango/,https://maps.google.com/?cid=6181081338579081204,,https://www.tripadvisor.com/Restaurant_Review-g25546823-d25546810,https://untappd.com/w/sidreria-kuartango/438568,42.8705185,-2.8873347,0
2742,Baldorba Naturel & Sagarraleku,Basque Country,1,0,4,5,2021,2023,2,Active,https://www.sidrasbaldorbanaturel.com/,https://www.facebook.com/sagarraleku/,https://www.instagram.com/sidrasbaldorbanaturel/,,,,https://untappd.com/w/baldorba-sagardotegia/336919,42.5849196,-1.5400788,0
1595,Distillerie du Gorvello,France,0,4,1,5,2017,2017,1,Active,https://www.distilleriedugorvello.fr/,https://www.facebook.com/profile.php?id=100069448008978,https://www.instagram.com/distilleriedugorvello.bzh/,https://maps.google.com/?cid=13385362377425184430,,https://www.tripadvisor.com/Attraction_Review-g2184206-d10593781,https://untappd.com/w/distillerie-du-gorvello/69203,47.6343178,-2.5911456,0
