ID,Year,Style,Medal,Producer,Product,Points,Region,WID,Type,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
565,2023,Perry,🥇 Gold,Seppelbauer,Baronmost,93.5,Austria,1548,Cider,Active,"<a href=""https://www.seppelbauer.at/"">Website</a>","<a href=""https://www.facebook.com/pages/Seppelbauers-Obstparadies/208933892492272"">Facebook</a>","<a href=""https://www.instagram.com/seppelbauer/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/mostheuriger-seppelbauer-datzberger/309349"">Untappd</a>"
566,2023,Perry,🥇 Gold,Seppelbauer,Baroncider Birne,92.8,Austria,1548,Cider,Active,"<a href=""https://www.seppelbauer.at/"">Website</a>","<a href=""https://www.facebook.com/pages/Seppelbauers-Obstparadies/208933892492272"">Facebook</a>","<a href=""https://www.instagram.com/seppelbauer/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/mostheuriger-seppelbauer-datzberger/309349"">Untappd</a>"
567,2023,Perry,🥇 Gold,Seppelbauer,Brous Mostviertler Birnenmost,92.1,Austria,1548,Cider,Active,"<a href=""https://www.seppelbauer.at/"">Website</a>","<a href=""https://www.facebook.com/pages/Seppelbauers-Obstparadies/208933892492272"">Facebook</a>","<a href=""https://www.instagram.com/seppelbauer/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/mostheuriger-seppelbauer-datzberger/309349"">Untappd</a>"
568,2023,Perry,🥇 Gold,Seppelbauer,Grünpichelbirnen Most,92,Austria,1548,Cider,Active,"<a href=""https://www.seppelbauer.at/"">Website</a>","<a href=""https://www.facebook.com/pages/Seppelbauers-Obstparadies/208933892492272"">Facebook</a>","<a href=""https://www.instagram.com/seppelbauer/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/mostheuriger-seppelbauer-datzberger/309349"">Untappd</a>"
569,2023,Perry,🥈 Silver,Mostbauernhof Distelberger,Baronmost,86.5,Austria,1555,Cider,Active,"<a href=""http://www.distelberger.at/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=11354772379381960347"">Google</a>",,,
570,2023,Perry,🥈 Silver,Mostheuriger Hansbauer,Speckbirne,86.1,Austria,1579,Cider,Active,"<a href=""https://www.hansbauer.at/"">Website</a>",,"<a href=""https://www.instagram.com/mostheuriger_hansbauer/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17616529891212169565"">Google</a>",,,
571,2023,Perry,🥈 Silver,Lieglhof Familie Zarl,Landlbirnenmost,85,Austria,2769,Cider,Active,"<a href=""https://www.lieglhof.com/"">Website</a>","<a href=""https://www.facebook.com/gutesvomlieglhof/"">Facebook</a>","<a href=""https://www.instagram.com/lieglhof/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9123177938973924997"">Google</a>",,,
572,2023,Perry,🥈 Silver,Seppelbauer,"Preh, Mostviertler Birnenmost",84.7,Austria,1548,Cider,Active,"<a href=""https://www.seppelbauer.at/"">Website</a>","<a href=""https://www.facebook.com/pages/Seppelbauers-Obstparadies/208933892492272"">Facebook</a>","<a href=""https://www.instagram.com/seppelbauer/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/mostheuriger-seppelbauer-datzberger/309349"">Untappd</a>"
573,2023,Perry,🥈 Silver,Mr. Plūme,Perry 2021,83.3,Latvia,2073,Cider,Active,"<a href=""https://www.mrplume.lv/"">Website</a>","<a href=""https://www.facebook.com/mrplumesidrs"">Facebook</a>","<a href=""https://www.instagram.com/mrplume_sidrs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9319841841199759114"">Google</a>",,,"<a href=""https://untappd.com/w/mr-plume/332485"">Untappd</a>"
574,2023,Perry,🥈 Silver,Seppelbauer,Baronfrizzante,83.2,Austria,1548,Cider,Active,"<a href=""https://www.seppelbauer.at/"">Website</a>","<a href=""https://www.facebook.com/pages/Seppelbauers-Obstparadies/208933892492272"">Facebook</a>","<a href=""https://www.instagram.com/seppelbauer/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/mostheuriger-seppelbauer-datzberger/309349"">Untappd</a>"
