ID,Category,Medal,Entrant,Medalist,Entry,Entry,Points,Country,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
30,Natural Cider,🥉 BRONZE,CALONGE SAGARDOTEGIA,Calonge,Sidra Calonge,Sidra Calonge,70.3,Basque Country,1627,https://www.calongesagardotegia.es/,https://www.facebook.com/calongesagardotegia/,https://www.instagram.com/calongesagardotegia/,https://maps.google.com/?cid=17297324039807359448,https://www.tripadvisor.com/Restaurant_Review-g2578784-d3601648,https://untappd.com/w/calonge-sagardotegia/69520,43.3086372,-2.036848
31,Dominant Acidity Cider,🥇 GOLD,WEIDMANN & GROH,Weidmann & Groh,Boskop 2022,Boskop 2022,96,Germany,1343,https://weidmann-groh.de/,https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327,,https://maps.google.com/?cid=6569120976887073603,,https://untappd.com/w/weidmann-groh/73065,50.3305754,8.7244989
32,Dominant Acidity Cider,🥇 GOLD,APFELWEINKONTOR,Apfelweinkontor,Skylineschoppen (Mixed Apples),Skylineschoppen (Mixed Apples),91.9,Germany,1325,https://www.apfelweinkontor.com/,https://www.facebook.com/Apfelweinkontor,https://www.instagram.com/apfelweinkontor/,https://maps.google.com/?cid=599143855742456461,https://www.tripadvisor.com/Attraction_Review-g187337-d6922559,https://untappd.com/w/apfelweinkontor-frankfurt/468433,50.106271,8.6863565
33,Dominant Acidity Cider,🥇 GOLD,RESTAURACJA TABUN AGATA FALKIEWICZ-PONIKOWSKA,Restauracja Tabun,Tabun Antonówka 2022,Tabun Antonówka 2022,90.3,Poland,2744,https://www.restauracjatabun.pl/,https://www.facebook.com/TABUNCYDR/,https://www.instagram.com/tabuncydr/,https://maps.google.com/?cid=13556304642115496222,https://www.tripadvisor.com/Restaurant_Review-g3222438-d2654599,https://untappd.com/w/tabun/434136,54.3205556,18.5244444
34,Dominant Acidity Cider,🥇 GOLD,HARDANGERGUTANE AS,Hardangergutane,Solglimt,Solglimt,90.1,Norway,2746,https://hardangergutane.no/,https://www.facebook.com/Hardangergutane/,https://www.instagram.com/hardangergutane/,https://maps.google.com/?cid=10940983309801750674,https://www.tripadvisor.com/Restaurant_Review-g2328851-d23478417,https://untappd.com/w/hardangergutane/429679,60.2775032,6.6190062
35,Dominant Acidity Cider,🥇 GOLD,SIDRA ANGELON,Sidra Viuda de Angelón,1947 Sidra Natural de Mesa,1947 Sidra Natural de Mesa,89.4,Spain,1675,http://www.sidraviudaangelonpomar.es/,https://www.facebook.com/sidrapomar.viudaangelon/,https://www.instagram.com/Sidraviudaangelon/,https://maps.google.com/?cid=13173562328637195239,,https://untappd.com/w/viuda-de-angela3n/142823,43.367684,-5.523426
36,Dominant Acidity Cider,🥈 SILVER,OMCIDER,OmCider,Skoiar,Skoiar,88,Norway,2753,https://omcider.no/,https://www.facebook.com/OmCiderAS/,https://www.instagram.com/omcideras/,https://maps.google.com/?cid=1800091822223931241,,https://untappd.com/w/omcider/492586,59.2272141,6.2126591
37,Dominant Acidity Cider,🥈 SILVER,HET HAMERSTUK,Het Hamerstuk,Hamerstuk Wilde Appel,Hamerstuk Wilde Appel,84.8,Netherlands,2723,https://hethamerstuk.nl/,https://www.facebook.com/HetHamerstuk/,https://www.instagram.com/hethamerstuk,https://maps.google.com/?cid=11584128023568770529,,https://untappd.com/Hamerstuk,51.8760148,5.872176
38,Dominant Acidity Cider,🥈 SILVER,POMOLOGIK AKTIEBOLAG,Pomologik,Aroma,Aroma,81.3,Sweden,2397,https://www.pomologik.se/,https://www.facebook.com/pomologik,https://www.instagram.com/Pomologik/,https://maps.google.com/?cid=17836181822390207936,,https://untappd.com/Pomologik_swe,59.2627056,17.1157609
39,Dominant Acidity Cider,🥈 SILVER,WEIDMANN & GROH,Weidmann & Groh,Speierling Halbtrocken 2022,Speierling Halbtrocken 2022,81.3,Germany,1343,https://weidmann-groh.de/,https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327,,https://maps.google.com/?cid=6569120976887073603,,https://untappd.com/w/weidmann-groh/73065,50.3305754,8.7244989
40,Dominant Acidity Cider,🥈 SILVER,ULVIK FRUKT & CIDERI,Ulvik Frukt & Cideri,Stille Stunder,Stille Stunder,80.8,Norway,1414,http://www.hakastadsider.no/,https://www.facebook.com/pages/Ulvik-Frukt-Cideri/191311970916027,,https://maps.google.com/?cid=8381380851022975775,,https://untappd.com/brewery/60198,60.5751852,6.9390893
41,Dominant Acidity Cider,🥈 SILVER,APFELWEINKONTOR,Apfelweinkontor,Goldparmäne&Bohnapfel Cuvée,Goldparmäne&Bohnapfel Cuvée,80.1,Germany,1325,https://www.apfelweinkontor.com/,https://www.facebook.com/Apfelweinkontor,https://www.instagram.com/apfelweinkontor/,https://maps.google.com/?cid=599143855742456461,https://www.tripadvisor.com/Attraction_Review-g187337-d6922559,https://untappd.com/w/apfelweinkontor-frankfurt/468433,50.106271,8.6863565
42,Dominant Acidity Cider,🥈 SILVER,SIDRA TRABANCO,Sidra Trabanco,Alicia,Alicia,79.8,Spain,1674,https://www.sidratrabanco.com/,https://www.facebook.com/sidratrabanco/,https://www.instagram.com/sidratrabanco/,https://maps.google.com/?cid=8706552013547802387,,https://untappd.com/brewery/6382,43.4704387,-5.6447197
