WID,Producer,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
1673,Sidra Riestra,Asturias,1,4,5,10,2017,2023,4,Active,"<a href=""http://www.sidrariestra.com/"">Website</a>","<a href=""https://www.facebook.com/SidraRiestra"">Facebook</a>","<a href=""https://www.instagram.com/sidrariestra/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2253085342105400787"">Google</a>",,,"<a href=""https://untappd.com/w/riestra/70601"">Untappd</a>"
2397,Pomologik,Sweden,4,2,3,9,2023,2023,1,Active,"<a href=""https://www.pomologik.se/"">Website</a>","<a href=""https://www.facebook.com/pomologik"">Facebook</a>","<a href=""https://www.instagram.com/Pomologik/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17836181822390207936"">Google</a>",,,"<a href=""https://untappd.com/Pomologik_swe"">Untappd</a>"
62,Vander Mill,United States,3,3,3,9,2019,2023,2,Active,"<a href=""http://vandermill.com/"">Website</a>","<a href=""https://www.facebook.com/VanderMillGR"">Facebook</a>","<a href=""https://www.instagram.com/vandermill/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6214407049389872858"">Google</a>","<a href=""https://www.yelp.com/biz/vander-mill-grand-rapids-grand-rapids-5"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g42256-d10325970"">TripAdvisor</a>","<a href=""https://untappd.com/w/vander-mill/8388"">Untappd</a>"
2660,Elegast Cidery,Netherlands,0,2,7,9,2021,2023,2,Active,"<a href=""https://elegastcider.nl/"">Website</a>","<a href=""https://www.facebook.com/elegastcidery/"">Facebook</a>","<a href=""https://www.instagram.com/elegast_cidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5936408747857287023"">Google</a>",,,"<a href=""https://untappd.com/ElegastCidery"">Untappd</a>"
1546,Isastegi,Basque Country,1,5,2,8,2017,2023,4,Active,"<a href=""https://www.isastegi.com/"">Website</a>","<a href=""https://www.facebook.com/isastegi.sagardotegia"">Facebook</a>","<a href=""https://www.instagram.com/isastegi/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3927960308349571227"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064362-d5772954"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/6054"">Untappd</a>"
1574,Kelterei Heil,Germany,0,5,3,8,2017,2019,2,Active,"<a href=""https://kelterei-heil.de/"">Website</a>","<a href=""https://www.facebook.com/keltereiheil/"">Facebook</a>","<a href=""https://www.instagram.com/keltereiheil"">Instagram</a>","<a href=""https://maps.google.com/?cid=18431477139160593371"">Google</a>",,,"<a href=""https://untappd.com/brewery/33255"">Untappd</a>"
2481,L'Aubinière,France,3,2,2,7,2023,2023,1,Active,"<a href=""https://www.laubiniere.fr/"">Website</a>","<a href=""https://www.facebook.com/laubiniere/"">Facebook</a>","<a href=""https://www.instagram.com/laubiniere/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3202157626582316196"">Google</a>",,,"<a href=""https://untappd.com/w/l-aubiniere/531046"">Untappd</a>"
1167,Alorrenea,Basque Country,2,3,2,7,2017,2023,4,Active,"<a href=""https://alorrenea.com/"">Website</a>","<a href=""https://www.facebook.com/Alorrenea/"">Facebook</a>","<a href=""https://www.instagram.com/alorrenea/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7369065934381285009"">Google</a>","<a href=""https://www.yelp.com/biz/alorrenea-astigarraga"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d3809108"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidreria-alorrena/64396"">Untappd</a>"
1675,Sidra Viuda de Angelón,Asturias,2,3,2,7,2017,2023,2,Active,"<a href=""http://www.sidraviudaangelonpomar.es/"">Website</a>","<a href=""https://www.facebook.com/sidrapomar.viudaangelon/"">Facebook</a>","<a href=""https://www.instagram.com/Sidraviudaangelon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13173562328637195239"">Google</a>",,,"<a href=""https://untappd.com/w/viuda-de-angela3n/142823"">Untappd</a>"
1119,Thatchers Cider,England,2,3,2,7,2017,2019,2,Active,"<a href=""https://www.thatcherscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/ThatchersCiderCompany"">Facebook</a>","<a href=""https://www.instagram.com/thatcherscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15191093037076298219"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3063"">Untappd</a>"
1649,Cidrerie Berri,Basque Country,1,4,2,7,2017,2023,4,Active,"<a href=""https://txopinondo.fr/"">Website</a>","<a href=""https://www.facebook.com/txopinondo"">Facebook</a>","<a href=""https://www.instagram.com/txopinondo/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14446292626809718341"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1118261-d2139433"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-txopinondo/215570"">Untappd</a>"
2752,Mooma,Catalonia,1,3,3,7,2017,2023,2,Active,"<a href=""https://mooma.cat/"">Website</a>","<a href=""https://www.facebook.com/sidreriamooma/"">Facebook</a>","<a href=""https://www.instagram.com/mooma/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11350926811080988766"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g3501872-d13815642"">TripAdvisor</a>","<a href=""https://untappd.com/w/mooma/254950"">Untappd</a>"
255,Eden Ciders,United States,3,1,2,6,2021,2021,1,Active,"<a href=""https://www.edenciders.com/"">Website</a>","<a href=""https://facebook.com/edenspecialtyciders"">Facebook</a>","<a href=""https://www.instagram.com/edenciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1133141626652589768"">Google</a>","<a href=""https://www.yelp.com/biz/northeast-kingdom-tasting-center-newport"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g57335-d4675348"">TripAdvisor</a>","<a href=""https://untappd.com/w/eden-specialty-ciders/13108"">Untappd</a>"
1555,Mostbauernhof Distelberger,Austria,1,3,2,6,2023,2023,1,Active,"<a href=""http://www.distelberger.at/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=11354772379381960347"">Google</a>",,,
1371,Cidre Sorre,France,1,2,3,6,2023,2023,1,Active,"<a href=""https://www.cidre-sorre.fr/"">Website</a>","<a href=""https://www.facebook.com/CidrerieSorre/"">Facebook</a>","<a href=""https://www.instagram.com/cidreriesorre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3277478841126723957"">Google</a>","<a href=""https://www.yelp.com/biz/chapron-cidre-sorre-ets-plerguer-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g8506159-d8653800"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidre-sorre/16758"">Untappd</a>"
1166,Sidra Piñera,Asturias,1,2,3,6,2017,2021,3,Active,"<a href=""https://www.sidrapinera.es/"">Website</a>","<a href=""https://www.facebook.com/sidrapinera/"">Facebook</a>","<a href=""https://www.instagram.com/sidrapinera/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3226166040134745626"">Google</a>",,,
3628,Sidra La Borda de Basajaun,Basque Country,0,4,2,6,2019,2023,3,Active,,"<a href=""https://www.facebook.com/sidra.basajaun"">Facebook</a>","<a href=""https://www.instagram.com/sidra.labordadebasajaun/"">Instagram</a>",,,,
1325,Apfelweinkontor,Germany,3,1,1,5,2023,2023,1,Active,"<a href=""https://www.apfelweinkontor.com/"">Website</a>","<a href=""https://www.facebook.com/Apfelweinkontor"">Facebook</a>","<a href=""https://www.instagram.com/apfelweinkontor/"">Instagram</a>","<a href=""https://maps.google.com/?cid=599143855742456461"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g187337-d6922559"">TripAdvisor</a>","<a href=""https://untappd.com/w/apfelweinkontor-frankfurt/468433"">Untappd</a>"
1173,Zelaia,Basque Country,1,4,0,5,2017,2019,2,Active,"<a href=""https://zelaia.eus/"">Website</a>","<a href=""https://www.facebook.com/sidreriazelaia/"">Facebook</a>","<a href=""https://www.instagram.com/sidreriazelaia/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3059185310841362913"">Google</a>","<a href=""https://www.yelp.com/biz/zelaia-hernani-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064188-d3572893"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidreria-zelaia-sagardotegia/17632"">Untappd</a>"
1326,Bembel With Care,Germany,1,2,2,5,2017,2017,1,Active,"<a href=""https://bembel-with-care.com/"">Website</a>","<a href=""https://www.facebook.com/bembel.with.care"">Facebook</a>","<a href=""https://www.instagram.com/bembel.with.care/"">Instagram</a>",,,,"<a href=""https://untappd.com/bembelwithcare"">Untappd</a>"
1139,Domaine Bordatto,Basque Country,1,1,3,5,2017,2017,1,Active,"<a href=""https://www.domainebordatto.com/"">Website</a>","<a href=""https://www.facebook.com/bordattovigneroncidrier/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=8144559227920719273"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g1915349-d6851039"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/27886"">Untappd</a>"
2746,Hardangergutane,Norway,1,1,3,5,2019,2023,2,Active,"<a href=""https://hardangergutane.no/"">Website</a>","<a href=""https://www.facebook.com/Hardangergutane/"">Facebook</a>","<a href=""https://www.instagram.com/hardangergutane/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10940983309801750674"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g2328851-d23478417"">TripAdvisor</a>","<a href=""https://untappd.com/w/hardangergutane/429679"">Untappd</a>"
2747,Kuartango,Basque Country,1,1,3,5,2019,2023,3,Active,"<a href=""https://kuartangosagardotegia.com/"">Website</a>","<a href=""https://www.facebook.com/SidreKuartango/"">Facebook</a>","<a href=""https://www.instagram.com/sidrekuartango/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6181081338579081204"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g25546823-d25546810"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidreria-kuartango/438568"">Untappd</a>"
2742,Baldorba Naturel & Sagarraleku,Basque Country,1,0,4,5,2021,2023,2,Active,"<a href=""https://www.sidrasbaldorbanaturel.com/"">Website</a>","<a href=""https://www.facebook.com/sagarraleku/"">Facebook</a>","<a href=""https://www.instagram.com/sidrasbaldorbanaturel/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/baldorba-sagardotegia/336919"">Untappd</a>"
1595,Distillerie du Gorvello,France,0,4,1,5,2017,2017,1,Active,"<a href=""https://www.distilleriedugorvello.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069448008978"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedugorvello.bzh/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13385362377425184430"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2184206-d10593781"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-du-gorvello/69203"">Untappd</a>"
1170,Gurutzeta,Basque Country,0,4,1,5,2017,2021,3,Active,"<a href=""https://www.gurutzeta.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100063653015548"">Facebook</a>","<a href=""https://www.instagram.com/gurutzeta_sagar/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3267815348998464054"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d3915865"">TripAdvisor</a>","<a href=""https://untappd.com/w/gurutzeta-sagardotegia/249476"">Untappd</a>"
1624,Araeta,Basque Country,0,3,2,5,2017,2019,2,Active,"<a href=""https://araeta.com/"">Website</a>","<a href=""https://www.facebook.com/pages/Araeta-Restaurante/294806956757"">Facebook</a>","<a href=""https://www.instagram.com/sidreria_araeta/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16679682521656072832"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g187457-d2482068"">TripAdvisor</a>","<a href=""https://untappd.com/w/araeta-sagardotegia/372000"">Untappd</a>"
1995,Berryland,Ukraine,0,3,2,5,2021,2021,1,Inactive,"<a href=""http://berryland.shop/"">Website</a>","<a href=""https://www.facebook.com/ciderua/"">Facebook</a>","<a href=""https://www.instagram.com/berrylandcidery/"">Instagram</a>",,,,"<a href=""https://untappd.com/BerrylandUA"">Untappd</a>"
2745,Cider Sekt,Czechia,0,3,2,5,2021,2023,2,Active,"<a href=""https://www.cidersekt.cz/"">Website</a>","<a href=""https://www.facebook.com/cidertalk/"">Facebook</a>","<a href=""https://www.instagram.com/cidertalk/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1744130511388226457"">Google</a>",,,"<a href=""https://untappd.com/w/provoco/396367"">Untappd</a>"
2688,Astarbe,Basque Country,0,2,3,5,2017,2021,3,Active,"<a href=""https://www.astarbe.eus/"">Website</a>","<a href=""https://www.facebook.com/AstarbeSagar"">Facebook</a>","<a href=""https://www.instagram.com/astarbesagar/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4931185880912606614"">Google</a>","<a href=""https://www.yelp.com/biz/astarbe-astigarraga"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d3250869"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidreria-astarbe-sagardotegia/40068"">Untappd</a>"
1927,Jaanihanso,Estonia,0,2,3,5,2021,2021,1,Active,"<a href=""http://www.jaanihanso.ee/"">Website</a>","<a href=""https://www.facebook.com/Jaanihanso"">Facebook</a>","<a href=""https://www.instagram.com/jaanihanso/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7606641832512391290"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g274956-d12851482"">TripAdvisor</a>","<a href=""https://untappd.com/Jaanihanso"">Untappd</a>"
1381,Pips Cider,England,0,2,3,5,2017,2019,2,Active,"<a href=""http://www.pipscider.com/"">Website</a>","<a href=""https://www.facebook.com/PipsCider"">Facebook</a>","<a href=""https://www.instagram.com/pipscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16039788259014934478"">Google</a>",,,"<a href=""https://untappd.com/w/pips-cider-limited/159027"">Untappd</a>"
2518,Hawkes,England,0,1,4,5,2019,2019,1,Active,"<a href=""https://wearehawkes.com/"">Website</a>","<a href=""https://www.facebook.com/wearehawkes/"">Facebook</a>","<a href=""https://www.instagram.com/hawkescidertap/"">Instagram</a>",,,,"<a href=""https://untappd.com/HawkesLondon"">Untappd</a>"
1479,Sidra Fran,Asturias,2,2,0,4,2021,2023,2,Active,"<a href=""https://sidrafran.es/"">Website</a>",,"<a href=""https://www.instagram.com/sidrafran1918/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15672106953833908893"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g2437300-d7244547"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidra-fran/85954"">Untappd</a>"
1165,Sidra Menéndez,Asturias,1,3,0,4,2017,2021,2,Active,"<a href=""https://www.sidramenendez.com/"">Website</a>","<a href=""https://www.facebook.com/sidramenendez/"">Facebook</a>","<a href=""https://www.instagram.com/sidra_menendez/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17564685525851225222"">Google</a>",,,"<a href=""https://untappd.com/w/sidra-menendez/55771"">Untappd</a>"
3599,Cydr Jabłkowy,Poland,1,2,1,4,2017,2019,2,Inactive,,"<a href=""https://www.facebook.com/cydrjablkowy/"">Facebook</a>",,,,,"<a href=""https://untappd.com/w/krzysztof-winnicki/393819"">Untappd</a>"
1958,Killahora Orchards,Ireland,1,2,1,4,2023,2023,1,Active,"<a href=""https://www.killahoraorchards.ie/"">Website</a>","<a href=""https://www.facebook.com/killahora/"">Facebook</a>","<a href=""https://www.instagram.com/killahora/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/killahora-orchards/437436"">Untappd</a>"
972,Son of Man,United States,1,2,1,4,2021,2023,2,Active,"<a href=""https://www.sonofman.co/"">Website</a>",,"<a href=""https://www.instagram.com/sonofman.co/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/son-of-man-sagardo/428029"">Untappd</a>"
89,ANXO Cider,United States,1,1,2,4,2023,2023,1,Active,"<a href=""https://store.anxodc.com/"">Website</a>","<a href=""https://www.facebook.com/ANXOcider"">Facebook</a>","<a href=""https://www.instagram.com/anxodistrict/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9806483452569861957"">Google</a>","<a href=""https://www.yelp.com/biz/anxo-cidery-and-tasting-room-washington"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g28970-d18923653"">TripAdvisor</a>","<a href=""https://untappd.com/ANXOCidery"">Untappd</a>"
1171,Petritegi,Basque Country,1,1,2,4,2017,2023,3,Active,"<a href=""https://www.petritegi.com/"">Website</a>","<a href=""https://www.facebook.com/Petritegi/"">Facebook</a>","<a href=""https://www.instagram.com/petritegi"">Instagram</a>","<a href=""https://maps.google.com/?cid=16425101977693923721"">Google</a>","<a href=""https://www.yelp.com/biz/petritegi-astigarraga"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d2266030"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/51639"">Untappd</a>"
1486,Sidra Ribela,Galicia,1,0,3,4,2017,2019,2,Active,"<a href=""https://ribela.es/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100057701497775"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=4872815371612917435"">Google</a>",,,"<a href=""https://untappd.com/jesusarmenteros"">Untappd</a>"
2723,Het Hamerstuk,Netherlands,0,4,0,4,2023,2023,1,Active,"<a href=""https://hethamerstuk.nl/"">Website</a>","<a href=""https://www.facebook.com/HetHamerstuk/"">Facebook</a>","<a href=""https://www.instagram.com/hethamerstuk"">Instagram</a>","<a href=""https://maps.google.com/?cid=11584128023568770529"">Google</a>",,,"<a href=""https://untappd.com/Hamerstuk"">Untappd</a>"
2698,Ramborn Cider Co.,Luxembourg,0,4,0,4,2019,2019,1,Active,"<a href=""https://www.ramborn.com/"">Website</a>","<a href=""https://www.facebook.com/RambornUS/"">Facebook</a>","<a href=""https://www.instagram.com/rambornciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16691194016355154342"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g206525-d12591209"">TripAdvisor</a>","<a href=""https://untappd.com/Ramborn"">Untappd</a>"
2396,Kühbrein Most,Austria,0,3,1,4,2023,2023,1,Active,"<a href=""https://www.kuehbreinmost.at/"">Website</a>","<a href=""https://www.facebook.com/KuhbreinMost/"">Facebook</a>","<a href=""https://www.instagram.com/kuehbrein__/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6347288815375920345"">Google</a>",,,"<a href=""https://untappd.com/w/k-hbrein/425089"">Untappd</a>"
1615,Izeta,Basque Country,0,2,2,4,2017,2021,3,Active,"<a href=""https://www.izeta.es/"">Website</a>","<a href=""https://www.facebook.com/IzetaSagardotegia"">Facebook</a>","<a href=""https://www.instagram.com/izetasagardotegia/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5193661031886461877"">Google</a>","<a href=""https://www.yelp.com/map/izeta-sidreria-aia"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g897148-d4022936"">TripAdvisor</a>","<a href=""https://untappd.com/w/izeta-goikoa/226558"">Untappd</a>"
1169,Gartziategi,Basque Country,0,1,3,4,2017,2019,2,Active,"<a href=""https://gartziategi.com/"">Website</a>","<a href=""https://www.facebook.com/gartziategi"">Facebook</a>","<a href=""https://www.instagram.com/gartziategi/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4734247712861040251"">Google</a>","<a href=""https://www.yelp.com/biz/gartziategi-donostia-san-sebastian"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g187457-d4258881"">TripAdvisor</a>","<a href=""https://untappd.com/w/gartziategi-braserria/123054"">Untappd</a>"
3105,Haselberger,Austria,0,1,3,4,2023,2023,1,Active,"<a href=""https://www.haselberger-most.at/"">Website</a>","<a href=""https://www.facebook.com/dhaselbergers"">Facebook</a>","<a href=""https://www.instagram.com/haselberger_most/"">Instagram</a>","<a href=""https://maps.google.com/?cid=786849473018101989"">Google</a>",,,
2754,Sidra La Naveta,Asturias,0,0,4,4,2017,2023,3,Active,"<a href=""https://lanaveta.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100063497946147"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=18265458060195810621"">Google</a>",,,"<a href=""https://untappd.com/w/la-naveta/288596"">Untappd</a>"
2696,Domaine de la Mare,France,2,1,0,3,2021,2021,1,Active,"<a href=""https://www.domainedelamare.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=11844878661689216154"">Google</a>",,,"<a href=""https://untappd.com/w/domaine-de-la-mare/511923"">Untappd</a>"
1130,Oliver's Cider and Perry,England,2,1,0,3,2021,2021,1,Active,"<a href=""https://www.oliversciderandperry.co.uk/"">Website</a>","<a href=""https://www.facebook.com/oliversciderandperry"">Facebook</a>","<a href=""https://www.instagram.com/tomoliverscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7135495925516207657"">Google</a>",,,"<a href=""https://untappd.com/brewery/6568"">Untappd</a>"
