ID,WID,Year,Style,Medalist,Entry,Region,Award,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Status
55,550,2015,Spiced/Herbed Cider,Schilling Cider,Ginger Cider,Washington,🥉 Bronze,https://schillingcider.com/,https://www.facebook.com/SchillingCider/,https://www.instagram.com/schillingcider/,https://maps.google.com/?cid=12281308087911884522,,,https://untappd.com/w/schilling-cider/62413,Active
56,276,2015,Wood/Oaked Cider,Finnriver Farm & Cidery,Finnriver Oak and Apple,Washington,🥇 Gold,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008,Active
57,682,2015,Wood/Oaked Cider,Whitewood Cider Co.,Whitewood Barrel,Washington,🥉 Bronze,https://www.whitewoodcider.com/,https://www.facebook.com/WhitewoodCider/,https://www.instagram.com/wwcider/,https://maps.google.com/?cid=17959127106154260964,https://www.yelp.com/biz/whitewood-cider-co-tasting-room-olympia,,https://untappd.com/w/whitewood-cider-co/9380,Active
58,553,2015,Fruit Cider,Seattle Cider Company,Berry,Washington,🥇 Gold,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923,Active
59,85,2015,Fruit Cider,Alter Ego Cider,“The Guardian Angel” Blueberry Pomegranate Cider,Oregon,🥈 Silver,,,,,,,,Inactive
60,173,2015,Fruit Cider,Bull Run Cider,Bramble Berry,Oregon,🥉 Bronze,http://www.bullruncider.com/,https://www.facebook.com/Cider,https://www.instagram.com/bullruncider/,https://maps.google.com/?cid=13917891364878698013,https://www.yelp.com/biz/bull-run-cider-forest-grove,,https://untappd.com/w/bull-run-cider/58380,Active
61,806,2015,Modern Perry,Left Field Cider Co.,Pear Dry,British Columbia,🥇 Gold,http://www.leftfieldcider.com/,https://www.facebook.com/leftfieldcider,https://www.instagram.com/leftfieldcider/,https://maps.google.com/?cid=2952880485422961840,https://www.yelp.com/biz/left-field-cider-company-logan-lake-2,https://www.tripadvisor.com/Attraction_Review-g1579868-d14910348,https://untappd.com/w/left-field-cider-co/34132,Active
62,553,2015,Modern Perry,Seattle Cider Company,Perry 2014,Washington,🥈 Silver,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923,Active
63,1845,2016,English Dry Cider,Cider Riot!,1763,Oregon,🥇 Gold,,,,,,,,Inactive
64,387,2016,English Dry Cider,Liberty Ciderworks,Porter’s Perfection Single Varietal,Washington,🥉 Bronze,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336,Active
