Year,Medal,Medalist,Entry,Style,Place
2016,🥉 BRONZE,Cider Creek Hard Cider,Saison Reserve ,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2015,🥉 BRONZE,Cider Creek Hard Cider,Cascade Hopricot,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2015,🥉 BRONZE,Cider Creek Hard Cider,Flight Of The Concord ,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider and Perry</a>",
2015,🥉 BRONZE,Cider Creek Hard Cider,Pina-Applada ,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider and Perry</a>",
2015,🥉 BRONZE,Cider Creek Hard Cider,Premium Farmhouse Cider,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",
2015,🥉 BRONZE,Cider Creek Hard Cider,Rum Pom-Pom,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider and Perry</a>",
2015,🥉 BRONZE,Cider Creek Hard Cider,Saison Reserve Cider,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2015,🥉 BRONZE,Cider Creek Hard Cider,Winter's Cinn,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Spiced Cider</a>",
2023,🏆 BEST IN CLASS,Cider Hill Cellars,Winter,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",1st Place
2023,🥇 GOLD,Cider Hill Cellars,Raspberry Harvest,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2023,🥈 SILVER,Cider Hill Cellars,Autumn,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Dry</a>",
2023,🥈 SILVER,Cider Hill Cellars,Spring,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2023,🥈 SILVER,Cider Hill Cellars,Summer,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2023,🥉 BRONZE,Cider Hill Cellars,Strawberry Harvest,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🏆 BEST IN CLASS,Cider Hill Cellars,Summer,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",2nd Place
2022,🥈 SILVER,Cider Hill Cellars,Autumn,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2022,🥈 SILVER,Cider Hill Cellars,Raspberry Harvest,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🥈 SILVER,Cider Hill Cellars,Spring,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2022,🥈 SILVER,Cider Hill Cellars,Strawberry Harvest,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🥈 SILVER,Cider Hill Cellars,Winter,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2022,🥉 BRONZE,Cider Hill Cellars,Cherry Harvest,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2021,🥈 SILVER,Cider Hill Cellars,Cherry Harvest,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2021,🥈 SILVER,Cider Hill Cellars,Raspberry Harvest,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2021,🥈 SILVER,Cider Hill Cellars,Rum Barrel Aged Winter,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",
2021,🥈 SILVER,Cider Hill Cellars,Spring,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2021,🥈 SILVER,Cider Hill Cellars,Summer,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2021,🥈 SILVER,Cider Hill Cellars,Winter,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2021,🥉 BRONZE,Cider Hill Cellars,Autumn,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2021,🥉 BRONZE,Cider Hill Cellars,Strawberry Harvest,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥇 GOLD,Cider Hill Cellars,Spring,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2019,🥇 GOLD,Cider Hill Cellars,Strawberry Harvest,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥈 SILVER,Cider Hill Cellars,Rum Barrel Aged Winter,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",
2019,🥈 SILVER,Cider Hill Cellars,Winter,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2019,🥉 BRONZE,Cider Hill Cellars,Raspberry Harvest,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2018,🏆 BEST IN CLASS,Cider Hill Cellars,Summer,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",1st Place
2018,🥇 GOLD,Cider Hill Cellars,Winter,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2018,🥉 BRONZE,Cider Hill Cellars,Harvest,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥈 SILVER,Cider House of Wisconsin,Cherry Flight,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥉 BRONZE,Cider House of Wisconsin,Black Dragon,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2019,🥉 BRONZE,Cider House of Wisconsin,Cardinal Rule,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2015,🥉 BRONZE,Cider House of Wisconsin,Pooch,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",
2014,🥈 SILVER,Cider House of Wisconsin,Esprit,"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Brandy</a>",
2014,🥉 BRONZE,Cider House of Wisconsin,Black Dragon,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">New World Cider</a>",
2019,🥉 BRONZE,Cider Riot!,1763 Revolutionary West Country Cider,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Dry</a>",
2019,🥉 BRONZE,Cider Riot!,Bourbon Barrel Aged 1763,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",
2019,🥉 BRONZE,Cider Riot!,Everyday Passionfruit,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥉 BRONZE,Cider Riot!,New Wave,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2018,🥈 SILVER,Cider Riot!,1763 Revolutionary West Country Cider,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Dry</a>",
2018,🥈 SILVER,Cider Riot!,Everyday Semi Dry,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2018,🥉 BRONZE,Cider Riot!,Porter's Perfection,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",
2018,🥉 BRONZE,Cider Riot!,Shaken Tree,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Dry</a>",
2016,🥉 BRONZE,Cider Riot!,1763,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">English Cider</a>",
2016,🥉 BRONZE,Cider Riot!,Everybody Pogo,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped/Herbal Cider</a>",
2016,🥉 BRONZE,Cider Riot!,Never Give An Inch,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2015,🥈 SILVER,Cider Riot!,1763 Revolutionary West Country Cider,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">English Cider</a>",
2015,🥈 SILVER,Cider Riot!,Everybody Pogo,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped/Herbal Cider</a>",
2015,🥈 SILVER,Cider Riot!,Never Give an Inch,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🏆 BEST IN CLASS,Ciderboys,First Press,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",1st Place
2022,🥈 SILVER,Ciderboys,Peach County,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🥈 SILVER,Ciderboys,Pineapple Hula,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🥈 SILVER,Ciderboys,Raspberry Smash,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🥈 SILVER,Ciderboys,Strawberry Magic,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥇 GOLD,Ciderboys,Ciderboys Peach County,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥈 SILVER,Ciderboys,Ciderboys First Press,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2019,🥈 SILVER,Ciderboys,Ciderboys Raspberry Smash,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥉 BRONZE,Ciderboys,Ciderboys Strawberry Magic,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2018,🥇 GOLD,Ciderboys,Raspberry Smash,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2018,🥉 BRONZE,Ciderboys,British Dry,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2018,🥉 BRONZE,Ciderboys,First Press,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2018,🥉 BRONZE,Ciderboys,Peach County,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2018,🥉 BRONZE,Ciderboys,Pineapple Hula,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2018,🥉 BRONZE,Ciderboys,Strawberry Magic,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2017,🥈 SILVER,Ciderboys,Grand Mimosa,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2017,🥈 SILVER,Ciderboys,Strawberry Magic,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2017,🥉 BRONZE,Ciderboys,First Press,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2017,🥉 BRONZE,Ciderboys,Mad Bark,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Spiced Cider</a>",
2017,🥉 BRONZE,Ciderboys,Peach County,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2017,🥉 BRONZE,Ciderboys,Raspberry Smash,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2016,🥇 GOLD,Ciderboys,Ciderboys Mad Bark,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Spiced Cider</a>",
2016,🥈 SILVER,Ciderboys,Ciderboys Peach County,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2016,🥈 SILVER,Ciderboys,Ciderboys Pineapple Hula,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2016,🥉 BRONZE,Ciderboys,Ciderboys First Press,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",
2016,🥉 BRONZE,Ciderboys,Ciderboys Raspberry Smash,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2015,🥈 SILVER,Ciderboys,Strawberry Magic,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2015,🥉 BRONZE,Ciderboys,First Press,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",
2015,🥉 BRONZE,Ciderboys,Grand Mimosa ,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2015,🥉 BRONZE,Ciderboys,Peach County,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2014,🥈 SILVER,Ciderboys,First Press,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">New World Cider</a>",
2014,🥈 SILVER,Ciderboys,Strawberry Magic,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2014,🥉 BRONZE,Ciderboys,Mad Bark,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2014,🥉 BRONZE,Ciderboys,Peach County,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2023,🥈 SILVER,Ciders from Mars,Hues,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2023,🥈 SILVER,Ciders from Mars,Liquid Gang,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2023,🥈 SILVER,Ciders from Mars,Pathfinder,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2023,🥉 BRONZE,Ciders from Mars,Red Noise,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🥇 GOLD,Ciders from Mars,Districts,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2022,🥈 SILVER,Ciders from Mars,Small Stone,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2022,🥉 BRONZE,Ciders from Mars,De Stijl,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",
2022,🥉 BRONZE,Ciders from Mars,Pink Oceans,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🥉 BRONZE,Ciderworks @ Story Tavern,Seasons Citrus,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🥉 BRONZE,Ciderworks @ Story Tavern,Seasons Ginger Lemongrass,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>",
2021,🥈 SILVER,Ciderworks @ Story Tavern,Seasons Cherry,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2017,🥉 BRONZE,Ciderworks @ Story Tavern,Berry Hoptimistic,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2019,🥈 SILVER,Cidre La Chouette,La Chouette Original,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Sweet</a>",
2019,🥈 SILVER,Cidre La Chouette,La Chouette Rosé,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥈 SILVER,Cidre Le Brun,Le Brun Brut,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Dry</a>",
2019,🥉 BRONZE,Cidre Le Brun,Le Brun Poire,"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",
2018,🥈 SILVER,Cidre Le Brun,Le Brun Poire,"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",
2017,🥈 SILVER,Cidre Le Brun,Le Brun AOP Cornouaille,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Sweet</a>",
2016,🥉 BRONZE,Cidre Le Brun,Le Brun Organic Cidre,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">French Cider</a>",
2023,🥉 BRONZE,Cidrerie Compton,Cerise,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",
2023,🥉 BRONZE,Cidrerie Compton,Héritage,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2019,🥉 BRONZE,Cidrerie de Menez-Brug,Cidre AOP Cornouaille Menez Brug,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Sweet</a>",
2018,🥉 BRONZE,Cidrerie de Menez-Brug,Cider AOP Cornouaille Menez Brug,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Sweet</a>",
2017,🥉 BRONZE,Cidrerie de Menez-Brug,Cidre AOP Conouaille Menez Brug,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Sweet</a>",
2016,🥈 SILVER,Cidrerie de Menez-Brug,Cidre AOP Cornouaille,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">French Cider</a>",
2019,🏆 BEST IN CLASS,Cidrerie du Minot,Du Minot Doré,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",1st Place
2019,🏆 BEST IN CLASS,Cidrerie du Minot,Crémant de Glace,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",2nd Place
2019,🏆 BEST IN CLASS,Cidrerie du Minot,Crémant de pomme,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",2nd Place
2019,🥇 GOLD,Cidrerie du Minot,La Croisée,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2019,🥈 SILVER,Cidrerie du Minot,Des Glaces - Récoltre Hivernale IGP 2014,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2019,🥈 SILVER,Cidrerie du Minot,Des Glaces IGP 2014,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2019,🥈 SILVER,Cidrerie du Minot,Du Minot Brut,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2019,🥈 SILVER,Cidrerie du Minot,La Bolée Pétillante,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2019,🥉 BRONZE,Cidrerie du Minot,Crémant de pomme rosé,"<a href=""https://ciderguide.com/glintcap/styles/rose-cider/"">Rosé Cider</a>",
2019,🥉 BRONZE,Cidrerie du Minot,La Bolée,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2018,🏆 BEST IN CLASS,Cidrerie du Minot,Des Glaces - Récolte Hivernale IGP 2014,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",3rd Place
2018,🥇 GOLD,Cidrerie du Minot,La Bolée Pétillante,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2018,🥈 SILVER,Cidrerie du Minot,Crémant de Glace,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2018,🥈 SILVER,Cidrerie du Minot,Crémant de pomme,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2018,🥈 SILVER,Cidrerie du Minot,La Bolée,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2018,🥈 SILVER,Cidrerie du Minot,La Croisée,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2018,🥉 BRONZE,Cidrerie du Minot,Crémant de pomme Rosé,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2018,🥉 BRONZE,Cidrerie du Minot,Des glaces IGP 2014,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2018,🥉 BRONZE,Cidrerie du Minot,Du Minot Brut,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2018,🥉 BRONZE,Cidrerie du Minot,Du Minot Doré,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",
2017,🏆 BEST IN CLASS,Cidrerie du Minot,Des Glaces IGP 2014,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",1st Place
2017,🏆 BEST IN CLASS,Cidrerie du Minot,Crémant de Glace,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",2nd Place
2017,🏆 BEST IN CLASS,Cidrerie du Minot,Du Minot Doré,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",3rd Place
2017,🥇 GOLD,Cidrerie du Minot,Crémant de pomme rosé,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2017,🥈 SILVER,Cidrerie du Minot,Des Glaces - Récolte Hivernale IGP 2014,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2017,🥈 SILVER,Cidrerie du Minot,La Bolée Pétillante,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2017,🥉 BRONZE,Cidrerie du Minot,Crémant de pomme Du Minot,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2017,🥉 BRONZE,Cidrerie du Minot,La Bolée du Minot,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2017,🥉 BRONZE,Cidrerie du Minot,La Croisée,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2016,🥈 SILVER,Cidrerie du Minot,Crémant de Glace,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2016,🥈 SILVER,Cidrerie du Minot,Crémant de pomme Du Minot,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",
2016,🥈 SILVER,Cidrerie du Minot,Des Glace IGP 2014,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2016,🥈 SILVER,Cidrerie du Minot,Des Glaces - Récolte Hivernale IGP 2014,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2016,🥈 SILVER,Cidrerie du Minot,Du Minot Brut,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",
2016,🥈 SILVER,Cidrerie du Minot,Du Minot Doré,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Pommeau</a>",
2016,🥉 BRONZE,Cidrerie du Minot,Bolée Pétillante,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",
2016,🥉 BRONZE,Cidrerie du Minot,Crémant de pomme rosé Du Minot,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider</a>",
2016,🥉 BRONZE,Cidrerie du Minot,La Bolée Du Minot,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",
2016,🥈 SILVER,Cidrerie Entre Pierre & Terre,Cidre de glace,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2016,🥈 SILVER,Cidrerie Entre Pierre & Terre,Cidre mousseux,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider</a>",
2016,🥈 SILVER,Cidrerie Entre Pierre & Terre,Poire de glace- Ice perry,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2016,🥈 SILVER,Cidrerie Entre Pierre & Terre,Poiré mousseux,"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">New World Perry</a>",
2016,🥉 BRONZE,Cidrerie Entre Pierre & Terre,Cidre à la canneberge,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2015,🏆 BEST IN CLASS,Cidrerie Entre Pierre & Terre,Ice Perry,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",2nd Place
2015,🥈 SILVER,Cidrerie Entre Pierre & Terre,Ice Cider,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2014,🥈 SILVER,Cidrerie Entre Pierre & Terre,Cidre De Glace,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2013,🥈 SILVER,Cidrerie Entre Pierre & Terre,Entre Pierre Et Terre,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2023,🥈 SILVER,Cidrerie Le Somnambule,Déchaîné,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",
2023,🥈 SILVER,Cidrerie Le Somnambule,Sport d'hiver,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2023,🥉 BRONZE,Cidrerie Le Somnambule,Cybèle,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2023,🥉 BRONZE,Cidrerie Le Somnambule,Prunes,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🥈 SILVER,Cidrerie McKeown,McKeown Bone Dry,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2022,🥈 SILVER,Cidrerie McKeown,McKeown Bone Dry Cherry,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🥈 SILVER,Cidrerie McKeown,"McKeown Série La Shed ""À Côté de la Track""","<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>",
2017,🥈 SILVER,Cidrerie McKeown,McKeown Draft Cider,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2017,🥉 BRONZE,Cidrerie McKeown,McKeown Hop Cider,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",
2017,🥉 BRONZE,Cidrerie McKeown,McKeown Pear Cider,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2017,🥉 BRONZE,Cidrerie McKeown,"McKeown Série Maître-cidriculteur ""Pruche"" Cider","<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2023,🏆 BEST IN CLASS,Cidrerie Milton,Le Glacé,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",2nd Place
