Year,Medal,Medalist,Entry,Style,Place
2022,🥉 BRONZE,Sutliff Cider Company,Original,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2023,🏆 BEST IN CLASS,Suttons Bay Ciders,Natalie Rose,"<a href=""https://ciderguide.com/glintcap/styles/rose-cider/"">Rosé Cider</a>",1st Place
2023,🥉 BRONZE,Suttons Bay Ciders,Cherry Fest,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2023,🥉 BRONZE,Suttons Bay Ciders,Mosaic,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",
2021,🥈 SILVER,Suttons Bay Ciders,Barrel Rider,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",
2021,🥈 SILVER,Suttons Bay Ciders,Great American,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2021,🥈 SILVER,Suttons Bay Ciders,Mosaic,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",
2021,🥈 SILVER,Suttons Bay Ciders,Portal,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2021,🥉 BRONZE,Suttons Bay Ciders,Korzon Orchard,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Dry</a>",
2019,🥈 SILVER,Suttons Bay Ciders,Mosaic,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",
2019,🥈 SILVER,Suttons Bay Ciders,Sweet Bay,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",
2019,🥉 BRONZE,Suttons Bay Ciders,I. Spy Ginger,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Spiced Cider</a>",
2019,🥉 BRONZE,Suttons Bay Ciders,Sidra LaPeño,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Spiced Cider</a>",
2019,🥉 BRONZE,Suttons Bay Ciders,Smitten,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2018,🏆 BEST IN CLASS,Suttons Bay Ciders,I Spy Ginger,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Spiced Cider</a>",3rd Place
2018,🥈 SILVER,Suttons Bay Ciders,Smitten,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2018,🥉 BRONZE,Suttons Bay Ciders,Honey Pie,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
