glintcap_short,glintcap_full,glintcap_slug,Medalist,Assumed,World_ID,World_Name_Old,actual_short,notes,World_Name,new_cg_url
https://glintcap.org/s-martinelli-co,https://glintcap.org/results/commercial/medalists/s-martinelli-co/,s-martinelli-co,S. Martinelli & Co.,https://ciderguide.com/s-martinelli-co,537,S. Martinelli & Co.,https://ciderguide.com/s-martinelli-co,,S. Martinelli & Co.,https://ciderguide.com/glintcap/medalists/s-martinelli-co/
https://glintcap.org/santa-cruz-cider-co,https://glintcap.org/results/commercial/medalists/santa-cruz-cider-co/,santa-cruz-cider-co,Santa Cruz Cider Co.,https://ciderguide.com/santa-cruz-cider-co,543,Santa Cruz Cider Co.,https://ciderguide.com/santa-cruz-cider-co,,Santa Cruz Cider Co.,https://ciderguide.com/glintcap/medalists/santa-cruz-cider-co/
https://glintcap.org/seasons-cider,https://glintcap.org/results/commercial/medalists/seasons-cider/,seasons-cider,Ciderworks @ Story Tavern,https://ciderguide.com/ciderworks-story-tavern,1785,Ciderworks @ Story Tavern,https://ciderguide.com/ciderworks-story-tavern,,Ciderworks @ Story Tavern,https://ciderguide.com/glintcap/medalists/ciderworks-story-tavern/
https://glintcap.org/serpentine-cider,https://glintcap.org/results/commercial/medalists/serpentine-cider/,serpentine-cider,#N/A,#N/A,556,Serpentine Cider Miramar,https://ciderguide.com/serpentine-cider-miramar,,Serpentine Cider,https://ciderguide.com/glintcap/medalists/serpentine-cider/
https://glintcap.org/sierra-cider,https://glintcap.org/results/commercial/medalists/sierra-cider/,sierra-cider,Sierra Cider,https://ciderguide.com/sierra-cider,561,Sierra Cider,https://ciderguide.com/sierra-cider,,Sierra Cider,https://ciderguide.com/glintcap/medalists/sierra-cider/
https://glintcap.org/socal-ciderworks,https://glintcap.org/results/commercial/medalists/socal-ciderworks/,socal-ciderworks,#N/A,#N/A,2581,SoCal CiderWorks,none,Added.,SoCal CiderWorks,https://ciderguide.com/glintcap/medalists/socal-ciderworks/
https://glintcap.org/sonoma-cider,https://glintcap.org/results/commercial/medalists/sonoma-cider/,sonoma-cider,Sonoma Cider,https://ciderguide.com/sonoma-cider,1085,Sonoma Cider,https://ciderguide.com/sonoma-cider,,Sonoma Cider,https://ciderguide.com/glintcap/medalists/sonoma-cider/
https://glintcap.org/south-city-ciderworks,https://glintcap.org/results/commercial/medalists/south-city-ciderworks/,south-city-ciderworks,South City Ciderworks,https://ciderguide.com/south-city-ciderworks,577,South City Ciderworks,https://ciderguide.com/south-city-ciderworks,,South City Ciderworks,https://ciderguide.com/glintcap/medalists/south-city-ciderworks/
https://glintcap.org/stoked-cider-co,https://glintcap.org/results/commercial/medalists/stoked-cider-co/,stoked-cider-co,#N/A,#N/A,2587,Stoked Cider,none,Added.,Stoked Cider,https://ciderguide.com/glintcap/medalists/stoked-cider/
https://glintcap.org/sycamore-ranch-vineyard-winery,https://glintcap.org/results/commercial/medalists/sycamore-ranch-vineyard-winery/,sycamore-ranch-vineyard-winery,Sycamore Ranch Vineyard & Winery,https://ciderguide.com/sycamore-ranch-vineyard-winery,1014,Sycamore Ranch Vineyard & Winery,https://ciderguide.com/sycamore-ranch-vineyard-winery,,Sycamore Ranch Vineyard & Winery,https://ciderguide.com/glintcap/medalists/sycamore-ranch-vineyard-winery/
https://glintcap.org/tilted-shed-ciderworks,https://glintcap.org/results/commercial/medalists/tilted-shed-ciderworks/,tilted-shed-ciderworks,Tilted Shed Ciderworks,https://ciderguide.com/tilted-shed-ciderworks,636,Tilted Shed Ciderworks,https://ciderguide.com/tilted-shed-ciderworks,,Tilted Shed Ciderworks,https://ciderguide.com/glintcap/medalists/tilted-shed-ciderworks/
https://glintcap.org/troy-cider,https://glintcap.org/results/commercial/medalists/troy-cider/,troy-cider,Troy Cider,https://ciderguide.com/troy-cider,647,Troy Cider,https://ciderguide.com/troy-cider,,Troy Cider,https://ciderguide.com/glintcap/medalists/troy-cider/
https://glintcap.org/two-broads-ciderworks,https://glintcap.org/results/commercial/medalists/two-broads-ciderworks/,two-broads-ciderworks,Two Broads Ciderworks,https://ciderguide.com/two-broads-ciderworks,654,Two Broads Ciderworks,https://ciderguide.com/two-broads-ciderworks,,Two Broads Ciderworks,https://ciderguide.com/glintcap/medalists/two-broads-ciderworks/
