Source,Target,Short_Name,CG_URL,Producer,Status,WID,State_Province,Country,Table_Shortcode,Notes,"[table id=9 filter=""zzz"" filter_full_cell_match=true hide_columns=""3"" /]"
https://glintcap.org/forbidden-fruit-cider,https://glintcap.org/results/commercial/medalists/forbidden-fruit-cider/,forbidden-fruit-cider,https://ciderguide.com/glintcap/medalists/forbidden-fruit-cider/,St. Julian Winery,Active,51,Michigan,United States,"[table id=9 filter=""St. Julian Winery"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/starcut-ciders,https://glintcap.org/results/commercial/medalists/starcut-ciders/,starcut-ciders,https://ciderguide.com/glintcap/medalists/starcut-ciders/,Starcut Ciders,Active,52,Michigan,United States,"[table id=9 filter=""Starcut Ciders"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/suttons-bay-ciders,https://glintcap.org/results/commercial/medalists/suttons-bay-ciders/,suttons-bay-ciders,https://ciderguide.com/glintcap/medalists/suttons-bay-ciders/,Suttons Bay Ciders,Active,53,Michigan,United States,"[table id=9 filter=""Suttons Bay Ciders"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/tandem-ciders,https://glintcap.org/results/commercial/medalists/tandem-ciders/,tandem-ciders,https://ciderguide.com/glintcap/medalists/tandem-ciders/,Tandem Ciders,Active,54,Michigan,United States,"[table id=9 filter=""Tandem Ciders"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/texas-corners-brewing-co,https://glintcap.org/results/commercial/medalists/texas-corners-brewing-co/,texas-corners-brewing-co,https://ciderguide.com/glintcap/medalists/texas-corners-brewing-co/,Texas Corners Brewing Company,Active,55,Michigan,United States,"[table id=9 filter=""Texas Corners Brewing Company"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/thornapple-brewing-company,https://glintcap.org/results/commercial/medalists/thornapple-brewing-company/,thornapple-brewing-company,https://ciderguide.com/glintcap/medalists/thornapple-brewing-company/,Thornapple Brewing Company,Active,58,Michigan,United States,"[table id=9 filter=""Thornapple Brewing Company"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/townline-ciderworks,https://glintcap.org/results/commercial/medalists/townline-ciderworks/,townline-ciderworks,https://ciderguide.com/glintcap/medalists/townline-ciderworks/,Townline Ciderworks,Active,59,Michigan,United States,"[table id=9 filter=""Townline Ciderworks"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/uncle-johns,https://glintcap.org/results/commercial/medalists/uncle-johns/,uncle-johns,https://ciderguide.com/glintcap/medalists/uncle-johns/,Uncle John's,Active,61,Michigan,United States,"[table id=9 filter=""Uncle John's"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/vander-mill,https://glintcap.org/results/commercial/medalists/vander-mill/,vander-mill,https://ciderguide.com/glintcap/medalists/vander-mill/,Vander Mill,Active,62,Michigan,United States,"[table id=9 filter=""Vander Mill"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/virtue-cider,https://glintcap.org/results/commercial/medalists/virtue-cider/,virtue-cider,https://ciderguide.com/glintcap/medalists/virtue-cider/,Virtue Cider,Active,63,Michigan,United States,"[table id=9 filter=""Virtue Cider"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/westview-orchards-winery,https://glintcap.org/results/commercial/medalists/westview-orchards-winery/,westview-orchards-winery,https://ciderguide.com/glintcap/medalists/westview-orchards-winery/,Westview Orchards & Winery,Active,64,Michigan,United States,"[table id=9 filter=""Westview Orchards & Winery"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/2-towns-ciderhouse,https://glintcap.org/results/commercial/medalists/2-towns-ciderhouse/,2-towns-ciderhouse,https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/,2 Towns Ciderhouse,Active,67,Oregon,United States,"[table id=9 filter=""2 Towns Ciderhouse"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/101-cider-house,https://glintcap.org/results/commercial/medalists/101-cider-house/,101-cider-house,https://ciderguide.com/glintcap/medalists/101-cider-house/,101 Cider House,Active,73,California,United States,"[table id=9 filter=""101 Cider House"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/1911-established,https://glintcap.org/results/commercial/medalists/1911-established/,1911-established,https://ciderguide.com/glintcap/medalists/1911-established/,1911 Established,Active,75,New York,United States,"[table id=9 filter=""1911 Established"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/aeppeltreow-winery-distillery,https://glintcap.org/results/commercial/medalists/aeppeltreow-winery-distillery/,aeppeltreow-winery-distillery,https://ciderguide.com/glintcap/medalists/aeppeltreow-winery-distillery/,AeppelTreow Winery & Distillery,Active,79,Wisconsin,United States,"[table id=9 filter=""AeppelTreow Winery & Distillery"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/albemarle-ciderworks,https://glintcap.org/results/commercial/medalists/albemarle-ciderworks/,albemarle-ciderworks,https://ciderguide.com/glintcap/medalists/albemarle-ciderworks/,Albemarle CiderWorks,Active,83,Virginia,United States,"[table id=9 filter=""Albemarle CiderWorks"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/alpenfire-cider,https://glintcap.org/results/commercial/medalists/alpenfire-cider/,alpenfire-cider,https://ciderguide.com/glintcap/medalists/alpenfire-cider/,Alpenfire Cider,Active,84,Washington,United States,"[table id=9 filter=""Alpenfire Cider"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/ambrosia-orchard-cidery-and-meadery,https://glintcap.org/results/commercial/medalists/ambrosia-orchard-cidery-and-meadery/,ambrosia-orchard-cidery-and-meadery,https://ciderguide.com/glintcap/medalists/ambrosia-orchard-cidery-and-meadery/,Ambrosia Orchard,Active,86,Indiana,United States,"[table id=9 filter=""Ambrosia Orchard"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/angry-orchard,https://glintcap.org/results/commercial/medalists/angry-orchard/,angry-orchard,https://ciderguide.com/glintcap/medalists/angry-orchard/,Angry Orchard,Active,87,New York,United States,"[table id=9 filter=""Angry Orchard"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/anxo-cider,https://glintcap.org/results/commercial/medalists/anxo-cider,anxo-cider,https://ciderguide.com/glintcap/medalists/anxo-cider/,ANXO Cider,Active,89,District of Columbia,United States,"[table id=9 filter=""ANXO Cider"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/apple-knocker-hard-cider,https://glintcap.org/results/commercial/medalists/apple-knocker-hard-cider/,apple-knocker-hard-cider,https://ciderguide.com/glintcap/medalists/apple-knocker-hard-cider/,Owl Creek Vineyard,Active,91,Illinois,United States,"[table id=9 filter=""Owl Creek Vineyard"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/apple-outlaw,https://glintcap.org/results/commercial/medalists/apple-outlaw/,apple-outlaw,https://ciderguide.com/glintcap/medalists/apple-outlaw/,Apple Outlaw,Active,92,Oregon,United States,"[table id=9 filter=""Apple Outlaw"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/apple-valley-cider-company,https://glintcap.org/results/commercial/medalists/apple-valley-cider-company/,apple-valley-cider-company,https://ciderguide.com/glintcap/medalists/apple-valley-cider-company/,Apple Valley Cider Company,Active,93,Colorado,United States,"[table id=9 filter=""Apple Valley Cider Company"" filter_full_cell_match=true hide_columns=""3"" /]",,
