Year,Entrant,Medalist,Entry,Class,Place,Results
2023,Angry Orchard,"<a href=""https://ciderguide.com/glintcap/medalists/angry-orchard/"">Angry Orchard</a>",Bittersweet Runner,Wood Aged Cider,1st Place,https://ciderguide.com/glintcap/medalists/angry-orchard/
2023,Snow Capped Cider,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Barrel Kingston Black,Wood Aged Cider,2nd Place,https://ciderguide.com/glintcap/medalists/snow-capped-cider/
2023,Empyrical Orchards & Cider,"<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchards & Cider</a>",Archive,Wood Aged Cider,3rd Place,https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/
2023,Vala's Orchard Cider,"<a href=""https://ciderguide.com/glintcap/medalists/valas-orchard-cider/"">Vala's Orchard Cider</a>",Barrel Jam,Wood Aged Specialty Cider,1st Place,https://ciderguide.com/glintcap/medalists/valas-orchard-cider/
2023,Seattle Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",Gravenstein Rose,Wood Aged Specialty Cider,2nd Place,https://ciderguide.com/glintcap/medalists/seattle-cider-company/
2023,Beach Bee Meadery,"<a href=""https://ciderguide.com/glintcap/medalists/beach-bee-meadery/"">Beach Bee Meadery</a>",Chardonnay Pear,Wood Aged Specialty Cider,3rd Place,https://ciderguide.com/glintcap/medalists/beach-bee-meadery/
2023,Thornbury Craft Co.,"<a href=""https://ciderguide.com/glintcap/medalists/thornbury-craft-co/"">Thornbury Craft Co.</a>",Thornbury Hopped Cranberry,Specialty Cider and Perry,1st Place,https://ciderguide.com/glintcap/medalists/thornbury-craft-co/
2023,Tandem Ciders,"<a href=""https://ciderguide.com/glintcap/medalists/tandem-ciders/"">Tandem Ciders</a>",Bee's Dream,Specialty Cider and Perry,2nd Place,https://ciderguide.com/glintcap/medalists/tandem-ciders/
2023,Thor's Hard Cider,"<a href=""https://ciderguide.com/glintcap/medalists/thors-hard-cider/"">Thor's Hard Cider</a>",Arctic Rosé,Specialty Cider and Perry,3rd Place,https://ciderguide.com/glintcap/medalists/thors-hard-cider/
2023,Thornbury Craft Co.,"<a href=""https://ciderguide.com/glintcap/medalists/thornbury-craft-co/"">Thornbury Craft Co.</a>",Thornbury Raspberry Chocolate,Unlimited Cider and Perry,1st Place,https://ciderguide.com/glintcap/medalists/thornbury-craft-co/
2023,Thornbury Craft Co.,"<a href=""https://ciderguide.com/glintcap/medalists/thornbury-craft-co/"">Thornbury Craft Co.</a>",Thornbury Blood Orange,Unlimited Cider and Perry,2nd Place,https://ciderguide.com/glintcap/medalists/thornbury-craft-co/
2023,Jefferson County Ciderworks,"<a href=""https://ciderguide.com/glintcap/medalists/jefferson-county-ciderworks/"">Jefferson County Ciderworks</a>",Grapefruit Lime,Unlimited Cider and Perry,3rd Place,https://ciderguide.com/glintcap/medalists/jefferson-county-ciderworks/
2023,Cider Hill Cellars,"<a href=""https://ciderguide.com/glintcap/medalists/cider-hill-cellars/"">Cider Hill Cellars</a>",Winter,Ice Cider,1st Place,https://ciderguide.com/glintcap/medalists/cider-hill-cellars/
2023,Cidrerie Milton,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-milton/"">Cidrerie Milton</a>",Le Glacé,Ice Cider,2nd Place,https://ciderguide.com/glintcap/medalists/cidrerie-milton/
2023,Cidrerie Verger Bilodeau,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-verger-bilodeau/"">Cidrerie Verger Bilodeau</a>",Cuvée Spéciale,Ice Cider,3rd Place,https://ciderguide.com/glintcap/medalists/cidrerie-verger-bilodeau/
2023,Montana CiderWorks,"<a href=""https://ciderguide.com/glintcap/medalists/montana-ciderworks/"">Montana CiderWorks</a>",Pomm-OH!,Fortified Cider,1st Place,https://ciderguide.com/glintcap/medalists/montana-ciderworks/
2023,2 Towns Ciderhouse,"<a href=""https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/"">2 Towns Ciderhouse</a>",Pommeau,Fortified Cider,2nd Place,https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/
2023,Red Island Cider,"<a href=""https://ciderguide.com/glintcap/medalists/red-island-cider/"">Red Island Cider</a>",Pommeau de l'Ile,Fortified Cider,3rd Place,https://ciderguide.com/glintcap/medalists/red-island-cider/
2023,Uncle John's,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Apple Brandy,Spirits,1st Place,https://ciderguide.com/glintcap/medalists/uncle-johns/
2023,Ambix Spirits,"<a href=""https://ciderguide.com/glintcap/medalists/ambix-spirits/"">Ambix Spirits</a>",Founder Release 1 Apple Brandy,Spirits,2nd Place,https://ciderguide.com/glintcap/medalists/ambix-spirits/
2023,Uncle John's,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Vodka From Apples,Spirits,3rd Place,https://ciderguide.com/glintcap/medalists/uncle-johns/
2022,City Orchard,"<a href=""https://ciderguide.com/glintcap/medalists/city-orchard/"">City Orchard</a>",Mr. Green,Modern Cider - Dry,1st Place,https://ciderguide.com/glintcap/medalists/city-orchard/
2022,Yip Cider,"<a href=""https://ciderguide.com/glintcap/medalists/yip-cider/"">Yip Cider</a>",Original,Modern Cider - Dry,2nd Place,https://ciderguide.com/glintcap/medalists/yip-cider/
