glintcap,new_cg_url
/distillery-lane-ciderworks/,https://ciderguide.com/glintcap/medalists/distillery-lane-ciderworks/
/willow-oaks/,https://ciderguide.com/glintcap/medalists/willow-oaks/
/artifact-cider-project/,https://ciderguide.com/glintcap/medalists/artifact-cider-project/
/bantam-cider/,https://ciderguide.com/glintcap/medalists/bantam-cider/
/berkshire-cider-project/,https://ciderguide.com/glintcap/medalists/berkshire-cider-project/
/boston-beer-company/,https://ciderguide.com/glintcap/medalists/boston-beer-company/
/cider-hill-cellars/,https://ciderguide.com/glintcap/medalists/cider-hill-cellars/
/downeast-cider-house/,https://ciderguide.com/glintcap/medalists/downeast-cider-house/
/headwater-cider/,https://ciderguide.com/glintcap/medalists/headwater-cider/
/new-salem-cider/,https://ciderguide.com/glintcap/medalists/new-salem-cider/
/prospect-ciderworks/,https://ciderguide.com/glintcap/medalists/prospect-ciderworks/
/ragged-hill-cider-company/,https://ciderguide.com/glintcap/medalists/ragged-hill-cider/
/russell-orchards/,https://ciderguide.com/glintcap/medalists/russell-orchards/
/shoal-hope-ciderworks/,https://ciderguide.com/glintcap/medalists/shoal-hope-ciderworks/
/still-river-winery/,https://ciderguide.com/glintcap/medalists/still-river-winery/
/stoneybrook-cider/,https://ciderguide.com/glintcap/medalists/stoneybrook-cider/
/stormalong-cider/,https://ciderguide.com/glintcap/medalists/stormalong-cider/
/3-north-vines/,https://ciderguide.com/glintcap/medalists/3-north-vines/
/12-corners-vineyards/,https://ciderguide.com/glintcap/medalists/12-corners-vineyards/
/45-north-vineyard-winery/,https://ciderguide.com/glintcap/medalists/45-north-vineyard-winery/
/acme-cider-co/,https://ciderguide.com/glintcap/medalists/acme-cider-co/
/adesanya-mead-microbrewery/,https://ciderguide.com/glintcap/medalists/adesanya-mead-microbrewery/
/appleholic-cider-company/,https://ciderguide.com/glintcap/medalists/appleholic-cider-company/
/arktos-meadery/,https://ciderguide.com/glintcap/medalists/arktos-meadery/
/b-nektar/,https://ciderguide.com/glintcap/medalists/b-nektar/
/bee-well-mead-and-cider/,https://ciderguide.com/glintcap/medalists/bee-well-mead-cider/
/bel-lago-winery/,https://ciderguide.com/glintcap/medalists/bel-lago-winery/
/bier-distillery/,https://ciderguide.com/glintcap/medalists/bier-distillery/
/big-belly-ciderworks/,https://ciderguide.com/glintcap/medalists/big-belly-ciderworks/
/biglittle-wines/,https://ciderguide.com/glintcap/medalists/biglittle-wines/
/blackgrass-ciderworks/,https://ciderguide.com/glintcap/medalists/blackgrass-ciderworks/
/blakes-hard-cider-co/,https://ciderguide.com/glintcap/medalists/blakes-hard-cider-co/
/blom-meadworks/,https://ciderguide.com/glintcap/medalists/blom-meadworks/
/boss-cider-company/,https://ciderguide.com/glintcap/medalists/boss-cider-company/
/brys-estate-ciderworks/,https://ciderguide.com/glintcap/medalists/brys-estate-ciderworks/
/cascade-winery/,https://ciderguide.com/glintcap/medalists/cascade-winery-sierra-rose-ciders/
/cellar-brewing-company/,https://ciderguide.com/glintcap/medalists/cellar-brewing-company/
/cellarmens/,https://ciderguide.com/glintcap/medalists/cellarmens/
/cherry-creek-cellars/,https://ciderguide.com/glintcap/medalists/cherry-creek-cellars/
