Source,Target,Short_Name,CG_URL,URL,Producer,Status,WID,State_Province,Country,Table_Shortcode,Best in Class,Gold,Silver,Bronze,Total,First,Last,Years
https://glintcap.org/tandem-ciders,https://glintcap.org/results/commercial/medalists/tandem-ciders/,tandem-ciders,https://ciderguide.com/glintcap/tandem-ciders/,http://www.tandemciders.com/,Tandem Ciders,Active,54,Michigan,United States,"[table id=9 filter=""Tandem Ciders"" filter_full_cell_match=true hide_columns=""3"" /]",5,8,49,19,81,2009,2023,13
https://glintcap.org/texas-corners-brewing-co,https://glintcap.org/results/commercial/medalists/texas-corners-brewing-co/,texas-corners-brewing-co,https://ciderguide.com/glintcap/texas-corners-brewing-co/,http://texascornersbrewing.com/,Texas Corners Brewing Company,Active,55,Michigan,United States,"[table id=9 filter=""Texas Corners Brewing Company"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,4,1,5,2017,2018,2
https://glintcap.org/thornapple-brewing-company,https://glintcap.org/results/commercial/medalists/thornapple-brewing-company/,thornapple-brewing-company,https://ciderguide.com/glintcap/thornapple-brewing-company/,http://www.thornapplebrewing.com/,Thornapple Brewing Company,Active,58,Michigan,United States,"[table id=9 filter=""Thornapple Brewing Company"" filter_full_cell_match=true hide_columns=""3"" /]",0,2,8,12,22,2017,2023,6
https://glintcap.org/townline-ciderworks,https://glintcap.org/results/commercial/medalists/townline-ciderworks/,townline-ciderworks,https://ciderguide.com/glintcap/townline-ciderworks/,https://www.townlineciderworks.com/,Townline Ciderworks,Active,59,Michigan,United States,"[table id=9 filter=""Townline Ciderworks"" filter_full_cell_match=true hide_columns=""3"" /]",0,2,14,6,22,2017,2023,5
https://glintcap.org/uncle-johns,https://glintcap.org/results/commercial/medalists/uncle-johns/,uncle-johns,https://ciderguide.com/glintcap/uncle-johns/,https://www.ujcidermill.com/,Uncle John's,Active,61,Michigan,United States,"[table id=9 filter=""Uncle John's"" filter_full_cell_match=true hide_columns=""3"" /]",19,28,91,73,211,2005,2023,17
https://glintcap.org/vander-mill,https://glintcap.org/results/commercial/medalists/vander-mill/,vander-mill,https://ciderguide.com/glintcap/vander-mill/,http://vandermill.com/,Vander Mill,Active,62,Michigan,United States,"[table id=9 filter=""Vander Mill"" filter_full_cell_match=true hide_columns=""3"" /]",2,10,47,34,93,2008,2023,14
https://glintcap.org/virtue-cider,https://glintcap.org/results/commercial/medalists/virtue-cider/,virtue-cider,https://ciderguide.com/glintcap/virtue-cider/,http://www.virtuecider.com/,Virtue Cider,Active,63,Michigan,United States,"[table id=9 filter=""Virtue Cider"" filter_full_cell_match=true hide_columns=""3"" /]",1,5,38,24,68,2013,2023,10
https://glintcap.org/westview-orchards-winery,https://glintcap.org/results/commercial/medalists/westview-orchards-winery/,westview-orchards-winery,https://ciderguide.com/glintcap/westview-orchards-winery/,https://www.westviewproduce.com/,Westview Orchards & Winery,Active,64,Michigan,United States,"[table id=9 filter=""Westview Orchards & Winery"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,0,1,1,2019,2019,1
https://glintcap.org/2-towns-ciderhouse,https://glintcap.org/results/commercial/medalists/2-towns-ciderhouse/,2-towns-ciderhouse,https://ciderguide.com/glintcap/2-towns-ciderhouse/,http://www.2townsciderhouse.com/,2 Towns Ciderhouse,Active,67,Oregon,United States,"[table id=9 filter=""2 Towns Ciderhouse"" filter_full_cell_match=true hide_columns=""3"" /]",4,19,94,70,187,2012,2023,11
https://glintcap.org/101-cider-house,https://glintcap.org/results/commercial/medalists/101-cider-house/,101-cider-house,https://ciderguide.com/glintcap/101-cider-house/,https://101cider.com/,101 Cider House,Active,73,California,United States,"[table id=9 filter=""101 Cider House"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,2,1,3,2016,2018,2
https://glintcap.org/1911-established,https://glintcap.org/results/commercial/medalists/1911-established/,1911-established,https://ciderguide.com/glintcap/1911-established/,http://1911established.com/,1911 Established,Active,75,New York,United States,"[table id=9 filter=""1911 Established"" filter_full_cell_match=true hide_columns=""3"" /]",1,5,41,22,69,2015,2023,7
https://glintcap.org/aeppeltreow-winery-distillery,https://glintcap.org/results/commercial/medalists/aeppeltreow-winery-distillery/,aeppeltreow-winery-distillery,https://ciderguide.com/glintcap/aeppeltreow-winery-distillery/,http://aeppeltreow.com/,AeppelTreow Winery & Distillery,Active,79,Wisconsin,United States,"[table id=9 filter=""AeppelTreow Winery & Distillery"" filter_full_cell_match=true hide_columns=""3"" /]",4,8,20,34,66,2005,2023,17
https://glintcap.org/albemarle-ciderworks,https://glintcap.org/results/commercial/medalists/albemarle-ciderworks/,albemarle-ciderworks,https://ciderguide.com/glintcap/albemarle-ciderworks/,http://www.albemarleciderworks.com/,Albemarle CiderWorks,Active,83,Virginia,United States,"[table id=9 filter=""Albemarle CiderWorks"" filter_full_cell_match=true hide_columns=""3"" /]",1,9,16,12,38,2012,2023,9
