ID,WID,Year,Style,Award,Medalist,Entry,Region,Style Group
684,10,2023,Spiced,🏆 Platinum,Blake's Hard Cider Co.,El Chavo,Michigan,Botanical & Spiced
685,1084,2023,Spiced,🥇🥇 Double Gold,19 Acres Cider Co.,Yuletide,Oregon,Botanical & Spiced
686,118,2023,Spiced,🥇 Gold,Bauman's Cider,Harvest Cider,Oregon,Botanical & Spiced
687,670,2023,Spiced,🥈 Silver,Lake Chelan Winery,Apple Pie,Washington,Botanical & Spiced
688,631,2023,Spiced,👍 Judges' Pick,Thor's Hard Cider,Ginger Fizz,Minnesota,Botanical & Spiced
689,569,2023,Spiced,👍 Judges' Pick,Snow Capped Cider,JalaPEARño,Colorado,Botanical & Spiced
690,631,2023,Spiced,👍 Judges' Pick,Thor's Hard Cider,El Thoro,Minnesota,Botanical & Spiced
691,569,2023,Wood-Aged,🏆 Platinum,Snow Capped Cider,Blanc Mollet,Colorado,Wood-Aged
692,908,2023,Wood-Aged,🥇🥇 Double Gold,Union Hill Cider Company,Sur Lie,Washington,Wood-Aged
693,553,2023,Wood-Aged,🥇 Gold,Seattle Cider Company,Red-Wine Barrel Aged Berry,Washington,Wood-Aged
694,635,2023,Wood-Aged,🥈 Silver,Tieton Cider Works,Bourbon Barrel Peach,Washington,Wood-Aged
695,294,2023,Wood-Aged,👍 Judges' Pick,Glacial Till Vineyard & Winery,Cabin Nights,Nebraska,Wood-Aged
696,1813,2023,Wood-Aged,👍 Judges' Pick,Clarksburg Cider,Cabernet Barrel-Aged,New York,Wood-Aged
697,165,2023,Wood-Aged,👍 Judges' Pick,Brooklyn Cider House,Sapsong,New York,Wood-Aged
698,124,2023,Dessert/Fortified,🏆 Platinum,Bent Ladder,Winter Crisp,Ohio,Dessert & Fortified
699,185,2023,Dessert/Fortified,🏆 Platinum,Castle Hill Cider,Hewes Crab Pommeau Five Year Reserve,Virginia,Dessert & Fortified
700,87,2023,Dessert/Fortified,🥇🥇 Double Gold,Angry Orchard,Pommeau,New York,Dessert & Fortified
701,1060,2023,Dessert/Fortified,🥇 Gold,Seminary Hill Orchard & Cidery,Hen's Teeth,New York,Dessert & Fortified
702,534,2023,Dessert/Fortified,🥈 Silver,Runcible Cider,ORE No. 001,Oregon,Dessert & Fortified
703,136,2023,Dessert/Fortified,👍 Judges' Pick,Black Diamond Cider,2021 Porter's Pommeau,New York,Dessert & Fortified
704,75,2023,Dessert/Fortified,👍 Judges' Pick,1911 Established,Pommeau,New York,Dessert & Fortified
705,165,2023,Dessert/Fortified,👍 Judges' Pick,Brooklyn Cider House,Pommeau,New York,Dessert & Fortified
