WID,Medalist,Country,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
133,Black Apple Hard Cider,United States,1,0,0,1,2024,2024,1,Active,"<a href=""https://www.blackapplehardcider.com/"">Website</a>","<a href=""https://www.facebook.com/blackapplecrossing/"">Facebook</a>","<a href=""https://www.instagram.com/blackapplehardcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5449257929643515916"">Google</a>","<a href=""https://www.yelp.com/biz/black-apple-crossing-springdale"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g31931-d8814858"">TripAdvisor</a>","<a href=""https://untappd.com/w/black-apple-crossing/211057"">Untappd</a>"
2812,BlakStoc,Austria,1,0,0,1,2017,2017,1,Active,"<a href=""http://www.blakstoc.com/"">Website</a>","<a href=""https://www.facebook.com/blakstoc/"">Facebook</a>","<a href=""https://www.instagram.com/blakstoc/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/blakstoc/236990"">Untappd</a>"
2353,Caledonian Cider Co,Scotland,1,0,0,1,2019,2019,1,Active,"<a href=""https://caledoniancider.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=15633057795289615854"">Google</a>",,,"<a href=""https://untappd.com/CaledonianCiderCo"">Untappd</a>"
760,Collective Arts Brewing,Canada,1,0,0,1,2017,2017,1,Active,"<a href=""https://collectiveartsbrewing.com/"">Website</a>","<a href=""https://www.facebook.com/collectiveartsbrewing"">Facebook</a>","<a href=""https://www.instagram.com/collectivebrew/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9920654321167470617"">Google</a>","<a href=""https://www.yelp.com/biz/collective-arts-brewing-hamilton"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g154990-d10341672"">TripAdvisor</a>","<a href=""https://untappd.com/w/collective-arts-brewing/76841"">Untappd</a>"
1133,Dunkertons Cider and Perry,England,1,0,0,1,2024,2024,1,Active,"<a href=""https://www.dunkertonscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/dunkertonsorganiccider/"">Facebook</a>","<a href=""https://www.instagram.com/dunkertonscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4719921113153419800"">Google</a>",,,"<a href=""https://untappd.com/brewery/12988"">Untappd</a>"
3015,Lepola Drinks,Finland,1,0,0,1,2024,2024,1,Active,"<a href=""https://lepoladrinks.fi/"">Website</a>","<a href=""https://www.facebook.com/lepoladrinks/"">Facebook</a>","<a href=""https://www.instagram.com/lepola_drinks/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10912023971262858580"">Google</a>",,,"<a href=""https://untappd.com/w/lepola/401095"">Untappd</a>"
3504,Merrydown,England,1,0,0,1,2013,2013,1,Active,"<a href=""https://www.merrydown.co.uk/"">Website</a>","<a href=""https://www.facebook.com/merrydown.cider/"">Facebook</a>",,,,,"<a href=""https://untappd.com/w/merrydown/90875"">Untappd</a>"
2753,OmCider,Norway,1,0,0,1,2024,2024,1,Active,"<a href=""https://omcider.no/"">Website</a>","<a href=""https://www.facebook.com/OmCiderAS/"">Facebook</a>","<a href=""https://www.instagram.com/omcideras/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1800091822223931241"">Google</a>",,,"<a href=""https://untappd.com/w/omcider/492586"">Untappd</a>"
2375,Pulpt,England,1,0,0,1,2019,2019,1,Active,"<a href=""https://www.pulpt.co.uk/"">Website</a>","<a href=""https://www.facebook.com/pulptcider/"">Facebook</a>","<a href=""https://www.instagram.com/pulptcider"">Instagram</a>","<a href=""https://maps.google.com/?cid=6769290529103590363"">Google</a>",,,"<a href=""https://untappd.com/w/pulpt/406060"">Untappd</a>"
2105,Riley's Cidery,Canada,1,0,0,1,2021,2021,1,Active,"<a href=""https://www.rileyscider.com/"">Website</a>","<a href=""https://www.facebook.com/rileyscidery/"">Facebook</a>","<a href=""https://www.instagram.com/rileyscidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9203737158800520029"">Google</a>",,,"<a href=""https://untappd.com/RileysCidery"">Untappd</a>"
1243,Sandford Orchards,England,1,0,0,1,2021,2021,1,Active,"<a href=""https://www.sandfordorchards.co.uk/"">Website</a>","<a href=""https://www.facebook.com/sandfordorchards"">Facebook</a>","<a href=""https://www.instagram.com/sandfordorchards/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2784404680033020235"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g635675-d14758900"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/14080"">Untappd</a>"
3505,Smashed Drynks,England,1,0,0,1,2021,2021,1,Active,"<a href=""https://www.smasheddrynks.co.uk/"">Website</a>","<a href=""https://www.facebook.com/SmashedDrynks/"">Facebook</a>","<a href=""https://www.instagram.com/smashed_drynks/"">Instagram</a>",,,,"<a href=""https://untappd.com/DrynksUnlimited"">Untappd</a>"
165,Brooklyn Cider House,United States,0,1,0,1,2024,2024,1,Active,"<a href=""http://brooklynciderhouse.com/"">Website</a>",,"<a href=""https://www.instagram.com/brooklynciderhouse/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3244654366527486527"">Google</a>",,,"<a href=""https://untappd.com/w/brooklyn-cider-house/234267"">Untappd</a>"
