Medalist,Region,🥇 Or,🥈 Argent,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
Les Vergers de Kermao,Brittany,1,1,1,3,2018,2024,3,Active,https://www.cidre-bretagne.com/,,https://www.instagram.com/kermao.cidre/,https://maps.google.com/?cid=11761800243914556755,https://www.tripadvisor.com/Attraction_Review-g2184442-d8603735,https://untappd.com/w/les-vergers-de-kermao/240565,47.921861,-4.08808
Maison Bellot,Grand Est,1,1,1,3,2020,2024,3,Active,https://maisonbellot.com/,https://www.facebook.com/maisonbellot/,https://www.instagram.com/maisonbellot,https://maps.google.com/?cid=10414608226999711696,,https://untappd.com/w/cidrerue-bellot/6107,48.0568674,4.1406121
Cidrerie Michel Bréavoine,Normandy,0,2,1,3,2018,2022,3,Active,https://www.breavoine.fr/,https://www.facebook.com/cidrebreavoine/,https://www.instagram.com/cidrebreavoine/,https://maps.google.com/?cid=13497264920337240271,,https://untappd.com/w/cidrerie-michel-breavoine/123090,49.300695,0.186955
Ferme Cidricole Lemercier,Normandy,0,2,1,3,2020,2022,2,Active,,,,https://maps.google.com/?cid=6251042079124659340,,https://untappd.com/w/lemercier/281366,49.6329329,0.8335807
Ferme du Pressoir,Pays de la Loire,0,1,2,3,2019,2023,3,Active,http://www.fermedupressoir.com/,https://www.facebook.com/Fermedupressoir/,https://www.instagram.com/fermedupressoir53/,https://maps.google.com/?cid=6591011395753434150,https://www.tripadvisor.com/Attraction_Review-g315817-d10859260,https://untappd.com/w/la-ferme-du-pressoir/142442,47.8463549,-0.937751
Domaine Olivier,Normandy,2,0,0,2,2018,2019,2,Active,https://www.ledomaineolivier.com/,,,https://maps.google.com/?cid=12832839833696798380,,https://untappd.com/w/domaine-olivier/337350,48.6498485,-0.5338754
Cidrerie Paul Coïc,Brittany,1,1,0,2,2019,2019,1,Active,https://www.cidrerie-coic.com/,https://www.facebook.com/profile.php?id=100053642774962,,https://maps.google.com/?cid=16824628257896189916,,https://untappd.com/w/paul-coa-c/137165,47.999837,-4.199284
Musée du Cidre,Brittany,1,1,0,2,2017,2018,2,Active,https://www.museeducidre.fr/,https://www.facebook.com/profile.php?id=100080860116653,,https://maps.google.com/?cid=15427737681446787065,,https://untappd.com/w/musee-du-cidre/352344,48.5139007,-1.9255033
Domaine des 5 D,Normandy,1,0,1,2,2017,2019,2,Active,http://cidreriedaufresne.com/,https://www.facebook.com/profile.php?id=100069411953752,,https://maps.google.com/?cid=8401719320995507859,,https://untappd.com/CidrerieDaufresne,49.1786404,0.2045199
La Charterie,Normandy,0,2,0,2,2017,2024,2,Active,,https://www.facebook.com/p/Cidre-la-Charterie-100063765540203/,,https://maps.google.com/?cid=15951067020462590657,,https://untappd.com/w/pascal-beaumesnil/142429,49.1691675,0.4960907
Les Bruyères Carré,Normandy,0,2,0,2,2020,2024,2,Active,https://www.les-bruyeres-carre.fr/,,https://www.instagram.com/les_bruyeres_carre/,https://maps.google.com/?cid=14008361966229384358,https://www.tripadvisor.com/Attraction_Review-g3320195-d18977312,https://untappd.com/w/les-bruyeres-carre-benoit-charbonneau/121081,49.2053203,0.3830928
Cidrerie de la Chesnaie,Normandy,0,1,1,2,2022,2023,2,Active,https://www.cidredelachesnaie.com/,https://www.facebook.com/cidreriedelachesnaie/,https://www.instagram.com/cidreriedelachesnaie/,https://maps.google.com/?cid=4156468210984117593,,https://untappd.com/w/cidre-de-la-chesnaie/474406,49.4998284,-1.5186345
