Medalist,Region,🥇 Or,🥈 Argent,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Écusson,Île-de-France,0,1,3,4,2017,2022,4,Active,"<a href=""https://www.cidre-ecusson.com/"">Website</a>","<a href=""https://www.facebook.com/CidreEcusson/"">Facebook</a>","<a href=""https://www.instagram.com/cidreecusson/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12531232480419391978"">Google</a>",,"<a href=""https://untappd.com/w/cidres-ecusson/15641"">Untappd</a>"
Brasseries & Cidreries de Milly,Hauts-de-France,2,1,0,3,2017,2022,3,Active,"<a href=""https://bcmilly.com/"">Website</a>","<a href=""https://www.facebook.com/BrasseriesDeMilly/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=5318378777475279780"">Google</a>",,"<a href=""https://untappd.com/w/brasseries-cidreries-de-milly/13703"">Untappd</a>"
Calvados Hugues Desfrièches,Normandy,2,1,0,3,2018,2019,2,Active,"<a href=""https://www.calvados-huguesdesfrieches.org/"">Website</a>",,"<a href=""https://www.instagram.com/calvadoshuguesdesfrieches/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4874502887438845939"">Google</a>",,"<a href=""https://untappd.com/w/hugues-desfrieches/275262"">Untappd</a>"
Appie,Île-de-France,1,1,1,3,2022,2024,3,Active,,"<a href=""https://www.facebook.com/appiecidre/"">Facebook</a>","<a href=""https://www.instagram.com/appie.cidre/"">Instagram</a>",,,"<a href=""https://untappd.com/w/appie/214748"">Untappd</a>"
Les Vergers de Kermao,Brittany,1,1,1,3,2018,2024,3,Active,"<a href=""https://www.cidre-bretagne.com/"">Website</a>",,"<a href=""https://www.instagram.com/kermao.cidre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11761800243914556755"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184442-d8603735"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-kermao/240565"">Untappd</a>"
Maison Bellot,Grand Est,1,1,1,3,2020,2024,3,Active,"<a href=""https://maisonbellot.com/"">Website</a>","<a href=""https://www.facebook.com/maisonbellot/"">Facebook</a>","<a href=""https://www.instagram.com/maisonbellot"">Instagram</a>","<a href=""https://maps.google.com/?cid=10414608226999711696"">Google</a>",,"<a href=""https://untappd.com/w/cidrerue-bellot/6107"">Untappd</a>"
Cidrerie Michel Bréavoine,Normandy,0,2,1,3,2018,2022,3,Active,"<a href=""https://www.breavoine.fr/"">Website</a>","<a href=""https://www.facebook.com/cidrebreavoine/"">Facebook</a>","<a href=""https://www.instagram.com/cidrebreavoine/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13497264920337240271"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-michel-breavoine/123090"">Untappd</a>"
Ferme Cidricole Lemercier,Normandy,0,2,1,3,2020,2022,2,Active,,,,"<a href=""https://maps.google.com/?cid=6251042079124659340"">Google</a>",,"<a href=""https://untappd.com/w/lemercier/281366"">Untappd</a>"
Ferme du Pressoir,Pays de la Loire,0,1,2,3,2019,2023,3,Active,"<a href=""http://www.fermedupressoir.com/"">Website</a>","<a href=""https://www.facebook.com/Fermedupressoir/"">Facebook</a>","<a href=""https://www.instagram.com/fermedupressoir53/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6591011395753434150"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g315817-d10859260"">TripAdvisor</a>","<a href=""https://untappd.com/w/la-ferme-du-pressoir/142442"">Untappd</a>"
Domaine Olivier,Normandy,2,0,0,2,2018,2019,2,Active,"<a href=""https://www.ledomaineolivier.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=12832839833696798380"">Google</a>",,"<a href=""https://untappd.com/w/domaine-olivier/337350"">Untappd</a>"
Cidrerie Paul Coïc,Brittany,1,1,0,2,2019,2019,1,Active,"<a href=""https://www.cidrerie-coic.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100053642774962"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=16824628257896189916"">Google</a>",,"<a href=""https://untappd.com/w/paul-coa-c/137165"">Untappd</a>"
Musée du Cidre,Brittany,1,1,0,2,2017,2018,2,Active,"<a href=""https://www.museeducidre.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100080860116653"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=15427737681446787065"">Google</a>",,"<a href=""https://untappd.com/w/musee-du-cidre/352344"">Untappd</a>"
Domaine des 5 D,Normandy,1,0,1,2,2017,2019,2,Active,"<a href=""http://cidreriedaufresne.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069411953752"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=8401719320995507859"">Google</a>",,"<a href=""https://untappd.com/CidrerieDaufresne"">Untappd</a>"
La Charterie,Normandy,0,2,0,2,2017,2024,2,Active,,"<a href=""https://www.facebook.com/p/Cidre-la-Charterie-100063765540203/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=15951067020462590657"">Google</a>",,"<a href=""https://untappd.com/w/pascal-beaumesnil/142429"">Untappd</a>"
Les Bruyères Carré,Normandy,0,2,0,2,2020,2024,2,Active,"<a href=""https://www.les-bruyeres-carre.fr/"">Website</a>",,"<a href=""https://www.instagram.com/les_bruyeres_carre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14008361966229384358"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g3320195-d18977312"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-bruyeres-carre-benoit-charbonneau/121081"">Untappd</a>"
Cidrerie de la Chesnaie,Normandy,0,1,1,2,2022,2023,2,Active,"<a href=""https://www.cidredelachesnaie.com/"">Website</a>","<a href=""https://www.facebook.com/cidreriedelachesnaie/"">Facebook</a>","<a href=""https://www.instagram.com/cidreriedelachesnaie/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4156468210984117593"">Google</a>",,"<a href=""https://untappd.com/w/cidre-de-la-chesnaie/474406"">Untappd</a>"
Manoir de Durcet,Normandy,0,1,1,2,2020,2024,2,Active,"<a href=""https://www.breton-manoirdedurcet.fr/"">Website</a>","<a href=""https://www.facebook.com/manoirdedurcet/"">Facebook</a>","<a href=""https://www.instagram.com/manoirdedurcetgaec/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3868969713989886200"">Google</a>",,"<a href=""https://untappd.com/w/manoir-de-durcet/399555"">Untappd</a>"
Brasserie Distillerie Veyrat,Auvergne-Rhône-Alpes,1,0,0,1,2022,2022,1,Active,"<a href=""https://brasserie-veyrat.com/"">Website</a>","<a href=""https://www.facebook.com/brasserieveyrat/"">Facebook</a>","<a href=""https://www.instagram.com/brasserieveyrat"">Instagram</a>","<a href=""https://maps.google.com/?cid=12472640117038294003"">Google</a>",,"<a href=""https://untappd.com/BrasserieVeyrat"">Untappd</a>"
La Ferme Saint Blaise,Normandy,1,0,0,1,2018,2018,1,Active,"<a href=""https://ferme-saint-blaise.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=2855509208433531801"">Google</a>",,
