ID,Category,Award,Entrant,Medalist,Entry,Entry,Points,Country,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
33,Still,🥉 HONOR,Gutshof Kraatz,Gutshof Kraatz,Vor dem Walde,Vor dem Walde,93,Germany,2825,https://gutshof-kraatz.de/,https://www.facebook.com/GutshofKraatz/,https://www.instagram.com/gutshof_kraatz/,https://maps.google.com/?cid=4340203013602665820,https://www.tripadvisor.com/Restaurant_Review-g12097270-d10525275,https://untappd.com/w/kelterei-gutshof-kraatz/210948,53.3903407,13.6664087
34,Still,🥉 HONOR,Brunner Most,Mostschenke Brunner,"Apfelwein ""Maschansker""","Apfelwein ""Maschansker""",91,Austria,1556,https://www.mostschenke.com/,https://www.facebook.com/brunnermost,https://www.instagram.com/brunnermost/,https://maps.google.com/?cid=9656305552831248718,https://www.tripadvisor.com/Restaurant_Review-g3175997-d9608009,,47.110958,15.909555
35,Still,🥉 HONOR,Brunner Most,Mostschenke Brunner,"Apfelwein ""Ilzer Rosenapfel""","Apfelwein ""Ilzer Rosenapfel""",91,Austria,1556,https://www.mostschenke.com/,https://www.facebook.com/brunnermost,https://www.instagram.com/brunnermost/,https://maps.google.com/?cid=9656305552831248718,https://www.tripadvisor.com/Restaurant_Review-g3175997-d9608009,,47.110958,15.909555
36,Still,🥉 HONOR,Graf Apfelwein,Graf Apfelwein,Graf Old Selection,Graf Old Selection,91,Austria,3252,https://graf-apfelwein.at/,https://www.facebook.com/profile.php?id=100093306042750,https://www.instagram.com/graf_apfelwein/,https://maps.google.com/?cid=951213740707234325,,,48.601594,13.9053778
37,Still,🥉 HONOR,Manufactur Apfeltraum,Roter Adam,Roter Adam Apfelwein Selection Pfalzmark,Roter Adam Apfelwein Selection Pfalzmark,91,Germany,3263,https://www.roteradam.de/,,,,,https://untappd.com/w/manufactur-apfeltraum/309238,50.1044255,8.6857447
38,Still,🥉 HONOR,Sidras Bereziartua,Bereziartua,Sidra Bereziartua,Sidra Bereziartua,91,Spain,1168,https://www.bereziartuasagardoa.com/,https://www.facebook.com/Bereziartua,https://www.instagram.com/SBereziartua/,https://maps.google.com/?cid=4287840169739792051,https://www.tripadvisor.com/Restaurant_Review-g1064182-d6740859,https://untappd.com/brewery/7553,43.2829301,-1.9400682
39,Still,🥉 HONOR,Mistérios da Quinta,Mistérios da Quinta,aRRebITa Tangerina,aRRebITa Tangerina,90,Portugal,2603,,,https://www.instagram.com/sidrariaprazeres/,,,https://untappd.com/w/misterios-da-quinta-unipessoal-lda/530615,32.75286,-17.2045712
40,Still,🥉 HONOR,Mosterei Seiz,Mosterei Seiz,Apfel Gourmet,Apfel Gourmet,88,Germany,3057,https://www.mosterei-seiz.de/,https://www.facebook.com/mostereiseiz.gd/,,https://maps.google.com/?cid=17460150387061372281,,https://untappd.com/w/mosterei-seiz/492689,48.7712143,9.7999727
41,Still,🥉 HONOR,Kelterei Kaes,Kelterei Kaes,Kaes Apfelwein,Kaes Apfelwein,87,Germany,3271,https://apfelweinkaes.de/,https://www.facebook.com/KeltereiKaes/,https://www.instagram.com/kelterei.kaes/,https://maps.google.com/?cid=14775549534266319023,,,50.4805893,8.8348645
42,Still,🥉 HONOR,Obstbau & Brennerei Koch,Meladoro,Meladoro Apfelwein,Meladoro Apfelwein,87,Germany,3264,https://www.meladoro-wein.de/,,https://www.instagram.com/meladoro_wein,https://maps.google.com/?cid=3661318101864764152,,,47.8151685,8.9646188
43,Still,🥉 HONOR,Kottmann's Brennerei,Kottmann's Brennerei,Wiesenobst Cider Luikenapfel Gelbmöstler Birne,Wiesenobst Cider Luikenapfel Gelbmöstler Birne,86,Germany,3049,https://hirsch-badditzenbach.de/,https://www.facebook.com/profile.php?id=100054455442443,,https://maps.google.com/?cid=9553558957450184374,https://www.tripadvisor.com/Restaurant_Review-g1053109-d4953508,,48.5807452,9.681275
44,Still,🥉 HONOR,TRABANCO DISTRIBUCION Y EXPORTACION,Sidra Trabanco,Alicia,Alicia,83,Spain,1674,https://www.sidratrabanco.com/,https://www.facebook.com/sidratrabanco/,https://www.instagram.com/sidratrabanco/,https://maps.google.com/?cid=8706552013547802387,,https://untappd.com/brewery/6382,43.4704387,-5.6447197
45,Still,🥉 HONOR,Mistérios da Quinta,Mistérios da Quinta,aRRebITa Baga de Uveira,aRRebITa Baga de Uveira,81,Portugal,2603,,,https://www.instagram.com/sidrariaprazeres/,,,https://untappd.com/w/misterios-da-quinta-unipessoal-lda/530615,32.75286,-17.2045712
46,Sparkling,🥇 GOLD,Pomologik,Pomologik,Virvelvind / Munklägret,Virvelvind / Munklägret,120,Sweden,2397,https://www.pomologik.se/,https://www.facebook.com/pomologik,https://www.instagram.com/Pomologik/,https://maps.google.com/?cid=17836181822390207936,,https://untappd.com/Pomologik_swe,59.2627056,17.1157609
47,Sparkling,🥇 GOLD,Kühbrein,Kühbrein Most,Kühbrein Secco,Kühbrein Secco,119,Austria,2396,https://www.kuehbreinmost.at/,https://www.facebook.com/KuhbreinMost/,https://www.instagram.com/kuehbrein__/,https://maps.google.com/?cid=6347288815375920345,,https://untappd.com/w/k-hbrein/425089,47.2673244,14.7332229
48,Sparkling,🥇 GOLD,Böhm Ciderwerkstatt,Böhm Ciderwerkstatt,Cider Hollenbach,Cider Hollenbach,118,Germany,2975,https://www.boehm-cider.de/,https://www.facebook.com/ciderwerkstatt/,https://www.instagram.com/boehm_ciderwerkstatt,https://maps.google.com/?cid=4561270118581123333,,,49.3756292,9.803374
49,Sparkling,🥇 GOLD,Cidrerie du pays d'Auray,Cidrerie du Pays d'Auray,Cidre ExtraBrut,Cidre ExtraBrut,117,France,2543,,,,https://maps.google.com/?cid=9205038680508918633,,https://untappd.com/w/cidrerie-du-pays-d-auray-frana-ois-maho/423523,47.6950136,-3.0989541
50,Sparkling,🥇 GOLD,Ciderwerkstatt,Ciderwerk,Seute Deern Bio Ciderwerk,Seute Deern Bio Ciderwerk,115,Germany,3261,https://www.ciderwerk.de/,https://www.facebook.com/Ciderwerk/,https://www.instagram.com/ciderwerk,https://maps.google.com/?cid=16960082056786907939,,https://untappd.com/Ciderwerk,53.6091648,9.6441355
51,Sparkling,🥇 GOLD,Obst- und Gartenbauverein Fischbach 1906 e. V.,Obst- und Gartenbauverein Fischbach,Rettershofer Cider,Rettershofer Cider,114,Germany,3272,https://ogv-fischbach.com/,,,,,,50.2039213,11.3954134
52,Sparkling,🥇 GOLD,Ebbelboi Cider,Ebbelboi,Ebbelboi Fasscider,Ebbelboi Fasscider,112,Germany,2804,https://www.ebbelboi.com/,,https://www.instagram.com/ebbelboi.de/,https://maps.google.com/?cid=12712207984342946205,,https://untappd.com/w/ebbelboi/540160,53.6153456,9.7931551
53,Sparkling,🥇 GOLD,Pomologik,Pomologik,Aroma,Aroma,112,Sweden,2397,https://www.pomologik.se/,https://www.facebook.com/pomologik,https://www.instagram.com/Pomologik/,https://maps.google.com/?cid=17836181822390207936,,https://untappd.com/Pomologik_swe,59.2627056,17.1157609
54,Sparkling,🥇 GOLD,"VALLE, BALLINA Y FERNANDEZ SA",Sidra El Gaitero,Gaitero Spanish Cider 100% Apple,Gaitero Spanish Cider 100% Apple,112,Spain,1314,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266,43.4923237,-5.4230532
55,Sparkling,🥇 GOLD,Cidrerie Milton,Cidrerie Milton,CID Rosé,CID Rosé,112,Canada,750,https://cidreriemilton.com/,https://facebook.com/cidreriemilton,https://instagram.com/cidreriemilton,https://maps.google.com/?cid=9570102942420505240,https://www.tripadvisor.com/Attraction_Review-g11547718-d10105070,https://untappd.com/CidrerieMilton,45.483424,-72.759531
56,Sparkling,🥇 GOLD,Apfel+Wein Oberjosbach,Apfelundwein,Secco Winterapfel Hilde,Secco Winterapfel Hilde,112,Germany,3239,https://apfelundwein.de/,https://www.facebook.com/apfelundwein/,https://www.instagram.com/apfelundwein/,https://maps.google.com/?cid=10546461572269248873,https://www.tripadvisor.com/Attraction_Review-g642001-d9996165,https://untappd.com/w/apfelundwein-oberjosbach/210952,50.1738765,8.3343422
57,Sparkling,🥇 GOLD,Pomologik,Pomologik,Ice Ice Baby,Ice Ice Baby,111,Sweden,2397,https://www.pomologik.se/,https://www.facebook.com/pomologik,https://www.instagram.com/Pomologik/,https://maps.google.com/?cid=17836181822390207936,,https://untappd.com/Pomologik_swe,59.2627056,17.1157609
58,Sparkling,🥇 GOLD,Brunner Most,Mostschenke Brunner,"Apfelfrizzante ""Red Love""","Apfelfrizzante ""Red Love""",111,Austria,1556,https://www.mostschenke.com/,https://www.facebook.com/brunnermost,https://www.instagram.com/brunnermost/,https://maps.google.com/?cid=9656305552831248718,https://www.tripadvisor.com/Restaurant_Review-g3175997-d9608009,,47.110958,15.909555
59,Sparkling,🥇 GOLD,"VALLE, BALLINA Y FERNANDEZ SA",Sidra El Gaitero,Sidra Valle Ballina y Fernandez,Sidra Valle Ballina y Fernandez,111,Spain,1314,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266,43.4923237,-5.4230532
60,Sparkling,🥇 GOLD,Obstkelterei van Nahmen,Obstkelterei van Nahmen,van Nahmen Apfel-Cidre 4% vol.,van Nahmen Apfel-Cidre 4% vol.,110,Germany,3055,https://www.vannahmen.de/,https://www.facebook.com/vanNahmen/,https://www.instagram.com/van_nahmen/,https://maps.google.com/?cid=7921764717680991434,https://www.tripadvisor.com/Attraction_Review-g1078333-d21378894,https://untappd.com/w/privatkelterei-van-nahmen/141926,51.7287012,6.5867007
61,Sparkling,🥇 GOLD,Gutshof Kraatz,Gutshof Kraatz,Quittensecco,Quittensecco,109,Germany,2825,https://gutshof-kraatz.de/,https://www.facebook.com/GutshofKraatz/,https://www.instagram.com/gutshof_kraatz/,https://maps.google.com/?cid=4340203013602665820,https://www.tripadvisor.com/Restaurant_Review-g12097270-d10525275,https://untappd.com/w/kelterei-gutshof-kraatz/210948,53.3903407,13.6664087
62,Sparkling,🥇 GOLD,Sandalen Gård,Sandalen Gård,Lindisfarne/Sandalen Gård,Lindisfarne/Sandalen Gård,109,Norway,3032,https://sandalengard.no/,https://www.facebook.com/sandalengard,https://www.instagram.com/sandalengard/,https://maps.google.com/?cid=16897274204164201537,,https://untappd.com/SandalenGrd,58.9889097,5.580136
63,Sparkling,🥈 SILVER,Hardanger Saft og Siderfabrikk AS,Hardanger Saft og Siderfabrikk,Hardangersider Dronning,Hardangersider Dronning,106,Norway,3010,https://hardangersider.no/,https://www.facebook.com/HardangerSaftogSiderfabrikk/,https://www.instagram.com/hardangersaftogsiderfabrikk/,https://maps.google.com/?cid=12869878933054305699,https://www.tripadvisor.com/Attraction_Review-g7159542-d4893441,https://untappd.com/w/hardanger-saft-og-siderfabrikk/42913,60.5742416,6.9563357
64,Sparkling,🥈 SILVER,L. + M. Meichle,Meichle Obst- und Weinbau,Apfelperle Cidre,Apfelperle Cidre,106,Germany,3056,https://www.meichle-hagnau.de/,,,,,,47.679952,9.325393
65,Sparkling,🥈 SILVER,Natur und Mohr,Natur und Mohr,OBSTcider,OBSTcider,104,Germany,3058,https://naturundmohr.de/,https://www.facebook.com/naturundmohrshop/,https://www.instagram.com/naturundmohr/,https://maps.google.com/?cid=1442772049758910733,,,48.6210336,9.0412938
66,Sparkling,🥈 SILVER,Mausser Most,Mausser Most,RedLove Frizzante,RedLove Frizzante,104,Austria,1558,https://maussermost.at/,https://www.facebook.com/maussermost,https://www.instagram.com/maussermost/,https://maps.google.com/?cid=7922019135177821652,https://www.tripadvisor.com/Restaurant_Review-g1916798-d5001742,,47.0616667,15.3208333
67,Sparkling,🥈 SILVER,Skarbø Gard,Skarbø Gard,Skarbø Sider Arvegull,Skarbø Sider Arvegull,104,Norway,3034,https://skarbogard.no/,https://www.facebook.com/skarbogard/,https://www.instagram.com/skarbogard/,https://maps.google.com/?cid=8459681002301363731,,https://untappd.com/w/skarbo-gard/467871,62.2884688,6.9656853
68,Sparkling,🥈 SILVER,Pomologik,Pomologik,Ingrid Marie,Ingrid Marie,103,Sweden,2397,https://www.pomologik.se/,https://www.facebook.com/pomologik,https://www.instagram.com/Pomologik/,https://maps.google.com/?cid=17836181822390207936,,https://untappd.com/Pomologik_swe,59.2627056,17.1157609
69,Sparkling,🥈 SILVER,Brunner Most,Mostschenke Brunner,Brunhild Cider,Brunhild Cider,103,Austria,1556,https://www.mostschenke.com/,https://www.facebook.com/brunnermost,https://www.instagram.com/brunnermost/,https://maps.google.com/?cid=9656305552831248718,https://www.tripadvisor.com/Restaurant_Review-g3175997-d9608009,,47.110958,15.909555
