ID,Category,Award,Medalist,Entry,Points,Country
30,Sparkling,🥇 Gold,Balholm,Vestland 2021,111,Norway
31,Sparkling,🥇 Gold,Talavas Sidrs,Talavas Premium Apple Cider,110,Latvia
32,Sparkling,🥇 Gold,Kvestad Sideri,1808,110,Norway
33,Sparkling,🥇 Gold,Cidrerie Milton,Cid Rosé,110,Canada
34,Sparkling,🥇 Gold,Horn Cider,Idun*,109,Denmark
35,Sparkling,🥈 Silver,Azienda Agricola dell Fatti Laura,Sidro Melagodo Brut,108,Italy
36,Sparkling,🥈 Silver,Egge Gaard,Liersider,108,Norway
37,Sparkling,🥈 Silver,Store Naa Siderkompani,57/2 - Karkall,107,Norway
38,Sparkling,🥈 Silver,Laerdal Sideri,Sider Fra Sote Epler,107,Norway
39,Sparkling,🥈 Silver,Paladeus,Paladeus - Sidro di Mela Frizzante,106,Italy
40,Sparkling,🥈 Silver,Horn Cider,Frigu*,104,Denmark
41,Sparkling,🥈 Silver,Manufactur Apfeltraum,Mousseux de Pomfital,103,Germany
42,Sparkling,🥈 Silver,Rosecker Streuobst,Cloudy Cider,103,Germany
43,Sparkling,🥈 Silver,Gallinal Drinks,Exner Craft Apple Cider,103,Spain
44,Sparkling,🥈 Silver,Most Manufaktur Bernhard Müller,Bittenfelder pur,102,Germany
45,Sparkling,🥈 Silver,Obstkelterei van Nahmen,Apfelcidre,102,Germany
46,Sparkling,🥈 Silver,Hardangergutane,Solglimit,102,Norway
47,Sparkling,🥈 Silver,Cidre Maho,Guillevic,102,France
48,Sparkling,🥈 Silver,Gutshof Kraatz,Apfel Cider,101,Germany
49,Sparkling,🥈 Silver,Alde Sideri,Alde Sider,101,Norway
50,Sparkling,🥈 Silver,Kelterei Possmann,Possmann 1881 Apfelschaumwein,101,Germany
51,Sparkling,🥈 Silver,Balholm,Vestmann,101,Norway
52,Sparkling,🥈 Silver,Helleland Gard,Heldre Sider - Tausakjeldo,100,Norway
53,Sparkling,🥈 Silver,Eiane Gard,Fyndig,100,Norway
54,Sparkling,🥈 Silver,"Valle, Ballina y Fernández",Sidra El Gaitero Rosé,100,Spain
55,Sparkling,🥈 Silver,Angry Orchard,Baldwin Traditional Method,99,United States
56,Sparkling,🥈 Silver,Ramborn Cider Co.,Ramborn Original Medium Dry Cider,99,Luxembourg
57,Sparkling,🥈 Silver,NeRo,Futens Vrede,98,Norway
58,Sparkling,🥈 Silver,Cidrerie du Pays d'Auray,Cidre Demisec,98,France
59,Sparkling,🥈 Silver,Andersen Winery,Sigrid,98,Denmark
60,Sparkling,🥈 Silver,Petritegi Sagardoak 2011,Petritegi Aparduna Brut Nature,98,Spain
61,Sparkling,🥈 Silver,Bear Cider,Bear Cider,97,Netherlands
62,Sparkling,🥉 Honor,Adam & Eva Bodensee Cider,Adam,96,Germany
63,Sparkling,🥉 Honor,Weingut Weishaar,Mustum Cider Apfel,96,Germany
64,Sparkling,🥉 Honor,Pomolo Obstweine,Roter Boskoop,96,Germany
65,Sparkling,🥉 Honor,Floribunda,Apfel Cider alla mela,95,Italy
66,Sparkling,🥉 Honor,Paladeus,Cider 1979,95,Italy
67,Sparkling,🥉 Honor,Adam & Eva Bodensee Cider,Eva,95,Germany
68,Sparkling,🥉 Honor,Sidra Somarroza,Sidra Espumosa Dulce Somarroza,94,Spain
69,Sparkling,🥉 Honor,Sidro Vittoria,Italian Bloom Vintag 2018,92,Italy
70,Sparkling,🥉 Honor,Cidrerie Milton,Honeycrisp Sour,92,Canada
71,Sparkling,🥉 Honor,Kühbrein Most,Kühbrein Cider,91,Austria
72,Sparkling,🥉 Honor,Widum Baumann,Alelino Mountain Cider,91,Italy
73,Sparkling,🥉 Honor,Hardanger Saft og Siderfabrikk,Hardanger Dronningsider,90,Norway
74,Sparkling,🥉 Honor,Sidra Somarroza,La Sidruca Natural,90,Spain
75,Sparkling,🥉 Honor,"Valle, Ballina y Fernández",Sidra El Gaitero Etiqueta Negra,90,Spain
76,Sparkling,🥉 Honor,Weingut Klenert,DK² Cider,90,Germany
77,Sparkling,🥉 Honor,Hardanger Saft og Siderfabrikk,Hardanger Sider Sprudlande,89,Norway
78,Sparkling,🥉 Honor,Apfelwein Kaes,Kaes Apfelsecco,88,Germany
79,Sparkling,🥉 Honor,"Valle, Ballina y Fernández",Spring Cider Apple,88,Spain
80,Sparkling,🥉 Honor,Von Wiesen,Champagner Renette Brut,87,Germany
81,Sparkling,🥉 Honor,Cidre Bigoud,Cidre Le Brun Artisanal Brut,86,France
82,Sparkling,🥉 Honor,"Valle, Ballina y Fernández",Sidra El Gaitero Extra,86,Spain
83,Sparkling,🥉 Honor,Sidra Somarroza,La Sidruca Dulce,86,Spain
84,Sparkling,🥉 Honor,OmCider,Huldra,85,Norway
85,Sparkling,🥉 Honor,"Valle, Ballina y Fernández",Gaitero Spanish Cider 100% Apples,85,Spain
86,Sparkling,🥉 Honor,"Valle, Ballina y Fernández",Pomarina Brut,84,Spain
87,Sparkling,🥉 Honor,Cidrerie Milton,Cid Cuivré,83,Canada
88,Sparkling,🥉 Honor,Cidrerie Milton,Galia,83,Canada
89,Sparkling,🥉 Honor,Cidrerie Milton,Cortland Tardive,83,Canada
90,Sparkling,🥉 Honor,Andersen Winery,Anderdog Cider,82,Italy
91,Sparkling,🥉 Honor,Kikusui Brewing Company,Kikusui Cidre Dry,82,Japan
92,Perry & Flavoured Cider - Still,🏆 Best of Category,Abavas Family Winery,Abavas Rhubarb Semi-Sweet Wine,114,Latvia
93,Perry & Flavoured Cider - Still,🥇 Gold,Stahringer Streuobstmosterei,Birnout,111,Germany
94,Perry & Flavoured Cider - Still,🥈 Silver,August Kottmann,Wiesenobst-Most Ginger-Luiken-Apfel Gelbmöstler-Birne,101,Germany
95,Perry & Flavoured Cider - Still,🥉 Honor,Stahringer Streuobstmosterei,Gelbmöstler,83,Germany
96,Perry & Flavoured Cider - Sparkling,🏆 Best of Category,Abavas Family Winery,Abavas Meadows Cider,115,Latvia
97,Perry & Flavoured Cider - Sparkling,🥇 Gold,Ramborn Cider Co.,Garden Quince,114,Luxembourg
98,Perry & Flavoured Cider - Sparkling,🥇 Gold,Eiane Gard,Brist,114,Norway
99,Perry & Flavoured Cider - Sparkling,🥇 Gold,Sidra Somarroza,Bíter Bio Somarroza,114,Spain
100,Perry & Flavoured Cider - Sparkling,🥇 Gold,Andersen Winery,BenA,112,Denmark
101,Perry & Flavoured Cider - Sparkling,🥇 Gold,Kikusui Brewing Company,Kikusui Posh Lemon Lime,111,Japan
102,Perry & Flavoured Cider - Sparkling,🥇 Gold,Cidrerie Milton,Hollyhop,111,Canada
103,Perry & Flavoured Cider - Sparkling,🥇 Gold,Sidra Somarroza,La Sidruca con Limón,110,Spain
104,Perry & Flavoured Cider - Sparkling,🥇 Gold,Stahringer Streuobstmosterei,Brisanti blau,110,Germany
105,Perry & Flavoured Cider - Sparkling,🥇 Gold,Apfelundwein - Oberjosbach,Apfel-Quitte,110,Germany
106,Perry & Flavoured Cider - Sparkling,🥇 Gold,Petritegi Sagardoak 2011,Sugar Krash Sagar,110,Spain
107,Perry & Flavoured Cider - Sparkling,🥇 Gold,Natur Cidre Urs Renninger,Poiré Strohgäu 2020 sec,109,Germany
108,Perry & Flavoured Cider - Sparkling,🥇 Gold,Pomolo Obstweine,Apfel-Quitten-Secco,109,Germany
109,Perry & Flavoured Cider - Sparkling,🥈 Silver,Store Naa Siderkompani,57/2 - Brudeferd,106,Norway
110,Perry & Flavoured Cider - Sparkling,🥈 Silver,Abavas Family Winery,Rhubarb Sparkling Wine,106,Latvia
111,Perry & Flavoured Cider - Sparkling,🥈 Silver,Talavas Sidrs,Apple Cider with Hops,105,Latvia
112,Perry & Flavoured Cider - Sparkling,🥈 Silver,Floribunda,Holunder Cider al Sambuco,105,Italy
113,Perry & Flavoured Cider - Sparkling,🥈 Silver,Lien Gaard,Livlig Apple Cider with Goosberry,104,Norway
114,Perry & Flavoured Cider - Sparkling,🥈 Silver,Der Stotz Hof,Handcrafted Cider trocken,103,Germany
115,Perry & Flavoured Cider - Sparkling,🥈 Silver,Sekse Gard,Hardangerbonden - Stora Marit,103,Norway
116,Perry & Flavoured Cider - Sparkling,🥈 Silver,Cold Hand Winery,Sparkling Ice,103,Denmark
117,Perry & Flavoured Cider - Sparkling,🥈 Silver,Boller Fruchtsäfte,Friedrich Apfel-Birnen-Cider,100,Germany
118,Perry & Flavoured Cider - Sparkling,🥈 Silver,Balholm,Humleblom,100,Norway
119,Perry & Flavoured Cider - Sparkling,🥈 Silver,Hardanger Saft og Siderfabrikk,Sider med Hylleblom,100,Norway
120,Perry & Flavoured Cider - Sparkling,🥈 Silver,Pomolo Obstweine,Apfel-Misple-Secco,99,Germany
121,Perry & Flavoured Cider - Sparkling,🥈 Silver,Apal Sideri,Kompani,99,Norway
122,Perry & Flavoured Cider - Sparkling,🥈 Silver,Ulvik Frukt & Cideri,Svartsurbaer Sider,98,Norway
123,Perry & Flavoured Cider - Sparkling,🥈 Silver,Ulvik Frukt & Cideri,Hylleblomsider,98,Norway
124,Perry & Flavoured Cider - Sparkling,🥉 Honor,Hardanger Saft og Siderfabrikk,Sider med Bringebaer,93,Norway
125,Perry & Flavoured Cider - Sparkling,🥉 Honor,"Valle, Ballina y Fernández",Spring Cider Apple + Grape,90,Spain
126,Perry & Flavoured Cider - Sparkling,🥉 Honor,Andersen Winery,Elmsfeuer Rhubarb 2021,89,Denmark
127,Perry & Flavoured Cider - Sparkling,🥉 Honor,Abavas Family Winery,Abavas Forests,89,Latvia
128,Perry & Flavoured Cider - Sparkling,🥉 Honor,Hardangergutane,Skyfri,89,Norway
129,Perry & Flavoured Cider - Sparkling,🥉 Honor,Cold Hand Winery,Sparkling Ice with Cherry,87,Denmark
130,Perry & Flavoured Cider - Sparkling,🥉 Honor,Rosecker Streuobst,Perry,86,Germany
131,Perry & Flavoured Cider - Sparkling,🥉 Honor,Kelterei Possmann,Cider Rosé,85,Germany
132,Perry & Flavoured Cider - Sparkling,🥉 Honor,Schlaraffenburger Streuobstagentur,Apfelsecco,81,Germany
133,Perry & Flavoured Cider - Sparkling,🥉 Honor,Apfelwein Kaes,Kaes Apfelsecco Rosé,80,Germany
134,Perry & Flavoured Cider - Sparkling,🥉 Honor,Gallinal Drinks,Exner Craft Hopped Cider,80,Spain
135,Ice Cider - Dessert Wine,🏆 Best of Category,NeRo,NeRo Ice Cider,120,Norway
136,Ice Cider - Dessert Wine,🏆 Best of Category,Stahringer Streuobstmosterei,Birnoh,120,Germany
137,Ice Cider - Dessert Wine,🥇 Gold,Cold Hand Winery,Malus Danica 2018,118,Denmark
138,Ice Cider - Dessert Wine,🥇 Gold,Angry Orchard,Pommeau of Walden,110,United States
139,Ice Cider - Dessert Wine,🥇 Gold,Zapian,Bizi-Goxo 2015,109,Spain
140,Ice Cider - Dessert Wine,🥈 Silver,The Newt in Somerset,Ice Cyder 2020,107,England
141,Ice Cider - Dessert Wine,🥈 Silver,Alde Sideri,Alde Issider,105,Norway
142,Ice Cider - Dessert Wine,🥈 Silver,Mosterei Seiz,Pomport No 1,101,Germany
143,Ice Cider - Dessert Wine,🥈 Silver,Hardanger Saft og Siderfabrikk,Hardanger Eplelikor,98,Norway
144,Ice Cider - Dessert Wine,🥉 Honor,"Valle, Ballina y Fernández",Sidra de Hielo 1898,90,Spain
145,Ice Cider - Dessert Wine,🥉 Honor,Balholm,Bjor,90,Norway
146,Ice Cider - Dessert Wine,🥉 Honor,Egge Gaard,Iseple,88,Norway
147,Ice Cider - Dessert Wine,🥉 Honor,Abavas Family Winery,Apple Pie,88,Latvia
148,Non-Alcoholic Cider,🏆 Best of Category,Der Stotz Hof,Handcrafted Cider alkoholfrei,117,Germany
149,Non-Alcoholic Cider,🥈 Silver,Kelterei Possmann,Frankfurter Äpfelwein alkoholfrei,108,Germany
150,Non-Alcoholic Cider,🥈 Silver,Pomolo Obstweine,Apfelquittensecco ohne Alkohol,107,Germany
151,Non-Alcoholic Cider,🥈 Silver,Manufaktur Jörg Geiger,Wiesenobst Cider alkoholfrei,106,Germany
152,Non-Alcoholic Cider,🥈 Silver,Von Wiesen,Eisenkraut & Quitte alkoholfrei,101,Germany
153,Non-Alcoholic Cider,🥉 Honor,Clostermann Organics,Appléritif Salz-Pomeranze & Wacholder,84,Germany
154,Non-Alcoholic Cider,🥉 Honor,Haugfrukt Company,Perlende Eple,83,Norway
155,Brandy,🏆 Best of Category,Hardanger Saft og Siderfabrikk,Hardanger Eplebrennevin,114,Norway
156,Brandy,🥈 Silver,Egge Gaard,Eplebrennevin,108,Norway
157,Brandy,🥈 Silver,Maley,Whymper 1865,107,Italy
