WID,Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Country,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
1916,Sidewood Estate,South Australia,2,3,10,15,2015,2022,7,Active,Australia,"<a href=""https://sidewood.com.au/"">Website</a>","<a href=""https://www.facebook.com/SidewoodEstate/"">Facebook</a>","<a href=""https://www.instagram.com/sidewoodestate/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16006910239256404559"">Google</a>",,"<a href=""https://www.tripadvisor.com.au/Attraction_Review-g499710-d19238424"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidewood-estate/118552"">Untappd</a>"
2861,Incy Wincy Cyder,New South Wales,2,2,11,15,2018,2023,5,Active,Australia,"<a href=""https://www.incywincycyder.com/"">Website</a>","<a href=""https://www.facebook.com/incywincycyder/"">Facebook</a>","<a href=""https://www.instagram.com/incywincycyder_orange"">Instagram</a>",,,,"<a href=""https://untappd.com/w/incy-wincy-cyder/413318"">Untappd</a>"
1918,Brady's Lookout Cider,Tasmania,0,9,5,14,2016,2023,6,Active,Australia,"<a href=""https://www.bradyslookoutcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/bradyslookoutcider"">Facebook</a>","<a href=""https://www.instagram.com/bradys_lookout_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17861747211596541785"">Google</a>",,,"<a href=""https://untappd.com/w/brady-s-lookout/225207"">Untappd</a>"
2699,Plenty Cider,Tasmania,4,2,7,13,2021,2023,3,Active,Australia,"<a href=""https://www.plentycider.com.au/"">Website</a>","<a href=""https://www.facebook.com/plentycider/"">Facebook</a>","<a href=""https://www.instagram.com/plentycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=108618394510087143"">Google</a>",,,"<a href=""https://untappd.com/w/plenty-cider/454183"">Untappd</a>"
1451,Zeffer,Hawke's Bay,3,3,6,12,2013,2023,6,Active,New Zealand,"<a href=""https://zeffer.co.nz/"">Website</a>","<a href=""https://www.facebook.com/zefferdrinks/"">Facebook</a>","<a href=""https://www.instagram.com/zefferdrinks/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13931145990495161499"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g255680-d15328989"">TripAdvisor</a>","<a href=""https://untappd.com/Zeffer"">Untappd</a>"
1188,Batlow Cider Co.,New South Wales,0,2,10,12,2015,2018,4,Active,Australia,"<a href=""https://www.batlowcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/batlowcider"">Facebook</a>","<a href=""https://www.instagram.com/batlowcider/"">Instagram</a>",,,,"<a href=""https://untappd.com/brewery/16618"">Untappd</a>"
3450,Coles Liquor Group,Victoria,0,1,11,12,2017,2021,4,Inactive,Australia,,,,,,,
1698,Jachmann Cider,South Australia,1,2,8,11,2014,2018,5,Active,Australia,"<a href=""https://jachmann.com.au/"">Website</a>","<a href=""https://www.facebook.com/JachmannAppleCider"">Facebook</a>",,,,,"<a href=""https://untappd.com/w/jachmann-apple-co/201681"">Untappd</a>"
1179,Henney's Cider,Herefordshire,2,6,2,10,2011,2014,4,Active,England,"<a href=""http://www.henneys.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HenneysCider"">Facebook</a>",,,,,"<a href=""https://untappd.com/brewery/10577"">Untappd</a>"
2843,Darkes Cider,New South Wales,1,1,8,10,2016,2023,7,Active,Australia,"<a href=""https://www.darkes.com.au/"">Website</a>","<a href=""https://www.facebook.com/DarkesCider"">Facebook</a>","<a href=""https://www.instagram.com/darkescider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9016868264603406991"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g7786462-d7786279"">TripAdvisor</a>","<a href=""https://untappd.com/w/darkes-cider/93421"">Untappd</a>"
