WID,Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Country,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude,Transparency
2846,Cheeky Grog Co,Victoria,---,3,16,19,2015,2021,6,Active,Australia,https://cheekygrogco.com/,https://www.facebook.com/cheekygrogco,https://www.instagram.com/cheekygrogco/,https://maps.google.com/?cid=18312852297094426661,https://www.yelp.com/biz/cheeky-grog-co-bunbartha,https://www.tripadvisor.com/Attraction_Review-g12263922-d10807488,https://untappd.com/w/cheeky-grog-co/247399,-36.27882,145.3687509,0
1916,Sidewood Estate,South Australia,2,3,13,18,2015,2024,8,Active,Australia,https://sidewood.com.au/,https://www.facebook.com/SidewoodEstate/,https://www.instagram.com/sidewoodestate/,https://maps.google.com/?cid=16006910239256404559,,https://www.tripadvisor.com.au/Attraction_Review-g499710-d19238424,https://untappd.com/w/sidewood-estate/118552,-35.0207278,138.7945874,0
2861,Incy Wincy Cyder,New South Wales,3,2,12,17,2018,2024,6,Active,Australia,https://www.incywincycyder.com/,https://www.facebook.com/incywincycyder/,https://www.instagram.com/incywincycyder_orange,,,,https://untappd.com/w/incy-wincy-cyder/413318,-33.2460069,149.1054532,0
1918,Brady's Lookout Cider,Tasmania,---,10,7,17,2016,2024,7,Active,Australia,https://www.bradyslookoutcider.com.au/,https://www.facebook.com/bradyslookoutcider,https://www.instagram.com/bradys_lookout_cider/,https://maps.google.com/?cid=17861747211596541785,,,https://untappd.com/w/brady-s-lookout/225207,-41.340095,147.0000822,0
2858,Harcourt Perry & Cider Makers,Victoria,---,2,15,17,2015,2022,6,Active,Australia,https://harcourtcider.com.au/,https://www.facebook.com/HarcourtCider/,https://www.instagram.com/harcourtcider/,https://maps.google.com/?cid=8775592475109844928,,,https://untappd.com/w/harcourt-perry-cider-makers/429734,-37.0158404,144.2409091,0
1185,Mock Red Hill,Victoria,---,5,11,16,2014,2023,9,Active,Australia,https://www.mockredhill.com.au/,https://www.facebook.com/pages/Mock-Red-Hill/181240308586996,https://www.instagram.com/mockredhill/,https://maps.google.com/?cid=10552205982251777171,https://www.yelp.com/biz/mock-orchards-red-hill,https://www.tripadvisor.com/Restaurant_Review-g552249-d9793363,https://untappd.com/brewery/28770,-38.3738505,144.993723,0
2863,Lenswood Cider Co.,South Australia,2,2,10,14,2021,2024,4,Active,Australia,https://www.lenswoodciderco.com.au/,https://www.facebook.com/lenswoodciderco,https://www.instagram.com/lenswoodciderco/,,,,https://untappd.com/w/lenswood-cider-co/472218,-34.94118,138.8195355,0
1451,Zeffer,Hawke's Bay,3,3,6,12,2013,2023,6,Active,New Zealand,https://zeffer.co.nz/,https://www.facebook.com/zefferdrinks/,https://www.instagram.com/zefferdrinks/,https://maps.google.com/?cid=13931145990495161499,,https://www.tripadvisor.com/Attraction_Review-g255680-d15328989,https://untappd.com/Zeffer,-39.5775333,176.7740347,0
2700,3 Sons Cider,Australian Capital Territory,1,5,6,12,2017,2024,6,Active,Australia,http://www.3sonscider.com.au/,https://www.facebook.com/3SonsCider/,https://www.instagram.com/3sonscider/,https://maps.google.com/?cid=16285596579467432961,,,https://untappd.com/3sonscider,-35.2554047,149.0862457,0
2843,Darkes Cider,New South Wales,1,1,10,12,2016,2024,8,Active,Australia,https://www.darkes.com.au/,https://www.facebook.com/DarkesCider,https://www.instagram.com/darkescider/,https://maps.google.com/?cid=9016868264603406991,,https://www.tripadvisor.com/Attraction_Review-g7786462-d7786279,https://untappd.com/w/darkes-cider/93421,-34.236701,150.917685,0
1188,Batlow Cider Co.,New South Wales,---,2,10,12,2015,2018,4,Active,Australia,https://www.batlowcider.com.au/,https://www.facebook.com/batlowcider,https://www.instagram.com/batlowcider/,,,,https://untappd.com/brewery/16618,-35.5428359,148.1543142,0
3450,Coles Liquor Group,Victoria,---,1,11,12,2017,2021,4,Inactive,Australia,,,,,,,,-37.8454294,145.0482216,1
1698,Jachmann Cider,South Australia,1,2,8,11,2014,2018,5,Active,Australia,https://jachmann.com.au/,https://www.facebook.com/JachmannAppleCider,,,,,https://untappd.com/w/jachmann-apple-co/201681,-34.4016872,140.5994732,0
1432,Peckham's Cider,Tasman,3,4,3,10,2023,2024,2,Active,New Zealand,https://www.peckhams.co.nz/,https://www.facebook.com/peckhamscider/,https://www.instagram.com/peckhamscider/,https://maps.google.com/?cid=2102526933207385793,,,https://untappd.com/brewery/23755,-41.2485935,172.9933399,0
1179,Henney's Cider,Herefordshire,2,6,2,10,2011,2014,4,Active,England,http://www.henneys.co.uk/,https://www.facebook.com/HenneysCider,,,,,https://untappd.com/brewery/10577,52.1324052,-2.4945371,0
