ID,Year,ID2,WID,Producer,Award,Medalist,Product,Score,Class,BOC,Class
1348,2023,127,2699,Plenty,🏆 Best in Show,Plenty Cider,Apple + Blueberry,95,Cider or Perry with Fruit,1,Cider or Perry with Fruit
1242,2023,21,2860,Hillbilly Cider,🏆 Best New World Cider,Hillbilly Cider,Apple,95,New World Cider - Medium Sweet,1,New World Cider - Medium Sweet
1275,2023,54,2701,Simple,🏆 Best Traditional Cider,Simple Cider,Wild Heritage Blend,94,Traditional Cider - Dry,1,Traditional Cider - Dry
1322,2023,101,1176,Napoleone Cider,🏆 Best Perry,Napoleone Cider,Pear Cider,93,New World Perry - Medium,1,New World Perry - Medium
1348,2023,127,2699,Plenty,🏆 Best Specialty Cider or Perry,Plenty Cider,Apple + Blueberry,95,Cider or Perry with Fruit,1,Cider or Perry with Fruit
1386,2023,165,2844,Carmel Cider,🏆 Best Intensified/Distilled Cider or Perry,Carmel Cider Co.,Apple Brandy,93,Aged Apple or Pear Spirit,1,Aged Apple or Pear Spirit
1287,2023,66,1432,Peckham's,🏆 Best International Cider or Perry,Peckham's Cider,Stoke Red,90,Traditional Cider - Medium,0,Traditional Cider - Medium
,2023,,,,🏆 Most Successful Small Producer,Plenty Cider,,,,,
,2023,,,,🏆 Most Successful Larger Producer,Hillbilly Cider,,,,,
,2023,,,,🏆 Champion of the Industry,Max Allen,,,,,
,2024,,,,🏆 Best in Show,Hills Cider,Pear,96,New World Perry - Medium,,New World Perry - Medium
,2024,,,,🏆 Best New World Cider,Plenty Cider,Original,95,New World Cider - Medium,,New World Cider - Medium
,2024,,,,🏆 Best Traditional Cider,LOBO,Lenswulf 2019,96,Traditional Cider - Dry,,Traditional Cider - Dry
,2024,,,,🏆 Best Perry,Hills Cider,Pear,96,New World Perry - Medium,,New World Perry - Medium
,2024,,,,🏆 Best Specialty Cider or Perry,The Wild Beyond,Barrel-Aged Raspberry Sour Cider,95,Cider or Perry with Fruit,,Cider or Perry with Fruit
,2024,,,,🏆 Best Intensified/Distilled Cider or Perry,LOBO,Apple Brandy – Lobodos,94,Aged Apple or Pear Spirit,,Aged Apple or Pear Spirit
,2024,,,,🏆 Best International Cider or Perry,Peckham's Cidery and Orchard,Chisel Jersey 2023,97,Traditional Cider - Medium,,Traditional Cider - Medium
,2024,,,,🏆 Most Successful Small Producer,Plenty Cider,,,,,
,2024,,,,🏆 Most Successful Larger Producer,Hillbilly Cider,,,,,
,2024,,,,🏆 Best Single Variety Cider - David Pickering Memorial Trophy,The Apple Thief,Kingston Black,92.5,Traditional Cider - Medium Sweet,,Traditional Cider - Medium Sweet
