ID,Producer,Product,Award,Score,Class,BOC,Class Name
34,Empire Cider,Empire Apple Cider,No Medal,50,2A,0,New World Medium Cider
35,Faire Ferments,Co-Op Apple Cider,Bronze,78,2A,0,New World Medium Cider
36,Faire Ferments,Co-Op Cider Orchard Blend,Bronze,78,2A,0,New World Medium Cider
37,Flying Brick Cider Co,Flying Brick Draught Cider,Bronze,80,2A,0,New World Medium Cider
38,Frank's Cider,Frank's Autumn Apple Reserve,No Medal,50,2A,0,New World Medium Cider
39,Golden Axe Cider,Golden Axe Apple Cider,Bronze,77.5,2A,0,New World Medium Cider
40,Grand Ridge Brewery,TWISTED SISTER APPLE CIDER,Bronze,78,2A,0,New World Medium Cider
41,Gundaroo Cider Company,Jolly Miller Draught Apple Cider,No Medal,50,2A,0,New World Medium Cider
42,Harcourt Perry & Cider Makers,Harcourt Apple Cider,Bronze,80,2A,0,New World Medium Cider
43,Hillbilly Cider,Hillbilly Apple Cider,Bronze,81,2A,0,New World Medium Cider
44,Jachmann Apple Co,Jachmann Royal Gala Apple Cider,Bronze,79,2A,0,New World Medium Cider
45,Jachmann Apple Co,Jachmann Pink Lady Apple Cider,Bronze,79,2A,0,New World Medium Cider
46,Kangaroo Island Ciders,Colony Cove Cider,Bronze,81,2A,0,New World Medium Cider
47,Kangaroo Island Ciders,Colony Cove Draught Cider,Bronze,78,2A,0,New World Medium Cider
48,LOBO Cider,LOBO Cloudy Apple,No Medal,50,2A,0,New World Medium Cider
49,Lost Pippin,Lost Pippin Wild,No Medal,50,2A,0,New World Medium Cider
50,Lost Pippin,Lost Pippin Sparkling,No Medal,50,2A,0,New World Medium Cider
51,Main Ridge Cider Company,Main Ridge Cider,Bronze,81,2A,0,New World Medium Cider
52,Mock Red Hill,Mock Red Hill Classic Cider,Bronze,80,2A,0,New World Medium Cider
53,Napoleone Cider,Napoleone Apple Cider,Bronze,82,2A,0,New World Medium Cider
54,Patrick of Coonawarra,Applelation Apple Cider,Bronze,84,2A,0,New World Medium Cider
55,Sidewood ,Sidewood Basket Pressed Apple Cider,Bronze,77.5,2A,0,New World Medium Cider
56,Small Acres Cyder,Small Acres Cyder Norfolk Still 2014,Bronze,82,2A,0,New World Medium Cider
57,Small Acres Cyder,Small Acres Pomme,Bronze,78,2A,0,New World Medium Cider
58,St Ronan's Cider,St Ronan's Apple Cider,No Medal,50,2A,0,New World Medium Cider
59,Sutton's Cider,Suttons Cider,No Medal,50,2A,0,New World Medium Cider
60,The Hills Cider Company,Apple Cider,Silver,85,2A,1,New World Medium Cider
61,The Hills Cider Company,Cloudy Apple Cider,Bronze,81,2A,0,New World Medium Cider
62,Three Oaks Cider,Three Oaks Cider Original 'Crushed Apple',No Medal,50,2A,0,New World Medium Cider
63,Willie Smith’s Cider,Willie Smith's Organic Cider,No Medal,50,2A,0,New World Medium Cider
64,Young Henrys,Cloudy Cider,Bronze,78,2A,0,New World Medium Cider
65,Zeffer Cider Co,Crisp Apple Cider,Bronze,78,2A,0,New World Medium Cider
66,Aspall,Aspall Draught Cyder,No Medal,50,2B,0,Traditional Medium Cider
67,Bilpin Cider Co,Bilpin Archibald Cloudy Cider,No Medal,50,2B,0,Traditional Medium Cider
68,LOBO Cider,LOBO Trad,Silver,85,2B,0,Traditional Medium Cider
69,Red Sails,Red Sails Cider Gold,Bronze,81,2B,0,Traditional Medium Cider
70,Thatchers Cider,Thatchers Gold Cider,Silver,87,2B,0,Traditional Medium Cider
71,Willie Smith’s Cider,Willie Smith's - 18 Varieties,Gold,92.5,2B,1,Traditional Medium Cider
72,Zeffer Cider Co,Slack Ma Girdle,Bronze,82,2B,0,Traditional Medium Cider
73,Australian Beer Company,Pressman's Mid,Bronze,79,3A,0,New World Sweet Cider
74,Australian Beer Company,Pressman's Apple Cider,Silver,85,3A,0,New World Sweet Cider
75,Australian Beer Company,Pressman's Apple Cider Draught,Bronze,82,3A,0,New World Sweet Cider
76,Bilpin Cider Co,Bilpin Blush Cider,Bronze,81,3A,0,New World Sweet Cider
77,Carlton and United Breweries,Mercury Hard Cider,No Medal,50,3A,0,New World Sweet Cider
78,Carlton and United Breweries,Strongbow One Cider,No Medal,50,3A,0,New World Sweet Cider
79,Cellar d'or,Endless Apple Cider,No Medal,50,3A,0,New World Sweet Cider
80,Cheeky Grog Co,Cheeky Cider,No Medal,50,3A,0,New World Sweet Cider
81,Flying Brick Cider Co,Flying Brick Original Cider,Silver,85,3A,1,New World Sweet Cider
82,Frank's Cider,Frank's Summer Apple Cider,Bronze,80,3A,0,New World Sweet Cider
83,Mock Red Hill,Mock Red Hill Sweet Cider,Bronze,81,3A,0,New World Sweet Cider
84,Sacred Valley Beverages,Sacred Valley Cider,Bronze,78,3A,0,New World Sweet Cider
85,Spreyton Cider Co,Spreyton Apple Cider,No Medal,50,3A,0,New World Sweet Cider
86,Sydney Cider,Sydney Cider,Bronze,82,3A,0,New World Sweet Cider
87,The Apple Thief,The Apple Thief Pink Lady Cider,No Medal,50,3A,0,New World Sweet Cider
88,The Apple Thief,The Apple Thief Granny Smith Cider,Bronze,77.5,3A,0,New World Sweet Cider
89,The Barossa Valley Cider Company,Squashed Apple Cider,Silver,85,3A,0,New World Sweet Cider
90,VIV!D Cider,ViV!D Apple Cider,Bronze,79,3A,0,New World Sweet Cider
91,Blue Elephant Beverage Co,Cider No.2,Bronze,81,3B,0,Traditional Sweet Cider
92,Coldstream Brewery,Coldstream Apple Cider,No Medal,50,3B,0,Traditional Sweet Cider
93,LOBO Cider,LOBO Royale,Bronze,81,3B,0,Traditional Sweet Cider
94,Red Sails,Red Sails Cider Gold,No Medal,50,3B,0,Traditional Sweet Cider
95,Seven Oaks Farmhouse Cider,Lady Yarlington,Bronze,79,3B,0,Traditional Sweet Cider
96,Seven Oaks Farmhouse Cider,Lady William,Bronze,78,3B,0,Traditional Sweet Cider
97,Seven Oaks Farmhouse Cider,Kingston Black,Bronze,83,3B,1,Traditional Sweet Cider
98,Seven Oaks Farmhouse Cider,Pink Lady,Bronze,79,3B,0,Traditional Sweet Cider
99,Seven Oaks Farmhouse Cider,Lady Cox,Bronze,80,3B,0,Traditional Sweet Cider
100,321 Cider,321 Cider Methode Traditionelle Cuvee,Silver,88,4A,1,New World Method Traditional Cider
101,Core Cider Company,CORE-rupt-ed,Silver,88,4A,0,New World Method Traditional Cider
102,Small Acres Cyder,Small Acres Cyder Sparkling 2013,Bronze,81,4A,0,New World Method Traditional Cider
103,Small Acres Cyder,Small Acres Cyder The Cat's Pyjamas 2013,Silver,85,4B,0,Traditional Method Traditional Cider
104,St Ronan's Cider,St Ronan's Methode Traditionelle Apple Cider,Bronze,78,4A,0,New World Method Traditional Cider
105,Core Cider Company,Perry,Silver,86,5A,1,New World Dry Perry
106,Flying Brick Cider Co,Flying Brick Pear Cider,No Medal,50,5A,0,New World Dry Perry
107,LOBO Cider,LOBO Dry Pear,Silver,85,5A,0,New World Dry Perry
108,Spreyton Cider Co,Spreyton Perry,Bronze,83,5A,0,New World Dry Perry
109,Core Cider Company,PEACECORE,No Medal,50,6A,0,New World Medium Perry
110,Empire Cider,Empire Pear Cider,No Medal,50,6A,0,New World Medium Perry
111,Faire Ferments,Co-Op Pear Cider,Bronze,79,6A,0,New World Medium Perry
112,Harcourt Perry & Cider Makers,Harcourt Pear Cider,Bronze,80,6A,0,New World Medium Perry
113,LOBO Cider,LOBO Perry,Bronze,79,6A,0,New World Medium Perry
114,Lost Pippin,Lost Pippin Sparkling Pear,No Medal,50,6A,0,New World Medium Perry
115,Mr Little Cider,Mr Little Pear Cider,Bronze,79,6A,0,New World Medium Perry
116,Red Brick Road Cider,Medium Sweet Perry,Bronze,81,6A,0,New World Medium Perry
117,Sidewood ,Sidewood Basket Pressed Pear Cider,Bronze,80,6A,0,New World Medium Perry
118,Small Acres Cyder,Small Acres Poire,Bronze,79,6A,0,New World Medium Perry
119,The Hills Cider Company,Pear Cider,Silver,91,6A,1,New World Medium Perry
120,Three Oaks Cider,Three Oaks Cider 'Crisp Pear',Bronze,82,6A,0,New World Medium Perry
121,Hillbilly Cider,Hillbilly Pear Cider,No Medal,50,6B,0,Traditional Medium Perry
122,Cellar d'or,ENDLESS PEAR CIDER,No Medal,50,7A,0,New World Sweet Perry
123,Frank's Cider,Frank's Summer Pear Cider,Silver,85,7A,0,New World Sweet Perry
124,Grand Ridge Brewery,TWISTED SISTER PEAR CIDER,Bronze,81,7A,0,New World Sweet Perry
125,Napoleone Cider,Napoleone Pear Cider 330ml,Silver,86,7A,0,New World Sweet Perry
126,Spreyton Cider Co,Spreyton Pear Cider,Bronze,80,7A,0,New World Sweet Perry
127,The Apple Thief,The Apple Thief William Pear Cider,Bronze,80,7A,0,New World Sweet Perry
128,The Barossa Valley Cider Company,Squashed Pear Cider,Silver,87,7A,1,New World Sweet Perry
129,Coldstream Brewery,Coldstream Pear Cider,No Medal,50,7B,0,Traditional Sweet Perry
130,Frank's Cider,Frank's Perry (Methode Champenoise),Silver,87.5,8A,1,New World Method Traditional Perry
131,Napoleone Cider,Napoleone Methode Traditionnelle Pear 500ml  ,Bronze,81,8A,0,New World Method Traditional Perry
132,Small Acres Cyder,Small Acres Cyder Sparkling Perry 2013,Bronze,80,8B,0,Traditional Method Traditional Perry
133,St Ronan's Cider,St Ronan's Methode Traditionelle Pear Cider,Silver,86,8A,0,New World Method Traditional Perry
134,The Hills Cider Company,2010 Methode Perry,No Medal,50,8B,0,Traditional Method Traditional Perry
135,Cheeky Rascal Cider,Passion Fruit Pink Lady,Bronze,82,9,1,Cider or Perry with Fruit
136,Cheeky Rascal Cider,Apple Guava,No Medal,50,9,0,Cider or Perry with Fruit
137,Cheeky Rascal Cider,Blood Orange Lemoncello Pear,Bronze,82,9,0,Cider or Perry with Fruit
138,Cheeky Rascal Cider,Apple Lime Mint Chilli,No Medal,50,9,0,Cider or Perry with Fruit
139,Core Cider Company,Quince,No Medal,50,9,0,Cider or Perry with Fruit
140,The Hills Cider Company,Apple And Pomegranate,Bronze,79,9,0,Cider or Perry with Fruit
141,Batlow Cider,Batlow OPA Cider,Silver,85,10,1,Specialty/Experimental Cider or Perry
142,Cheeky Grog Co,Crabby Johnny Cider,No Medal,50,10,0,Specialty/Experimental Cider or Perry
143,Hillbilly Cider,Hillbilly Vintage Apple Cider,Silver,85,10,0,Specialty/Experimental Cider or Perry
144,LOBO Cider,LOBO Apple And Pear,No Medal,50,10,0,Specialty/Experimental Cider or Perry
145,Spreyton Cider Co,Spreyton Bitter Cider,No Medal,50,10,0,Specialty/Experimental Cider or Perry
146,Sydney Cider,Agave Ginger Cider,Bronze,80,10,0,Specialty/Experimental Cider or Perry
147,The Hills Cider Company,Apple Ginger Hybrid,Bronze,77.5,10,0,Specialty/Experimental Cider or Perry
148,The Hills Cider Company,Hop Edition,Silver,85,10,0,Specialty/Experimental Cider or Perry
149,Willie Smith’s Cider,Willie Smith's Lark Whisky Barrel Aged Cider,Bronze,80,10,0,Specialty/Experimental Cider or Perry
150,Small Acres Cyder,Small Acres Cyder Pomona Ice 2015,Silver,89,11,1,Ice Cider or Perry
151,Henry of Harcourt,G Del,Silver,91,12,1,Pommeau
152,Lost Pippin,Lost Pippin Pommeau,Bronze,83,12,0,Pommeau
153,Napoleone Cider,Napoleone Veil Aged Cider 375ml,Bronze,78,12,0,Pommeau
154,Small Acres Cyder,Small Acres Cyder Pommeau 2010,Silver,90,12,0,Pommeau
155,Willie Smith’s Cider,Willie Smith’s Apple Schnapps,No Medal,50,13,0,Apple or Pear Spirit
