ID,Producer,Product,Award,Score,Class,BOC,Class Name
34,Harcourt Cider,Harcourt Dry Cider,Silver,85,2,0,New World Medium Cider
35,Hillbilly Cider,Scrumpy,Bronze,81,2,0,New World Medium Cider
36,Hillbilly Cider,Vintage 2017,No Medal,50,2,0,New World Medium Cider
37,Jachmann Apple Co,Jachmann Lady William Apple Cider,No Medal,50,2,0,New World Medium Cider
38,Jachmann Apple Co,Jachmann Royal Gala Apple Cider,No Medal,50,2,0,New World Medium Cider
39,Jolly Miller ,Jolly Miller Draught,No Medal,50,2,0,New World Medium Cider
40,LOBO Cider,LOBO Cloudy Apple,Bronze,77.5,2,0,New World Medium Cider
41,Magners Irish Cider,Magners Original,Silver,86,2,0,New World Medium Cider
42,Monteiths,Goldsmiths Cider,Bronze,79,2,0,New World Medium Cider
43,Nightingale Bros Alpine Cider,Pink Lady Dry,No Medal,50,2,0,New World Medium Cider
44,Outback Cider,Old  9,No Medal,50,2,0,New World Medium Cider
45,Runamuk Cider Co.,The Grifter ,Bronze,78,2,0,New World Medium Cider
46,Sidewood,Sidewood Apple Cider,Bronze,78,2,0,New World Medium Cider
47,Sidro Del Bosco,Sidro Del Bosco,No Medal,50,2,0,New World Medium Cider
48,Small Acres Cyder,Small Acres Pomme,Silver,90,2,0,New World Medium Cider
49,Sunshine Coast Cider,Sunshine Cider,Silver,88,2,0,New World Medium Cider
50,The Apple Thief Ciders ,Limited Release Cider (Keg Only),Silver,84.5,2,0,New World Medium Cider
51,Twisted Sister,Twisted Sister Apple Cider,Bronze,77.5,2,0,New World Medium Cider
52,Westons,Caple Road,Gold,94,2,1,New World Medium Cider
53,Westons,Old Rosie,Gold,92.5,2,0,New World Medium Cider
54,Westons,Old Rosie Flagon,Bronze,83,2,0,New World Medium Cider
55,William Smith & Sons,Willie Smith's Organic Cider,Gold,92.5,2,0,New World Medium Cider
56,Applelation Cider,Applelation Cider,Bronze,83,3,0,New World Medium Sweet Cider
57,Batlow Cider,Batlow Cloudy Cider,Bronze,78,3,0,New World Medium Sweet Cider
58,Batlow Cider,Batlow Funk & Fresh Cider,Bronze,78,3,0,New World Medium Sweet Cider
59,Bilpin Cider Co,Bilpin Original,No Medal,50,3,0,New World Medium Sweet Cider
60,Carmel Cider Company,680 Apple,No Show,0,3,0,New World Medium Sweet Cider
61,Core Cider,Cloudy,Bronze,82,3,0,New World Medium Sweet Cider
62,Core Cider,Melt Down,Silver,85,3,0,New World Medium Sweet Cider
63,Darkes Cider,Howler,Bronze,78,3,0,New World Medium Sweet Cider
64,Devils Brewery Tasmania,Cloudy Apple Cider,No Medal,50,3,0,New World Medium Sweet Cider
65,Frank's Cider,Summer Apple Cider,Bronze,80,3,0,New World Medium Sweet Cider
66,FUNK Cider,PERTH Cider,Bronze,78,3,0,New World Medium Sweet Cider
67,FUNK Cider,Session Cider,Bronze,78,3,0,New World Medium Sweet Cider
68,Golden Axe Cider,Golden Axe Cider 375mL,Bronze,83,3,0,New World Medium Sweet Cider
69,Golden Axe Cider,Golden Axe Cider 50L,No Medal,50,3,0,New World Medium Sweet Cider
70,Hillbilly Cider,Apple Cider,Bronze,78,3,0,New World Medium Sweet Cider
71,Jachmann Apple Co,Jachmann Pink Lady Apple Cider,Bronze,83,3,0,New World Medium Sweet Cider
72,James Squire,James Squire Orchard Crush Apple Cider,Bronze,82,3,0,New World Medium Sweet Cider
73,Kellybrook,Kellybrothers Apple Cider,No Medal,50,3,0,New World Medium Sweet Cider
74,Kersbrook Hill,Kersbrook Hill Apple Cider,No Show,0,3,0,New World Medium Sweet Cider
75,Mock Red Hill,Golden Cider,Bronze,83,3,0,New World Medium Sweet Cider
76,Montalto ,Montalto Apple Cider,Bronze,80,3,0,New World Medium Sweet Cider
77,Monteiths,Crushed Apple Cider,No Medal,50,3,0,New World Medium Sweet Cider
78,Napoleone,Apple Cider,Silver,92,3,1,New World Medium Sweet Cider
79,Pink Lady Cider Co,Pink Lady Cider Co - Original Apple Cider,No Medal,50,3,0,New World Medium Sweet Cider
80,Pressman's,Pressman's Australian Apple Cider,Silver,87,3,0,New World Medium Sweet Cider
81,Pressman's,Pressman's Australian Apple Cider Draught,Bronze,83,3,0,New World Medium Sweet Cider
82,Small Acres Cyder,Small Acres Cyder 2016 Norfolk Still,Bronze,83,3,0,New World Medium Sweet Cider
83,Spreyton Cider Co,Apple Cider,Silver,85,3,0,New World Medium Sweet Cider
84,St Ronan's Cider,St Ronan's Apple Cider,Bronze,82,3,0,New World Medium Sweet Cider
85,Suspicious Squirrel ,Suspicious Squirrel,No Medal,50,3,0,New World Medium Sweet Cider
86,Sydney Brewery,Sydney Cider,Silver,86,3,0,New World Medium Sweet Cider
87,Ten Sixty One By Atlanta ,Tso Original Batch 3,Bronze,80,3,0,New World Medium Sweet Cider
88,Ten Sixty One By Atlanta ,Tso Original Batch 4 Cans Only,Bronze,80,3,0,New World Medium Sweet Cider
89,The Apple Thief Ciders ,Granny Smith Cider,Bronze,82,3,0,New World Medium Sweet Cider
90,The Apple Thief Ciders ,Pink Lady Cider ,Bronze,84,3,0,New World Medium Sweet Cider
91,The Barossa Valley Cider Company,Squashed Apple Cider,Silver,91,3,0,New World Medium Sweet Cider
92,The Hills Cider Company,Apple Cider,No Medal,50,3,0,New World Medium Sweet Cider
93,The Hills Cider Company,Cloudy Apple Cider,Bronze,83,3,0,New World Medium Sweet Cider
94,The Side Project Cider & Beerworks,Mr Bright Cide,Bronze,78,3,0,New World Medium Sweet Cider
95,Westons,Mortimers Orchard English Apple,Bronze,84,3,0,New World Medium Sweet Cider
96,Westons,Stowford Press Medium Dry,Bronze,80,3,0,New World Medium Sweet Cider
97,Westons,Stowford Press Medium Sweet,No Medal,50,3,0,New World Medium Sweet Cider
98,5 Seeds,5 Seeds Crisp Apple Cider,No Medal,50,4,0,New World Sweet Cider
99,SPARKKE Apple Cider,SPARKKE Apple Cider,Silver,87,4,1,New World Sweet Cider
100,Batlow Cider,Batlow Saison Cider,Silver,87,4,0,New World Sweet Cider
101,Bilpin Cider Co,Bilpin Blush Pink Lady Cider,Bronze,79,4,0,New World Sweet Cider
102,Cheeky Tiki ,Cheeky Tiki -  Sweet Apple Cider,Bronze,77.5,4,0,New World Sweet Cider
103,Dr Pilkington,Dr Pilkington Miracle Cider,Bronze,78,4,0,New World Sweet Cider
104,Fat Pixie,Hard Cider,No Medal,50,4,0,New World Sweet Cider
105,Flying Brick Cider Co,Original Cider,Bronze,83,4,0,New World Sweet Cider
106,Harcourt Cider,Harcourt Apple Cider,Bronze,83,4,0,New World Sweet Cider
107,Kirin,Kirin Fuji Apple Cider,Bronze,77.5,4,0,New World Sweet Cider
108,Monkey Shines Brew Co,Scrumpy Apple Cider,No Medal,50,4,0,New World Sweet Cider
109,Mr Finch,Mr Finch Apple Cider (Bottle),No Medal,50,4,0,New World Sweet Cider
110,Mr Finch,Mr Finch Apple Cider (Cans),Bronze,77.5,4,0,New World Sweet Cider
111,Newtons,Newtons Apple Cider (Bottle),No Medal,50,4,0,New World Sweet Cider
112,Nightingale Bros Alpine Cider,Pink Lady Sweet,No Medal,50,4,0,New World Sweet Cider
113,Orchard Thieves,Crisp Apple Cider,Bronze,78,4,0,New World Sweet Cider
114,Runamuk Cider Co.,The Pedler Apple Cider,Silver,85,4,0,New World Sweet Cider
115,Small Acres Cyder,Small Acres Cyder 2016 Appscato,Bronze,83,4,0,New World Sweet Cider
116,Steamrail,Steamrail Apple Cider (Bottle),Bronze,77.5,4,0,New World Sweet Cider
117,Three Oaks,Three Oaks Crushed Apple Cider 5,Bronze,77.5,4,0,New World Sweet Cider
118,Three Oaks,Three Oaks Crushed Apple Cider 8,Silver,85,4,0,New World Sweet Cider
119,Brady's Lookout Cider,2016 Premium Cuvee Cider,Bronze,78,5,0,New World Method Traditional Cider
120,Brady's Lookout Cider,2016 Wild Cuvee,Silver,89,5,0,New World Method Traditional Cider
121,Carmel Cider Company,Apple,Bronze,80,5,0,New World Method Traditional Cider
122,Carmel Cider Company,Tree Ripened Apple,Bronze,83,5,0,New World Method Traditional Cider
123,Core Cider,2015 Corerupted,Silver,91,5,1,New World Method Traditional Cider
124,Small Acres Cyder,Small Acres Cyder 2015 Sparkling,Bronze,80,5,0,New World Method Traditional Cider
125,Sunshine Coast Cider,Brut+ Cider,Bronze,78,5,0,New World Method Traditional Cider
126,3 Sons Cider,The Cranky Pom,Gold,94,6,1,Traditional Dry Cider
127,321 Learmonth,321 Learmonth Traditional Still,Bronze,80,6,0,Traditional Dry Cider
128,Cheeky Grog Co,KINGSTON HERITAGE,No Medal,50,6,0,Traditional Dry Cider
129,Cheeky Grog Co,SECRET SEVEN,Bronze,80,6,0,Traditional Dry Cider
130,Crucible Cider,Crucible Dry Cider,Silver,90,6,0,Traditional Dry Cider
131,Daylesford Cider,Vintage Dry,Gold,93,6,0,Traditional Dry Cider
132,El Gaitero Group,El Gaitero Natural,Bronze,80,6,0,Traditional Dry Cider
133,FUNK Cider,Organic Scrumpy,No Medal,50,6,0,Traditional Dry Cider
134,Harts Farm,Dry Cider,Silver,88,6,0,Traditional Dry Cider
135,LOBO Cider,LOBO Norman,Bronze,80,6,0,Traditional Dry Cider
136,SBO,Traditional,Silver,88,6,0,Traditional Dry Cider
137,Spreyton Cider Co,Vintage 2017,Gold,94,6,0,Traditional Dry Cider
138,Sutton's Juice Factory & Cidery,Draught Cider,No Medal,50,6,0,Traditional Dry Cider
139,Tangletoe,Sparkling Cider,Bronze,77.5,6,0,Traditional Dry Cider
140,The Side Project Cider & Beerworks,2017 Dry Vintage ,Silver,85,6,0,Traditional Dry Cider
141,Cheeky Grog Co,FOXY DABINETT,Bronze,79,7,0,Traditional Medium Cider
142,Daylesford Cider,Arf N Arf,Silver,85,7,0,Traditional Medium Cider
143,Daylesford Cider,Kingston Black,Bronze,82,7,0,Traditional Medium Cider
144,Devils Bit Mountain Cider,Devils Bit Mountain,Silver,88,7,0,Traditional Medium Cider
145,El Gaitero Group,El Gaitero,No Medal,50,7,0,Traditional Medium Cider
146,Flying Brick Cider Co,MC Cider 2016,Bronze,78,7,0,Traditional Medium Cider
147,Kangaroo Island Ciders,Colony Cove Original Cider,Bronze,79,7,0,Traditional Medium Cider
148,Kangaroo Island Ciders,Colony Cove Vintage Cider,Gold,93,7,1,Traditional Medium Cider
149,Kellybrook,Forgotten Orchard,No Show,0,7,0,Traditional Medium Cider
150,LOBO Cider,LOBO Bodicea,Bronze,82,7,0,Traditional Medium Cider
151,LOBO Cider,LOBO Trad,Bronze,82,7,0,Traditional Medium Cider
152,Spreyton Cider Co,Cidermakers Select 2017 - The Big Q,Silver,90,7,0,Traditional Medium Cider
153,Westons,Henry Westons Vintage Reserve,No Medal,50,7,0,Traditional Medium Cider
154,William Smith & Sons,Willie Smith's Yarlington Mill Cider,Bronze,83,7,0,Traditional Medium Cider
155,Cheeky Grog Co,SWEET MARENNY,Bronze,78,8,0,Traditional Medium Sweet Cider
156,Daylesford Cider,Yarlington Mill,Gold,92.5,8,0,Traditional Medium Sweet Cider
157,Kangaroo Island Ciders,Colony Cove Draught Cider,Bronze,82.5,8,0,Traditional Medium Sweet Cider
158,Spreyton Cider Co,Cidermakers Select 2018 - V Squared,Bronze,83,8,0,Traditional Medium Sweet Cider
159,Westons,Wyld Wood Organic,Silver,86,8,0,Traditional Medium Sweet Cider
160,William Smith & Sons,Willie Smith's French Blend Cider,Silver,88,8,0,Traditional Medium Sweet Cider
161,William Smith & Sons,Willie Smith's Kingston Black Cider,Gold,93,8,1,Traditional Medium Sweet Cider
162,William Smith & Sons,Willie Smith's Traditional Cider,Bronze,83,8,0,Traditional Medium Sweet Cider
163,Zeffer Cider Co.,Demi-Sec,Gold,92.5,8,0,Traditional Medium Sweet Cider
164,Daylesford Cider,Sweet Coppin,No Medal,50,9,0,Traditional Sweet Cider
165,LOBO Cider,LOBO Royale,Silver,87,9,1,Traditional Sweet Cider
166,Core Cider,2017 Coreupted,Silver,84.5,10,0,Traditional Method Traditional Cider
167,Small Acres Cyder,Small Acres Cyder 2015 The Cat's Pyjamas,Gold,93,10,1,Traditional Method Traditional Cider
168,St Ronan's Cider,Methode Traditionelle Apple Cider,Silver,84.5,10,0,Traditional Method Traditional Cider
169,White Rabbit,White Rabbit Pierre Le Popielino Blanc 2015,Silver,85,10,0,Traditional Method Traditional Cider
170,LOBO Cider,LOBO Dry Pear,Silver,85,21,1,New World Dry Perry
171,Spreyton Cider Co,Pear Cider,No Medal,50,21,0,New World Dry Perry
172,Spreyton Cider Co,Pear Perry,Bronze,80,21,0,New World Dry Perry
173,Bilpin Cider Co,Bilpin Pear Cider,Bronze,77.5,22,0,New World Medium Perry
174,Darkes Cider,Darkes Perry,No Medal,50,22,0,New World Medium Perry
175,Fils De Pømme,L’Épatant,Gold,93,22,1,New World Medium Perry
176,Flying Brick Cider Co,Pear Cider,Bronze,78,22,0,New World Medium Perry
177,Napoleone,Pear Cider,Silver,91,22,0,New World Medium Perry
178,Small Acres Cyder,Small Acres Poire,Bronze,84,22,0,New World Medium Perry
179,The Apple Thief Ciders ,William Pear Cider ,Bronze,78,22,0,New World Medium Perry
180,Twisted Sister,Twisted Sister Pear Cider,Bronze,78,22,0,New World Medium Perry
181,Harcourt Cider,Harcourt Pear Cider,Bronze,81,23,0,New World Medium Sweet Perry
182,Hillbilly Cider,Pear Cider,Silver,85,23,0,New World Medium Sweet Perry
183,Sydney Brewery,Manly Perry,Bronze,78,23,0,New World Medium Sweet Perry
184,The Barossa Valley Cider Company,Squashed Pear Cider,Silver,91,23,1,New World Medium Sweet Perry
185,The Hills Cider Company,Pear Cider,Bronze,80,23,0,New World Medium Sweet Perry
186,William Smith & Sons,Willie Smith's Farmhouse Perry,Silver,86,23,0,New World Medium Sweet Perry
187,Frank's Cider,Summer Pear Cider,Bronze,82,24,1,New World Sweet Perry
188,Mr Finch,Mr Finch Pear Perry (Bottle),Bronze,78,24,0,New World Sweet Perry
189,Mr Finch,Mr Finch Pear Perry (Cans),Bronze,80,24,0,New World Sweet Perry
190,Newtons,Newtons Pear Perry (Bottle),Bronze,79,24,0,New World Sweet Perry
191,Carmel Cider Company,Pear 14,Silver,90,25,1,New World Method Traditional Perry
192,Carmel Cider Company,Pear 18,Bronze,78.5,25,0,New World Method Traditional Perry
193,Core Cider,CorePearal,Silver,88,25,0,New World Method Traditional Perry
194,Frank's Cider,Methode Traditionelle,Bronze,78,25,0,New World Method Traditional Perry
195,Napoleone,Methode Traditionelle Pear Cider,Bronze,79,25,0,New World Method Traditional Perry
196,Small Acres Cyder,Small Acres Cyder 2016 Sparkling Perry,Silver,86,25,0,New World Method Traditional Perry
197,Small Acres Cyder,Small Acres Cyder 2016 Sparkling Perry (ZD),Bronze,83,25,0,New World Method Traditional Perry
198,Cheeky Grog Co,Perry Pear,Silver,86,27,1,Traditional Medium Perry
199,Westons,Henry Westons Perry,Bronze,80,28,1,Traditional Medium Sweet Perry
200,St Ronan's Cider,St Ronans Methode Traditionelle Pear Cider,No Medal,50,30,0,Traditional Method Traditional Perry
201,Burra Scrumpy,4Fox8,No Medal,50,31,0,Experimental Cider or Perry
202,Daylesford Cider,Spiced Cider,No Medal,50,31,0,Experimental Cider or Perry
203,Dollar Brewing,Smith And Cripps,No Medal,50,31,0,Experimental Cider or Perry
204,FUNK Cider,American Hustle,Silver,85,31,1,Experimental Cider or Perry
205,FUNK Cider,Ginger Cider,Bronze,80,31,0,Experimental Cider or Perry
206,FUNK Cider,Johhny Cash,No Medal,50,31,0,Experimental Cider or Perry
207,FUNK Cider,Sex Machine,No Medal,50,31,0,Experimental Cider or Perry
208,Simple Cider,Granny Smith And Ginger,Bronze,80,31,0,Experimental Cider or Perry
209,Spreyton Cider Co,Bitter Cider,No Medal,50,31,0,Experimental Cider or Perry
210,Sydney Brewery,Agave And Ginger,Bronze,84,31,0,Experimental Cider or Perry
211,Sydney Brewery,Oaked Organic Cider,Bronze,80,31,0,Experimental Cider or Perry
212,The Hills Cider Company,Apple And Ginger,Bronze,79,31,0,Experimental Cider or Perry
213,The Hills Cider Company,Hop Edition,Bronze,84,31,0,Experimental Cider or Perry
214,William Smith & Sons,Willie Smith's Whisky Aged Cider,Bronze,78,31,0,Experimental Cider or Perry
215,Zeffer Cider Co.,Apple Crumble Cider,Bronze,82,31,0,Experimental Cider or Perry
216,Carmel Cider Company,Apple And Pear,Bronze,78,32,0,Apple and Pear Blends
217,Cheeky Grog Co,Cheeky Pair,No Medal,50,32,0,Apple and Pear Blends
218,Core Cider,Reactor,Bronze,77.5,32,0,Apple and Pear Blends
219,Flying Brick Cider Co,PAV 2018,No Medal,50,32,0,Apple and Pear Blends
220,LOBO Cider,Lobo Apple And Pear,Bronze,78,32,0,Apple and Pear Blends
221,Mock Red Hill,Apple And Pear Blend,Silver,85,32,0,Apple and Pear Blends
222,The Barossa Valley Cider Company,Squashed Cloudy Cider,Silver,88,32,1,Apple and Pear Blends
223,Brady's Lookout Cider,Mathew Brady Limited Edition Wild Ferment Rose,No Medal,50,33,0,Cider or Perry with Fruit
224,Carmel Cider Company,Apple And Raspberry,No Medal,50,33,0,Cider or Perry with Fruit
225,Cherry Bird,Apple And Cherry Cider,Bronze,82,33,0,Cider or Perry with Fruit
226,Frank's Cider,Cherry Pear Cider,Silver,85,33,0,Cider or Perry with Fruit
227,Frank's Cider,Raspberry Pear Cider,Bronze,80,33,0,Cider or Perry with Fruit
228,FUNK Cider,Feijoa Cider,Silver,89,33,1,Cider or Perry with Fruit
229,FUNK Cider,Lemon Cider,Bronze,81,33,0,Cider or Perry with Fruit
230,FUNK Cider,Passion8,No Show,0,33,0,Cider or Perry with Fruit
231,FUNK Cider,Passionfruit Cider,No Show,0,33,0,Cider or Perry with Fruit
232,FUNK Cider,Pineapple Cider,Bronze,78,33,0,Cider or Perry with Fruit
233,FUNK Cider,Pomegranate Cider,Bronze,81,33,0,Cider or Perry with Fruit
234,Harts Farm,3 Pommes,No Medal,50,33,0,Cider or Perry with Fruit
235,Simple Cider,Wild Cherry,No Medal,50,33,0,Cider or Perry with Fruit
236,The Hills Cider Company,Apple And Pomegranate,No Medal,50,33,0,Cider or Perry with Fruit
237,The Pomologist,Quasar 2017,No Medal,50,33,0,Cider or Perry with Fruit
238,Westons,Mortimers Orchard English Berry,Bronze,82,33,0,Cider or Perry with Fruit
239,Zeffer Cider Co.,Cherry Cider,Silver,87,33,0,Cider or Perry with Fruit
240,Core Cider,PeaceCore,Bronze,77.5,34,0,Lighter Strength Cider or Perry
241,Daylesford Cider,Heritage Light,No Medal,50,34,0,Lighter Strength Cider or Perry
242,Hillbilly Cider,Sweet Julie,Bronze,78,34,1,Lighter Strength Cider or Perry
243,Small Acres Cyder,Small Acres Cyder 2010 Pommeau,Gold,92.5,42,1,Pommeau
244,Small Acres Cyder,Small Acres Cyder 2011 Pommeau,No Medal,50,42,0,Pommeau
245,Charles Oates,Charles Oates Apple Blanco,Bronze,79.4,43,0,Apple or Pear Spirits - Eau de Vie
246,Core Cider,Tractor Juice,Bronze,82.9,43,1,Apple or Pear Spirits - Eau de Vie
247,Frank's Cider,Pear Scnapps,No Medal,50,43,0,Apple or Pear Spirits - Eau de Vie
248,LOBO Cider,LOBO Apfel - Traditional Schnapps,Bronze,80.2,43,0,Apple or Pear Spirits - Eau de Vie
249,Spreyton Cider Co,Spreyton Cider,Bronze,78.8,43,0,Apple or Pear Spirits - Eau de Vie
250,Captain Bligh's Brewery,Rumple,No Show,0,44,0,Apple or Pear Spirits - Aged Spirit
251,Charles Oates,Charles Oates Fine Apple Brandy Muscat Barrel,Bronze,81.7,44,0,Apple or Pear Spirits - Aged Spirit
252,Charles Oates,Charles Oates Fine Apple Brandy Tokay Barrel,Silver,87.1,44,1,Apple or Pear Spirits - Aged Spirit
253,LOBO Cider,LOBODOS Apple Brandy,Bronze,82.7,44,0,Apple or Pear Spirits - Aged Spirit
