ID,Producer,Product,Award,Class,BOC,Class Name
47,Little Creatures – Pipsqueak,Pipsqueak Pear Cider,Bronze,6,0,Medium Perry
48,Cerbaco,Poire “Fournier-Freres” la Pommeraie,Silver,7,1,Sweet Perry
49,Cerbaco,Le Pere Jules Poire – Pays d’Auge,Silver,7,0,Sweet Perry
50,Sitting Ducks Cider,Sitting Ducks Adelaide Hills Peary Cider,Bronze,7,0,Sweet Perry
51,Franklin Cider Co,Frank’s Summer Pear Cider,Bronze,7,0,Sweet Perry
52,Cider Productions,Apple Thief Pear William Cider,Bronze,7,0,Sweet Perry
53,Graci / Harvey River,Graci Premium Cider Pear,Bronze,7,0,Sweet Perry
54,St Ronans,St Ronan’s Cider Pear,Gold,8,1,Bottle Conditioned / Methode Champenoise Perry
55,Small Acres Cyder,Small Acres Cyder 2012 Sparkling Perry,Silver,8,0,Bottle Conditioned / Methode Champenoise Perry
56,Hills Cider Company,The Hills Cider Company – Traditional Perry,Bronze,8,0,Bottle Conditioned / Methode Champenoise Perry
57,ZefferBrewing Co,Zeffer Dry Apple,Bronze,9,1,Dry Cider made using water and/or sugar in production
58,Westons World Brands,Old Rosie,Bronze,9,0,Dry Cider made using water and/or sugar in production
59,Mike Henney / Phoenix Beers,Henneys Dry Cider,Silver,10,1,Medium Cider made using water and/or sugar in production
60,Redwood – Old Mout,Old Mout Cider – Scrumpy,Silver,10,0,Medium Cider made using water and/or sugar in production
61,Mike Henney / Phoenix Beers,Henneys Vintage Cider,Bronze,10,0,Medium Cider made using water and/or sugar in production
62,Westons World Brands,Henry Westons Vintage,Bronze,10,0,Medium Cider made using water and/or sugar in production
63,Monteith’s – Drinkworks,Monteith’s Heritage Style Cider,Bronze,10,0,Medium Cider made using water and/or sugar in production
64,Monteith’s – Drinkworks,Monteith’s Apple & Pear Cider,Bronze,10,0,Medium Cider made using water and/or sugar in production
65,Mike Henney / Phoenix Beers,Henneys Sweet Cider,Silver,11,1,Sweet Cider made using water and/or sugar in production
66,Westons World Brands,Wyld Wood Apple,Bronze,11,0,Sweet Cider made using water and/or sugar in production
67,Cascade – CUB,Mercury Sweet,Bronze,11,0,Sweet Cider made using water and/or sugar in production
68,West End Brewing Company,James Squire Perry,Bronze,14,1,Sweet Perry made using water and/or sugar in production
69,Carlton & United CUB,Bulmers Pear Cider,Bronze,14,0,Sweet Perry made using water and/or sugar in production
70,Magners / Suntory,Magners Pear Irish Cider,Bronze,14,0,Sweet Perry made using water and/or sugar in production
71,Carlton & United CUB,Strongbow Pear Cider,Bronze,14,0,Sweet Perry made using water and/or sugar in production
72,Paracombe Premium Perry,The Berg,Bronze,14,0,Sweet Perry made using water and/or sugar in production
73,Tilse’s – Roma – Apple Truck,Tilses’s Pear Cider,Bronze,14,0,Sweet Perry made using water and/or sugar in production
